day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;PEARLS;9998;3;9996;1;9995;21;10004;1;10005;21;;;10001.0;0.0
2;0;BANANAS;4822;3;4821;22;;;4827;22;;;;;4824.5;0.0
2;0;DIVING_GEAR;99191;20;;;;;99194;20;;;;;99192.5;0.0
2;0;COCONUTS;7923;214;;;;;7925;64;7926;150;;;7924.0;0.0
2;0;DIP;7094;59;7093;196;;;7095;59;7096;196;;;7094.5;0.0
2;0;UKULELE;20964;62;;;;;20965;27;20966;35;;;20964.5;0.0
2;0;PICNIC_BASKET;74304;1;74303;10;74302;27;74315;1;74316;10;74317;27;74309.5;0.0
2;0;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;0;PINA_COLADAS;14850;88;;;;;14853;88;;;;;14851.5;0.0
2;0;BAGUETTE;12255;95;;;;;12257;95;;;;;12256.0;0.0
2;0;BERRIES;3847;55;;;;;3854;10;3855;45;;;3850.5;0.0
2;100;BAGUETTE;12254;58;12253;54;;;12256;112;;;;;12255.0;0.0
2;100;BERRIES;3847;19;3846;58;;;3854;19;3855;58;;;3850.5;0.0
2;100;UKULELE;20964;67;;;;;20966;67;;;;;20965.0;0.0
2;100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;100;DIP;7093;54;7092;170;;;7094;54;7095;170;;;7093.5;0.0
2;100;PEARLS;9995;26;;;;;9998;1;10005;26;;;9996.5;0.0
2;100;BANANAS;4821;26;;;;;4827;26;;;;;4824.0;0.0
2;100;PICNIC_BASKET;74315;3;74309;19;74308;20;74323;19;74324;20;;;74319.0;0.0
2;100;COCONUTS;7924;150;;;;;7927;150;;;;;7925.5;0.0
2;100;DIVING_GEAR;99198;6;99197;19;;;99200;6;99201;19;;;99199.0;0.0
2;100;PINA_COLADAS;14853;98;;;;;14856;98;;;;;14854.5;0.0
2;200;PICNIC_BASKET;74307;2;74306;13;74305;20;74318;2;74319;13;74321;20;74312.5;0.0
2;200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;200;PINA_COLADAS;14853;74;;;;;14856;74;;;;;14854.5;0.0
2;200;BAGUETTE;12253;86;;;;;12255;36;12256;50;;;12254.0;0.0
2;200;BERRIES;3851;5;3848;13;3847;57;3854;13;3855;57;;;3852.5;58.28125
2;200;PEARLS;9996;2;9995;30;;;9998;1;10004;2;10005;30;9997.0;-2.0
2;200;BANANAS;4827;1;4822;2;4821;30;4828;32;;;;;4827.5;0.0
2;200;COCONUTS;7924;191;;;;;7926;55;7927;136;;;7925.0;0.0
2;200;DIVING_GEAR;99194;19;;;;;99197;19;;;;;99195.5;0.0
2;200;DIP;7092;173;;;;;7094;173;;;;;7093.0;0.0
2;200;UKULELE;20965;65;;;;;20966;20;20967;45;;;20965.5;0.0
2;300;DIP;7093;10;7092;236;;;7094;236;;;;;7093.5;5.3515625
2;300;PEARLS;9996;1;9995;27;;;9998;1;10004;1;10005;27;9997.0;-4.0
2;300;BANANAS;4822;27;;;;;4828;1;4829;27;;;4825.0;-1.36328125
2;300;COCONUTS;7925;168;;;;;7928;168;;;;;7926.5;0.0
2;300;PICNIC_BASKET;74288;1;74287;15;74286;18;74299;1;74300;15;74301;18;74293.5;0.0
2;300;DIVING_GEAR;99193;10;99192;15;;;99195;10;99196;15;;;99194.0;0.0
2;300;PINA_COLADAS;14858;90;;;;;14861;90;;;;;14859.5;0.0
2;300;UKULELE;20958;18;20957;44;;;20959;18;20960;44;;;20958.5;0.0
2;300;BAGUETTE;12254;132;;;;;12256;59;12257;73;;;12255.0;0.0
2;300;BERRIES;3848;15;3847;44;;;3855;15;3856;44;;;3851.5;47.984375
2;300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;400;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;-4.0
2;400;BANANAS;4821;25;;;;;4823;5;4828;25;;;4822.0;-0.6181640625
2;400;COCONUTS;7924;181;;;;;7927;181;;;;;7925.5;0.0
2;400;DIVING_GEAR;99194;10;99193;16;;;99196;10;99197;16;;;99195.0;0.0
2;400;DIP;7094;52;7093;121;;;7095;52;7096;121;;;7094.5;-4.0390625
2;400;UKULELE;20956;68;;;;;20958;68;;;;;20957.0;0.0
2;400;PICNIC_BASKET;74285;16;74284;30;;;74299;16;74300;30;;;74292.0;0.0
2;400;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;400;PINA_COLADAS;14855;94;;;;;14858;30;14859;64;;;14856.5;0.0
2;400;BAGUETTE;12251;35;12250;52;;;12252;35;12253;52;;;12251.5;0.0
2;400;BERRIES;3849;16;3848;57;;;3855;16;3856;57;;;3852.0;39.984375
2;500;UKULELE;20953;57;;;;;20955;57;;;;;20954.0;0.0
2;500;BAGUETTE;12248;46;12247;88;;;12249;46;12250;88;;;12248.5;0.0
2;500;BERRIES;3848;14;3847;48;;;3854;14;3855;48;;;3851.0;56.234375
2;500;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;500;DIP;7093;88;7092;160;;;7094;88;7095;160;;;7093.5;3.2421875
2;500;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;-4.0
2;500;BANANAS;4821;22;;;;;4828;22;;;;;4824.5;-6.5625
2;500;COCONUTS;7924;196;;;;;7925;57;7927;196;;;7924.5;0.0
2;500;PICNIC_BASKET;74272;14;74271;20;;;74286;14;74287;20;;;74279.0;0.0
2;500;DIVING_GEAR;99194;19;;;;;99197;19;;;;;99195.5;0.0
2;500;PINA_COLADAS;14854;107;;;;;14857;107;;;;;14855.5;0.0
2;600;PICNIC_BASKET;74263;14;74262;23;;;74276;14;74278;23;;;74269.5;0.0
2;600;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;600;PINA_COLADAS;14852;39;14851;51;;;14854;39;14855;51;;;14853.0;0.0
2;600;BAGUETTE;12247;54;12246;61;;;12248;54;12249;61;;;12247.5;0.0
2;600;BERRIES;3850;5;3846;14;3845;52;3853;14;3854;52;;;3851.5;105.1484375
2;600;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;6.0
2;600;BANANAS;4821;25;;;;;4828;25;;;;;4824.5;-0.140625
2;600;COCONUTS;7924;57;7923;142;;;7926;199;;;;;7925.0;0.0
2;600;DIVING_GEAR;99193;24;;;;;99196;24;;;;;99194.5;0.0
2;600;DIP;7094;187;;;;;7096;187;;;;;7095.0;-5.671875
2;600;UKULELE;20951;66;;;;;20953;66;;;;;20952.0;0.0
2;700;DIP;7095;220;;;;;7096;3;7097;77;7098;143;7095.5;-16.12890625
2;700;BANANAS;4821;23;;;;;4828;23;;;;;4824.5;-2.6640625
2;700;PEARLS;9995;23;;;;;9998;9;10005;23;;;9996.5;6.0
2;700;COCONUTS;7924;161;;;;;7926;45;7927;116;;;7925.0;0.0
2;700;PICNIC_BASKET;74274;12;74273;18;;;74288;12;74289;18;;;74281.0;0.0
2;700;DIVING_GEAR;99197;18;;;;;99200;18;;;;;99198.5;0.0
2;700;PINA_COLADAS;14851;106;;;;;14854;106;;;;;14852.5;0.0
2;700;UKULELE;20952;18;20951;44;;;20953;18;20954;44;;;20952.5;0.0
2;700;BERRIES;3845;12;3844;45;;;3852;12;3853;45;;;3848.5;129.640625
2;700;BAGUETTE;12247;42;12246;77;;;12248;42;12249;77;;;12247.5;-3.71875
2;700;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;800;PEARLS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;6.0
2;800;COCONUTS;7924;191;;;;;7925;50;7926;70;7927;121;7924.5;0.0
2;800;DIVING_GEAR;99205;10;99204;10;;;99207;10;99208;10;;;99206.0;0.0
2;800;DIP;7096;214;;;;;7098;214;;;;;7097.0;-20.2109375
2;800;UKULELE;20951;60;;;;;20953;60;;;;;20952.0;0.0
2;800;BANANAS;4825;3;4821;28;;;4828;28;;;;;4826.5;0.46875
2;800;PICNIC_BASKET;74291;1;74289;10;74288;28;74302;1;74303;10;74304;28;74296.5;0.0
2;800;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3075.0;0.0
2;800;PINA_COLADAS;14848;31;14847;53;;;14851;84;;;;;14849.5;0.0
2;800;BERRIES;3846;10;3845;43;;;3853;10;3854;43;;;3849.5;109.3515625
2;800;BAGUETTE;12249;49;12248;69;;;12251;118;;;;;12250.0;-17.265625
2;900;UKULELE;20948;6;20947;65;;;20949;65;;;;;20948.5;0.0
2;900;BERRIES;3846;14;3845;50;;;3853;14;3854;50;;;3849.5;118.265625
2;900;BAGUETTE;12247;51;12246;65;;;12248;51;12249;65;;;12247.5;-3.2265625
2;900;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3075.0;0.0
2;900;DIP;7096;65;7095;109;;;7097;65;7098;109;;;7096.5;-17.0234375
2;900;BANANAS;4824;1;4821;21;;;4828;21;;;;;4826.0;-3.921875
2;900;DIVING_GEAR;99210;10;99209;14;;;99212;10;99213;14;;;99211.0;0.0
2;900;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;6.0
2;900;COCONUTS;7924;175;;;;;7927;175;;;;;7925.5;0.0
2;900;PICNIC_BASKET;74298;3;74286;14;74284;24;74299;14;74300;24;;;74298.5;0.0
2;900;PINA_COLADAS;14850;85;;;;;14853;85;;;;;14851.5;0.0
2;1000;PICNIC_BASKET;74295;2;74294;18;74293;30;74306;2;74307;18;74308;30;74300.5;0.0
2;1000;PINA_COLADAS;14852;38;14851;51;;;14853;38;14854;38;14855;51;14852.5;0.0
2;1000;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1000;BERRIES;3846;18;3845;54;;;3853;18;3854;54;;;3849.5;120.0546875
2;1000;BAGUETTE;12246;119;;;;;12248;54;12249;65;;;12247.0;-1.0390625
2;1000;DIVING_GEAR;99207;8;99206;18;;;99209;8;99210;18;;;99208.0;0.0
2;1000;PEARLS;10002;2;9996;2;9995;28;10004;2;10005;28;;;10003.0;8.0
2;1000;COCONUTS;7925;201;;;;;7927;63;7928;138;;;7926.0;0.0
2;1000;UKULELE;20950;78;;;;;20951;30;20952;48;;;20950.5;0.0
2;1000;DIP;7097;265;;;;;7099;65;7100;200;;;7098.0;-30.375
2;1000;BANANAS;4823;2;4822;28;;;4829;30;;;;;4826.0;-10.9453125
2;1100;DIP;7095;87;7094;183;;;7096;87;7097;183;;;7095.5;2.6953125
2;1100;BANANAS;4823;2;4822;28;;;4829;30;;;;;4826.0;-12.01953125
2;1100;DIVING_GEAR;99195;29;;;;;99198;29;;;;;99196.5;0.0
2;1100;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;12.0
2;1100;COCONUTS;7925;162;;;;;7927;50;7928;112;;;7926.0;0.0
2;1100;PICNIC_BASKET;74280;2;74279;19;74278;27;74292;2;74293;19;74294;27;74286.0;0.0
2;1100;PINA_COLADAS;14852;111;;;;;14855;111;;;;;14853.5;0.0
2;1100;UKULELE;20952;27;20951;36;;;20953;63;;;;;20952.5;0.0
2;1100;BERRIES;3846;76;;;;;3853;19;3854;57;;;3849.5;103.1875
2;1100;BAGUETTE;12243;141;;;;;12245;54;12246;87;;;12244.0;16.6953125
2;1100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1200;DIVING_GEAR;99196;21;;;;;99199;21;;;;;99197.5;0.0
2;1200;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;12.0
2;1200;COCONUTS;7924;186;;;;;7927;186;;;;;7925.5;0.0
2;1200;UKULELE;20949;56;;;;;20950;20;20951;36;;;20949.5;0.0
2;1200;DIP;7096;190;;;;;7098;190;;;;;7097.0;-15.1875
2;1200;BANANAS;4822;28;;;;;4828;1;4829;28;;;4825.0;-9.81640625
2;1200;PICNIC_BASKET;74286;1;74285;12;74284;20;74298;1;74299;12;74300;20;74292.0;0.0
2;1200;PINA_COLADAS;14850;92;;;;;14853;92;;;;;14851.5;0.0
2;1200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1200;BERRIES;3846;12;3845;49;;;3853;12;3854;49;;;3849.5;109.25
2;1200;BAGUETTE;12241;139;;;;;12243;59;12244;80;;;12242.0;29.046875
2;1300;UKULELE;20951;52;;;;;20952;17;20953;35;;;20951.5;0.0
2;1300;BERRIES;3847;10;3846;40;;;3853;10;3854;40;;;3850.0;97.5625
2;1300;BAGUETTE;12241;107;;;;;12243;30;12244;77;;;12242.0;28.203125
2;1300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1300;DIP;7095;77;7094;151;;;7097;228;;;;;7096.0;5.046875
2;1300;BANANAS;4822;23;;;;;4827;7;4829;23;;;4824.5;-14.33203125
2;1300;DIVING_GEAR;99179;3;99178;10;;;99181;6;99182;10;;;99180.0;-2.84375
2;1300;PEARLS;9995;23;;;;;9998;1;10002;7;10005;23;9996.5;12.0
2;1300;COCONUTS;7924;67;7923;119;;;7926;186;;;;;7925.0;0.0
2;1300;PICNIC_BASKET;74297;6;74291;5;74285;10;74299;10;74300;17;;;74298.0;0.0
2;1300;PINA_COLADAS;14848;109;;;;;14851;109;;;;;14849.5;0.0
2;1400;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1400;PINA_COLADAS;14848;91;;;;;14851;91;;;;;14849.5;0.0
2;1400;PICNIC_BASKET;74290;2;74289;16;74288;23;74302;2;74303;16;74304;23;74296.0;5.15625
2;1400;BAGUETTE;12239;136;;;;;12241;136;;;;;12240.0;41.90625
2;1400;DIVING_GEAR;99183;5;99182;16;;;99185;5;99186;16;;;99184.0;-30.125
2;1400;PEARLS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;10.0
2;1400;COCONUTS;7922;182;;;;;7925;182;;;;;7923.5;0.0
2;1400;BERRIES;3847;16;3846;41;;;3854;16;3855;41;;;3850.5;92.6796875
2;1400;DIP;7095;208;;;;;7097;208;;;;;7096.0;-5.734375
2;1400;UKULELE;20951;56;;;;;20952;23;20953;33;;;20951.5;0.0
2;1400;BANANAS;4822;26;;;;;4827;4;4828;2;4829;24;4824.5;-11.08203125
2;1500;DIP;7093;231;;;;;7095;231;;;;;7094.0;35.75
2;1500;BANANAS;4822;30;;;;;4827;7;4828;2;4829;29;4824.5;-13.46484375
2;1500;DIVING_GEAR;99187;9;99186;16;;;99189;9;99190;16;;;99188.0;-52.75
2;1500;PEARLS;9996;2;9995;29;;;10002;7;10004;2;10005;29;9999.0;10.0
2;1500;COCONUTS;7923;184;;;;;7926;184;;;;;7924.5;0.0
2;1500;BERRIES;3846;16;3845;48;;;3853;16;3854;48;;;3849.5;104.1796875
2;1500;PINA_COLADAS;14850;98;;;;;14853;98;;;;;14851.5;0.0
2;1500;PICNIC_BASKET;74289;2;74288;16;74286;26;74300;2;74301;16;74302;26;74294.5;15.9375
2;1500;UKULELE;20956;66;;;;;20958;66;;;;;20957.0;0.0
2;1500;BAGUETTE;12239;54;12238;69;;;12240;54;12241;69;;;12239.5;45.828125
2;1500;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1600;DIVING_GEAR;99179;19;;;;;99182;19;;;;;99180.5;-8.0
2;1600;PEARLS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;10.0
2;1600;COCONUTS;7922;171;;;;;7925;171;;;;;7923.5;0.0
2;1600;BERRIES;3846;12;3845;41;;;3853;12;3854;41;;;3849.5;108.015625
2;1600;DIP;7093;260;;;;;7095;260;;;;;7094.0;33.921875
2;1600;UKULELE;20963;70;;;;;20964;29;20965;41;;;20963.5;0.0
2;1600;BANANAS;4822;1;4821;23;;;4828;24;;;;;4825.0;-8.1171875
2;1600;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1600;PINA_COLADAS;14849;37;14848;82;;;14851;82;;;;;14850.0;0.0
2;1600;PICNIC_BASKET;74289;1;74288;12;74287;29;74301;1;74302;12;74303;29;74295.0;11.875
2;1600;BAGUETTE;12240;58;12239;89;;;12241;58;12242;89;;;12240.5;39.0
2;1700;UKULELE;20963;75;;;;;20965;75;;;;;20964.0;0.0
2;1700;BAGUETTE;12240;128;;;;;12242;42;12243;86;;;12241.0;35.046875
2;1700;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1700;DIP;7093;225;;;;;7095;225;;;;;7094.0;36.9375
2;1700;BANANAS;4821;24;;;;;4828;24;;;;;4824.5;-8.59765625
2;1700;DIVING_GEAR;99183;8;99182;18;;;99185;8;99186;18;;;99184.0;-29.125
2;1700;PEARLS;9995;24;;;;;10005;24;;;;;10000.0;6.0
2;1700;COCONUTS;7923;46;7922;163;;;7925;163;;;;;7924.0;0.0
2;1700;BERRIES;3846;18;3845;40;;;3853;18;3854;40;;;3849.5;106.484375
2;1700;PINA_COLADAS;14847;110;;;;;14850;110;;;;;14848.5;0.0
2;1700;PICNIC_BASKET;74293;18;74292;29;;;74307;18;74308;29;;;74300.0;-19.8125
2;1800;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;1800;PINA_COLADAS;14847;95;;;;;14850;95;;;;;14848.5;0.0
2;1800;PICNIC_BASKET;74289;2;74287;15;74286;15;74300;2;74301;15;74302;15;74294.5;16.25
2;1800;BAGUETTE;12243;32;12242;90;;;12244;32;12245;90;;;12243.5;21.6171875
2;1800;DIVING_GEAR;99179;6;99178;15;;;99181;6;99182;15;;;99180.0;-4.6875
2;1800;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;6.0
2;1800;COCONUTS;7922;163;;;;;7924;62;7925;101;;;7923.0;0.0
2;1800;BERRIES;3846;56;;;;;3853;15;3854;41;;;3849.5;103.3046875
2;1800;DIP;7093;251;;;;;7095;90;7096;161;;;7094.0;31.1875
2;1800;UKULELE;20963;15;20962;30;;;20964;15;20965;30;;;20963.5;4.55859375
2;1800;BANANAS;4822;2;4821;28;;;4828;30;;;;;4825.0;-8.37890625
2;1900;DIP;7095;173;;;;;7097;173;;;;;7096.0;-3.65625
2;1900;BANANAS;4822;10;4821;24;;;4828;26;;;;;4825.0;-7.34375
2;1900;DIVING_GEAR;99186;16;;;;;99189;16;;;;;99187.5;-50.9375
2;1900;PEARLS;9998;8;9996;2;9995;24;10004;2;10005;24;;;10001.0;6.0
2;1900;COCONUTS;7924;41;7923;218;;;7925;218;;;;;7924.5;0.0
2;1900;BERRIES;3846;11;3845;53;;;3853;11;3854;53;;;3849.5;109.3359375
2;1900;PINA_COLADAS;14848;99;;;;;14851;37;14852;62;;;14849.5;0.0
2;1900;PICNIC_BASKET;74294;2;74293;11;74292;30;74306;2;74307;11;74308;30;74300.0;-18.5625
2;1900;BAGUETTE;12241;55;12240;55;;;12243;110;;;;;12242.0;31.578125
2;1900;UKULELE;20960;68;;;;;20961;30;20962;38;;;20960.5;13.1875
2;1900;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;2000;DIVING_GEAR;99182;8;99181;11;;;99184;8;99185;11;;;99183.0;-22.6875
2;2000;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;-18.0
2;2000;COCONUTS;7922;177;;;;;7924;42;7925;135;;;7923.0;0.0
2;2000;BERRIES;3847;11;3846;54;;;3853;11;3854;54;;;3850.0;98.046875
2;2000;UKULELE;20970;56;;;;;20972;56;;;;;20971.0;-17.625
2;2000;DIP;7096;219;;;;;7098;219;;;;;7097.0;-21.828125
2;2000;BANANAS;4821;22;;;;;4828;22;;;;;4824.5;-4.328125
2;2000;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3077.0;0.0
2;2000;PINA_COLADAS;14847;29;14846;90;;;14849;90;;;;;14848.0;0.0
2;2000;PICNIC_BASKET;74309;11;74308;17;;;74323;11;74324;17;;;74316.0;-112.8125
2;2000;BAGUETTE;12240;42;12239;89;;;12242;126;;;;;12241.0;36.78125
2;2100;BAGUETTE;12237;38;12236;78;;;12238;38;12239;78;;;12237.5;56.09375
2;2100;UKULELE;20969;20;20968;30;;;20970;45;;;;;20969.5;-11.3125
2;2100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3077.0;0.0
2;2100;DIP;7093;178;;;;;7095;178;;;;;7094.0;37.40625
2;2100;BANANAS;4824;6;4821;25;;;4828;25;;;;;4826.0;-5.78515625
2;2100;DIVING_GEAR;99176;23;;;;;99179;23;;;;;99177.5;8.0
2;2100;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;-18.0
2;2100;COCONUTS;7922;51;7921;102;;;7924;153;;;;;7923.0;0.0
2;2100;BERRIES;3847;16;3846;45;;;3854;16;3855;45;;;3850.5;88.6015625
2;2100;PINA_COLADAS;14845;89;;;;;14848;89;;;;;14846.5;0.0
2;2100;PICNIC_BASKET;74292;16;74291;15;;;74305;16;74306;15;;;74298.5;-9.4375
2;2200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;2200;PINA_COLADAS;14843;30;14842;53;;;14845;30;14846;53;;;14844.0;0.0
2;2200;PICNIC_BASKET;74282;2;74281;12;74279;19;74293;2;74294;12;74295;19;74287.5;57.6875
2;2200;BAGUETTE;12238;102;;;;;12240;31;12241;71;;;12239.0;46.4765625
2;2200;DIVING_GEAR;99172;19;;;;;99175;19;;;;;99173.5;32.125
2;2200;COCONUTS;7921;153;;;;;7924;153;;;;;7922.5;0.0
2;2200;BERRIES;3847;12;3846;54;;;3854;12;3855;54;;;3850.5;79.15625
2;2200;UKULELE;20968;58;;;;;20969;19;20970;39;;;20968.5;-7.671875
2;2200;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;-18.0
2;2200;DIP;7091;71;7090;131;;;7092;71;7093;131;;;7091.5;88.671875
2;2200;BANANAS;4822;31;;;;;4828;31;;;;;4825.0;-10.109375
2;2300;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;-18.0
2;2300;DIP;7090;82;7089;117;;;7091;82;7092;117;;;7090.5;109.03125
2;2300;BANANAS;4822;1;4821;20;;;4823;2;4828;21;;;4822.5;-9.5078125
2;2300;COCONUTS;7922;164;;;;;7924;43;7925;121;;;7923.0;0.0
2;2300;DIVING_GEAR;99174;9;99173;18;;;99176;9;99177;18;;;99175.0;23.5625
2;2300;BERRIES;3847;18;3846;48;;;3854;18;3855;48;;;3850.5;86.359375
2;2300;PINA_COLADAS;14843;100;;;;;14846;100;;;;;14844.5;0.0
2;2300;PICNIC_BASKET;74283;2;74277;1;74276;18;74289;1;74290;18;74291;26;74286.0;83.34375
2;2300;BAGUETTE;12239;42;12238;82;;;12240;42;12241;82;;;12239.5;45.59375
2;2300;UKULELE;20968;66;;;;;20970;66;;;;;20969.0;-9.609375
2;2300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;2400;COCONUTS;7922;178;;;;;7925;178;;;;;7923.5;0.0
2;2400;DIVING_GEAR;99167;26;;;;;99170;26;;;;;99168.5;61.75
2;2400;BERRIES;3847;16;3846;41;;;3853;16;3854;41;;;3850.0;99.1015625
2;2400;UKULELE;20971;28;20970;30;;;20972;58;;;;;20971.5;-28.75
2;2400;PEARLS;10002;1;9996;1;9995;25;10004;1;10005;25;;;10003.0;-18.0
2;2400;DIP;7093;58;7092;102;;;7094;58;7095;102;;;7093.5;47.28125
2;2400;BANANAS;4827;1;4822;1;4821;25;4828;26;;;;;4827.5;-7.84765625
2;2400;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;2400;PINA_COLADAS;14844;96;;;;;14847;38;14848;58;;;14845.5;0.0
2;2400;PICNIC_BASKET;74297;1;74296;16;74294;28;74308;1;74309;16;74310;28;74302.5;-32.15625
2;2400;BAGUETTE;12241;53;12240;58;;;12242;53;12243;58;;;12241.5;33.6640625
2;2500;BAGUETTE;12237;151;;;;;12239;151;;;;;12238.0;53.6484375
2;2500;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3077.0;0.0
2;2500;UKULELE;20973;18;20972;38;;;20974;56;;;;;20973.5;-43.0
2;2500;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;-18.0
2;2500;DIP;7093;283;;;;;7095;283;;;;;7094.0;38.640625
2;2500;BANANAS;4821;27;;;;;4828;27;;;;;4824.5;-8.16796875
2;2500;COCONUTS;7922;199;;;;;7925;199;;;;;7923.5;0.0
2;2500;BERRIES;3846;11;3845;41;;;3853;11;3854;41;;;3849.5;117.4609375
2;2500;DIVING_GEAR;99181;21;;;;;99184;21;;;;;99182.5;-33.1875
2;2500;PINA_COLADAS;14844;87;;;;;14847;87;;;;;14845.5;0.0
2;2500;PICNIC_BASKET;74292;11;74291;18;;;74306;11;74307;18;;;74299.0;-11.6875
2;2600;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;2600;PINA_COLADAS;14847;97;;;;;14850;31;14851;66;;;14848.5;0.0
2;2600;BAGUETTE;12236;36;12235;95;;;12237;36;12238;95;;;12236.5;62.0
2;2600;COCONUTS;7922;171;;;;;7925;171;;;;;7923.5;0.0
2;2600;BERRIES;3846;10;3845;42;;;3853;10;3854;42;;;3849.5;111.8984375
2;2600;DIVING_GEAR;99179;6;99178;10;;;99181;6;99182;10;;;99180.0;-15.375
2;2600;UKULELE;20978;74;;;;;20979;25;20980;49;;;20978.5;-80.15625
2;2600;PICNIC_BASKET;74301;1;74299;10;74298;25;74312;1;74313;10;74314;25;74306.5;-55.6875
2;2600;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;-18.0
2;2600;DIP;7093;95;7092;155;;;7094;95;7095;155;;;7093.5;56.25
2;2600;BANANAS;4821;21;;;;;4828;21;;;;;4824.5;-3.94921875
2;2700;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;-18.0
2;2700;DIP;7091;190;;;;;7093;190;;;;;7092.0;97.015625
2;2700;BANANAS;4826;1;4821;31;;;4828;31;;;;;4827.0;-5.0390625
2;2700;COCONUTS;7921;179;;;;;7924;179;;;;;7922.5;0.0
2;2700;BERRIES;3846;11;3845;40;;;3853;51;;;;;3849.5;121.8359375
2;2700;DIVING_GEAR;99190;8;99189;11;;;99192;8;99193;11;;;99191.0;-111.4375
2;2700;PINA_COLADAS;14847;31;14846;75;;;14850;106;;;;;14848.5;0.0
2;2700;BAGUETTE;12236;35;12235;51;;;12238;86;;;;;12237.0;61.3046875
2;2700;PICNIC_BASKET;74294;2;74293;11;74291;28;74305;2;74306;11;74307;28;74299.5;-14.0625
2;2700;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3076.0;0.0
2;2700;UKULELE;20977;28;20976;50;;;20978;78;;;;;20977.5;-70.484375
2;2800;COCONUTS;7920;215;;;;;7923;215;;;;;7921.5;0.0
2;2800;BERRIES;3845;12;3844;44;;;3852;12;3853;44;;;3848.5;138.625
2;2800;DIVING_GEAR;99188;8;99187;12;;;99190;8;99191;12;;;99189.0;-95.5625
2;2800;UKULELE;20975;33;20974;42;;;20976;64;;;;;20975.5;-56.125
2;2800;PICNIC_BASKET;74287;12;74286;22;;;74301;12;74302;22;;;74294.0;16.96875
2;2800;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;-18.0
2;2800;DIP;7090;235;;;;;7092;235;;;;;7091.0;120.0
