ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
5,10,0.5,2.0,0.5,1306.0,0.8191117080395331,-161.0,-3
30,5,0.5,3.0,0.5,1809.0,0.7882157713587922,-186.0,2
5,10,0.5,1.0,0.5,1778.0,0.7876114366584847,-249.0,2
5,20,0.5,1.0,0.5,1715.0,0.7772417967157906,-193.0,-2
20,20,0.5,3.0,0.5,1730.0,0.765166782075347,-190.0,-2
20,10,0.5,3.0,0.5,1680.0,0.7610420457483722,-190.0,-5
10,10,0.5,2.0,0.5,1865.0,0.7531598551162001,-217.0,3
30,20,0.5,3.0,0.5,1723.0,0.7488400827440701,-200.0,3
10,20,0.5,2.0,0.5,1797.0,0.741606790493043,-207.0,-1
10,10,0.5,3.0,0.5,1175.0,0.7387885964367155,-160.0,4
30,10,0.5,3.0,0.5,1717.0,0.7379781614978356,-195.0,2
5,5,0.5,1.0,0.5,1573.0,0.7170506362753712,-206.0,3
10,5,0.5,2.0,0.5,1748.0,0.7118718467108387,-217.0,3
10,20,1.0,1.0,0.5,1356.0,0.6866414541647347,-171.0,3
5,20,0.5,2.0,0.5,1172.0,0.6784526821162239,-171.0,-3
20,5,0.5,3.0,0.5,1458.0,0.6628537858686994,-173.0,2
20,20,1.0,2.0,0.5,1459.0,0.6615383824871264,-185.0,3
20,20,1.0,1.0,0.5,1528.0,0.6583109457139865,-210.0,3
10,20,0.5,3.0,0.5,1044.0,0.6530335924209676,-160.0,4
5,5,0.5,2.0,0.5,901.0,0.6456829139965069,-147.0,1
10,5,1.0,2.0,0.5,1270.0,0.6286509602218165,-208.0,2
20,20,1.0,3.0,0.5,1104.0,0.6209664971086951,-171.0,3
30,20,1.0,2.0,0.5,1550.0,0.6177133110416845,-228.0,3
30,10,1.0,3.0,0.5,1229.0,0.6129322357430437,-190.0,4
30,20,1.0,1.0,0.5,1459.0,0.5856537149054595,-226.0,3
20,5,1.0,3.0,0.5,1123.0,0.5716913041781603,-186.0,2
30,5,1.0,3.0,0.5,1373.0,0.5670405070536699,-220.0,2
20,5,1.0,1.0,0.5,1371.0,0.5626053900341723,-202.0,3
10,5,0.5,3.0,0.5,894.0,0.5618915073690508,-160.0,4
30,20,1.0,3.0,0.5,1133.0,0.5604141826012714,-180.0,3
10,20,0.5,1.0,0.5,1441.0,0.5584316987528576,-222.0,-3
10,5,1.0,1.0,0.5,1141.0,0.556807331270748,-192.0,2
20,10,1.0,1.0,0.5,1317.0,0.5475086442901311,-201.0,4
30,10,1.0,2.0,0.5,1241.0,0.5323158574997919,-186.0,5
20,10,0.5,2.0,0.5,1395.0,0.5253996310447301,-222.0,-4
20,5,1.0,2.0,0.5,1218.0,0.5240829198220321,-193.0,3
30,5,1.0,1.0,0.5,1290.0,0.5112194643959515,-244.0,4
30,5,1.5,3.0,0.5,1025.0,0.5102872816527149,-168.0,1
10,10,1.0,1.0,0.5,1094.0,0.5034524302939597,-187.0,4
10,5,0.5,1.0,0.5,1277.0,0.4973422813158623,-208.0,3
30,5,1.0,2.0,0.5,1231.0,0.48784339713907837,-255.0,2
20,5,0.5,2.0,0.5,1301.0,0.4870749526330516,-210.0,-5
10,20,1.0,2.0,0.5,878.0,0.47977251685409805,-191.0,3
20,10,1.0,2.0,0.5,1115.0,0.4753141589543124,-198.0,4
20,10,1.0,3.0,0.5,927.0,0.4720419207336246,-182.0,4
10,10,0.5,1.0,0.5,1209.0,0.4683026925844179,-231.0,-2
30,10,1.5,3.0,0.5,991.0,0.4608257541994667,-168.0,3
10,10,1.0,2.0,0.5,926.0,0.45793301760649424,-189.0,3
20,10,1.5,2.0,0.5,925.0,0.4576641274057038,-207.0,3
20,20,0.5,2.0,0.5,1201.0,0.45152124733566446,-220.0,-4
30,5,1.5,2.0,0.5,933.0,0.4482111845248461,-192.0,0
30,5,1.5,1.0,0.5,933.0,0.4482111845248461,-192.0,0
30,10,1.5,2.0,0.5,920.0,0.43812443317035665,-193.0,3
30,20,1.5,3.0,0.5,686.0,0.41917347261650745,-160.0,1
10,5,1.0,3.0,0.5,605.0,0.4182944294509425,-160.0,5
30,20,1.5,2.0,0.5,873.0,0.4093985442581933,-192.0,1
30,20,1.5,1.0,0.5,873.0,0.4093985442581933,-192.0,1
30,10,1.5,1.0,0.5,801.0,0.3993196032479866,-200.0,3
20,10,1.5,1.0,0.5,808.0,0.39335899632735505,-199.0,3
20,5,1.5,1.0,0.5,696.0,0.3735999515286521,-180.0,1
20,5,1.5,2.0,0.5,696.0,0.3735999515286521,-180.0,1
30,20,2.0,3.0,0.5,511.0,0.3654895621652882,-160.0,1
20,20,1.5,1.0,0.5,614.0,0.36045867308761564,-201.0,2
30,5,0.5,2.0,0.5,1011.0,0.3591544966925231,-247.0,-5
20,20,1.5,3.0,0.5,488.0,0.35677022978289824,-160.0,2
30,20,2.0,2.0,0.5,714.0,0.3560700021521791,-231.0,1
5,20,1.0,1.0,0.5,440.0,0.3544439321877639,-150.0,0
30,20,2.0,1.0,0.5,707.0,0.35256406803208057,-231.0,1
20,20,1.5,3.0,1.0,553.0,0.3465721038665384,-171.0,2
30,10,1.0,1.0,0.5,864.0,0.34056124758397266,-220.0,5
10,20,1.5,2.0,1.0,373.0,0.33281817442879635,-150.0,1
30,10,0.5,2.0,0.5,926.0,0.3292931923379211,-239.0,-3
10,20,1.5,1.0,1.0,369.0,0.32923648411691087,-152.0,1
20,5,1.5,3.0,0.5,533.0,0.32622259160346073,-198.0,2
5,20,0.5,3.0,0.5,465.0,0.3256826185826797,-168.0,-3
20,20,1.5,2.0,0.5,538.0,0.32336117151377514,-201.0,1
5,10,0.5,3.0,0.5,426.0,0.3130247932224565,-176.0,2
10,10,1.5,3.0,0.5,307.0,0.30983394309594803,-133.0,1
10,20,1.5,1.0,0.5,431.0,0.3082186226134799,-189.0,2
5,20,1.0,2.0,0.5,360.0,0.30083443942750765,-138.0,2
20,10,1.5,3.0,0.5,513.0,0.2942331203932505,-180.0,4
