n,n_pass,frac_pass,p10,p25,p50,p75,p90,min,max,flag,gate,stat,direction,value,meaning
50,20,0.4,0.424329034049578,0.49339723692686377,0.6450467215930626,0.8326602037068216,0.8752369904279041,0.1924292682547195,0.9258729584924744,,pair_corr_strong,max_within_family_abs_corr,ge,0.7,very high -> PAIR (no coint required)
50,34,0.68,0.424329034049578,0.49339723692686377,0.6450467215930626,0.8326602037068216,0.8752369904279041,0.1924292682547195,0.9258729584924744,,pair_corr_min,max_within_family_abs_corr,ge,0.5,moderate -> PAIR (with coint)
50,19,0.38,0.9516788284499479,0.9814436240954598,0.9876105641790164,1.0021295542830846,1.009625194618556,0.5554123278040511,1.022796838415713,,mr_vr_max,vr_k5,lt,0.985,low -> MR candidate
50,27,0.54,-0.02720533225868135,-0.012115706472695125,-0.00545344886496315,-0.002461480097125375,0.003698730940545303,-0.2317278030625557,0.0077269416546635,,mr_acf1_max,acf_ret1_lag1,lt,-0.005,negative -> MR candidate
50,20,0.4,0.5181677979305708,0.5272032064461563,0.5365195625219985,0.5451243080811045,0.5537028158402891,0.5108733197657247,0.5788716540562764,,mr_hurst_max,hurst,lt,0.535,low -> anti-persistent / MR
50,6,0.12,0.07731920935536452,0.29653332661349235,0.4502431970773313,0.6538308495941603,0.7563537429312688,0.0013635310535008,0.9458394940477014,,mr_adf_max,adf_p_mid,lt,0.1,stationary mid -> MR
50,15,0.3,0.4583921236382182,0.4840667666326264,0.5313199279038583,0.5854091032044371,0.6256563708273799,0.4414496997624881,0.6985639673291275,,mr_vwap_hurst_max,vwap_hurst,lt,0.5,low VWAP Hurst -> MR
50,7,0.14,0.07609693310145475,0.27224631359858686,0.44507256967123665,0.648879075739789,0.7785829976973094,0.0075377046224038,0.9643015442536352,,mr_vwap_adf_max,vwap_adf_p,lt,0.1,stationary VWAP -> MR
50,49,0.98,0.024325528448650168,0.032537672599889524,0.04537340219430065,0.056669141121098957,0.07777304883467258,0.0169666194927844,0.114535751859458,DEGENERATE_HIGH (almost no products gated out),mr_ic_min,ic_neg_zscore_max_abs,ge,0.02,MR signal IC viable (informational)
50,9,0.18,0.9516788284499479,0.9814436240954598,0.9876105641790164,1.0021295542830846,1.009625194618556,0.5554123278040511,1.022796838415713,,mom_vr_min,vr_k5,gt,1.005,high -> momentum candidate
50,13,0.26,0.5181677979305708,0.5272032064461563,0.5365195625219985,0.5451243080811045,0.5537028158402891,0.5108733197657247,0.5788716540562764,,mom_hurst_min,hurst,gt,0.545,high -> trending
50,34,0.68,0.01415383933380241,0.01781401204157675,0.0242899876871873,0.03399593470482502,0.04313620068474108,0.003282738154848,0.1478714155151668,,mom_ic_min,ic_momentum_max_abs,ge,0.02,momentum signal IC viable
50,46,0.92,0.001840142487424723,0.006116730190103115,0.014139184109932867,0.019221188951464546,0.048321171550052125,0.00013252521596518463,0.44458767219594886,,rw_vr_dev_max,vr_k5_dev_from_1,lt,0.05,near 1 -> RW signature
50,43,0.86,0.018167797930570728,0.027203206446156314,0.03651956252199856,0.04512430808110446,0.05370281584028909,0.010873319765724698,0.07887165405627639,,rw_hurst_dev_max,hurst_dev_from_half,lt,0.05,near 0.5 -> RW signature
50,46,0.92,0.0023079166393446104,0.003479751498715925,0.0068772152353062995,0.012115706472695125,0.027205332258681356,4.904608210985361e-05,0.2317278030625557,,rw_acf1_max_abs,acf_ret1_lag1_abs,lt,0.05,near 0 -> RW signature
50,27,0.54,0.03028963855056069,0.03475999783356212,0.0483682959770761,0.0588458457027393,0.09753504897805984,0.0246794659988714,0.1478714155151668,,rw_max_ic,ic_short_horizon_max_abs,lt,0.05,no short-horizon edge
50,5,0.1,0.608139605241703,0.8443710054513914,0.9292876805477472,1.2670878298499257,1.405630456845813,0.39371076401081706,3.0547327573816516,,rw_spread_to_std_min,spread_to_std,ge,1.5,MM cushion adequate
50,42,0.84,0.24173666666666663,0.5507166666666666,0.8362333333333334,1.0,1.0,0.0006666666666666,1.0,,rw_lim10_sat_min,limit10_saturation,ge,0.3,book deep enough
50,29,0.58,0.027107237788647192,0.0319709809893592,0.04279392946876465,0.05850636006293965,0.06891712838741192,0.0210191999997456,0.1323893775654667,,obi_ic_min,ic_obi_max_abs_short,ge,0.04,OBI IC viable at h<=10
