resample,ari_vs_families
0,0.15666190915960038
1,0.16325905505781454
2,0.09096769572380202
3,0.14408929477422627
4,0.10719830051474794
5,0.1390562248995984
6,0.11729867566011351
7,0.10732673267326732
8,0.15666190915960038
9,0.13506698187549251
10,0.11919720767888307
11,0.1348314606741573
12,0.16249121985483495
13,0.10717449069973428
14,0.09479000899467238
15,0.1601021152443472
16,0.20657749170270542
17,0.12317195022254519
18,0.1963095848282932
19,0.16864608076009502
20,0.16104868913857678
21,0.09181034482758621
22,0.12121597557873315
23,0.13539192399049882
24,0.1700325732899023
25,0.13922706103439825
26,0.15358453414481338
27,0.11869270067884387
28,0.14727818259751393
29,0.11389593908629442
