day,timestamp,GALAXY_SOUNDS,MICROCHIP,OXYGEN_SHAKE,PANEL,PEBBLES,ROBOT,SLEEP_POD,SNACKPACK,TRANSLATOR,UV_VISOR
2,0,,,,,,,,,,
2,100,-2.5,-1.9,1.1,-5.8,0.1,-6.3,0.3,-0.1,2.3,4.2
2,200,5.0,0.8,0.6,8.5,0.0,7.0,-4.2,0.8,-1.2,3.9
2,300,2.8,-5.0,4.4,-2.9,-0.1,1.3,2.8,-0.8,-3.6,4.8
2,400,0.0,1.4,-4.6,2.5,0.0,-5.1,1.0,-1.8,4.2,-1.2
2,500,0.0,-0.8,-0.6,-6.6,0.1,1.3,2.0,0.1,3.0,-0.4
2,600,4.0,3.6,-2.2,6.4,-0.2,-1.7,4.8,-0.1,-3.6,-2.8
2,700,-2.6,1.6,3.2,-7.2,0.0,-0.6,-3.2,-0.3,2.8,6.4
2,800,0.4,-1.8,-2.2,-3.2,0.2,2.9,-4.6,-0.3,6.2,-4.6
2,900,1.8,0.2,0.8,6.2,0.0,-2.9,-1.0,0.1,0.8,-0.6
2,1000,-7.2,-0.2,2.6,-3.0,0.0,-1.1,-3.2,-0.3,-0.8,-0.8
2,1100,2.0,-1.0,3.1,-9.3,0.0,7.8,-2.6,-0.8,-6.8,-3.0
2,1200,-4.2,-1.2,-4.1,5.1,-0.2,6.1,-1.8,-0.6,-2.4,-0.2
2,1300,7.2,-1.4,-1.0,-2.4,0.0,-1.9,-5.2,-0.7,-2.6,-5.7
2,1400,-5.2,5.6,14.4,-9.8,0.0,0.4,-1.8,-0.1,3.2,-3.3
2,1500,2.7,-3.8,0.8,0.7,0.0,3.3,-4.2,0.5,0.4,-3.6
2,1600,-3.3,1.4,-6.6,3.3,0.0,0.4,3.0,1.4,-3.6,2.2
2,1700,-1.9,-0.6,-2.5,1.2,0.1,3.0,2.3,-0.7,-5.4,2.2
2,1800,0.5,-2.0,-1.1,0.0,-0.1,4.9,6.5,2.6,-8.4,-1.8
2,1900,-0.8,-1.6,6.8,-5.6,0.0,-0.9,-0.8,0.0,-9.8,-3.6
2,2000,2.4,-3.4,-3.6,-4.4,0.1,0.5,-3.4,0.9,1.4,-0.6
2,2100,2.2,-2.4,-0.6,-3.8,0.1,4.0,-2.2,2.7,-4.0,-2.4
2,2200,1.7,0.0,5.8,1.4,-0.2,0.9,0.5,-0.6,0.6,-3.0
2,2300,0.0,-0.6,-3.2,0.0,0.0,0.2,0.6,1.0,1.4,-7.4
2,2400,4.3,-0.6,1.6,4.5,0.2,-5.6,-2.5,-1.4,-7.4,0.2
2,2500,-9.9,0.2,0.7,0.3,-0.2,5.6,-9.6,1.0,-5.2,2.6
2,2600,-4.3,3.2,0.3,3.8,0.2,3.6,3.2,0.4,-1.4,-3.8
2,2700,-3.4,2.0,-1.2,-3.0,-0.2,-7.6,-4.0,0.6,-6.6,-5.0
2,2800,-5.4,1.2,-5.9,-7.6,0.0,-1.8,-0.8,-0.4,-5.6,-0.4
2,2900,6.4,0.4,0.3,-6.6,0.1,3.8,7.8,-0.1,-3.8,0.8
2,3000,1.6,1.0,-21.3,-1.7,0.0,-6.0,2.0,-1.3,1.0,-0.4
2,3100,-4.4,3.4,-0.1,-0.5,-0.1,-2.8,-2.6,0.2,-1.0,-5.5
2,3200,-1.4,3.0,-2.4,-0.1,0.0,5.5,4.6,-1.4,3.6,2.5
2,3300,-5.2,-1.6,6.6,-7.5,0.1,-1.9,-3.6,-0.4,-0.4,-11.6
