family,leg,lag,loo,n,corr,day,predictor
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,1,True,9998,-0.014788861214516136,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,True,9997,-0.011035073259232808,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,True,9996,-0.0032192006936343637,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,True,9995,0.009631042929898744,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,5,True,9994,0.019604818315883187,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,1,True,9998,-0.011274229241394738,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,True,9997,0.0012601986780166384,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,3,True,9996,-0.00632066647746214,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,4,True,9995,0.0013148597833443061,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,5,True,9994,-0.00038746647101872006,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,1,True,9998,0.0007280508484673898,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,2,True,9997,-0.005808652985731582,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,3,True,9996,-0.016414181756399988,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,4,True,9995,0.008924155529900462,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,5,True,9994,0.0152478204923583,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1,True,9998,-0.016643161499079153,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,2,True,9997,0.0006134603604385375,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,3,True,9996,-0.003273475467088682,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,4,True,9995,-0.007824557843519382,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,5,True,9994,0.0029209457455221686,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1,True,9998,-0.011820151636437258,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2,True,9997,0.01886661428899372,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,3,True,9996,-0.009273473736304385,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,4,True,9995,0.016269523861048026,2,mid
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,5,True,9994,0.0007616965769907209,2,mid
SLEEP_POD,SLEEP_POD_SUEDE,1,True,9998,0.004530175243626642,2,mid
SLEEP_POD,SLEEP_POD_SUEDE,2,True,9997,-0.008870097850113568,2,mid
SLEEP_POD,SLEEP_POD_SUEDE,3,True,9996,0.0016189849964778397,2,mid
SLEEP_POD,SLEEP_POD_SUEDE,4,True,9995,-0.0073075266544967285,2,mid
SLEEP_POD,SLEEP_POD_SUEDE,5,True,9994,0.018541146329633343,2,mid
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1,True,9998,0.010355199620139545,2,mid
SLEEP_POD,SLEEP_POD_LAMB_WOOL,2,True,9997,-0.015499405119771105,2,mid
SLEEP_POD,SLEEP_POD_LAMB_WOOL,3,True,9996,-0.0007934628835590603,2,mid
SLEEP_POD,SLEEP_POD_LAMB_WOOL,4,True,9995,-0.008601184970737917,2,mid
SLEEP_POD,SLEEP_POD_LAMB_WOOL,5,True,9994,-0.006890165104158912,2,mid
SLEEP_POD,SLEEP_POD_POLYESTER,1,True,9998,-0.009515359411758333,2,mid
