leader,follower,lag,corr
GALAXY_SOUNDS,MICROCHIP,-30,-0.003994031815420498
GALAXY_SOUNDS,MICROCHIP,-29,-0.001424809129291702
GALAXY_SOUNDS,MICROCHIP,-28,-0.009916764432784974
GALAXY_SOUNDS,MICROCHIP,-27,0.005228887957162333
GALAXY_SOUNDS,MICROCHIP,-26,0.009083445954190125
GALAXY_SOUNDS,MICROCHIP,-25,-0.0033408821723706636
GALAXY_SOUNDS,MICROCHIP,-24,-0.006612490813723693
GALAXY_SOUNDS,MICROCHIP,-23,-0.009506496340780353
GALAXY_SOUNDS,MICROCHIP,-22,0.0010440757301225768
GALAXY_SOUNDS,MICROCHIP,-21,0.002022131858157321
GALAXY_SOUNDS,MICROCHIP,-20,-0.0021077776911691405
GALAXY_SOUNDS,MICROCHIP,-19,-0.0014304478594763448
GALAXY_SOUNDS,MICROCHIP,-18,0.0022976035340226994
GALAXY_SOUNDS,MICROCHIP,-17,-0.001305588871483904
GALAXY_SOUNDS,MICROCHIP,-16,0.0004238770369588767
GALAXY_SOUNDS,MICROCHIP,-15,0.0010379840441477408
GALAXY_SOUNDS,MICROCHIP,-14,0.003561113551587218
GALAXY_SOUNDS,MICROCHIP,-13,0.012858173787685586
GALAXY_SOUNDS,MICROCHIP,-12,0.0016540735789761572
GALAXY_SOUNDS,MICROCHIP,-11,-0.007153654294500069
GALAXY_SOUNDS,MICROCHIP,-10,-0.00033467316550388844
GALAXY_SOUNDS,MICROCHIP,-9,0.01104188854498671
GALAXY_SOUNDS,MICROCHIP,-8,0.007312969696252254
GALAXY_SOUNDS,MICROCHIP,-7,-0.0066455102889545975
GALAXY_SOUNDS,MICROCHIP,-6,0.013806573198788495
GALAXY_SOUNDS,MICROCHIP,-5,0.004310447479906816
GALAXY_SOUNDS,MICROCHIP,-4,-0.0022720698987602366
GALAXY_SOUNDS,MICROCHIP,-3,-0.003844525595233423
GALAXY_SOUNDS,MICROCHIP,-2,0.004556252256307949
GALAXY_SOUNDS,MICROCHIP,-1,0.0036960529974978534
GALAXY_SOUNDS,MICROCHIP,1,-0.0018535853311334948
GALAXY_SOUNDS,MICROCHIP,2,0.004288639641603505
GALAXY_SOUNDS,MICROCHIP,3,-0.0005112453439122596
GALAXY_SOUNDS,MICROCHIP,4,-0.001065219387829636
GALAXY_SOUNDS,MICROCHIP,5,0.008025142321947032
GALAXY_SOUNDS,MICROCHIP,6,0.00045828387912028387
GALAXY_SOUNDS,MICROCHIP,7,0.001080816752238922
GALAXY_SOUNDS,MICROCHIP,8,-0.0017556775303122943
GALAXY_SOUNDS,MICROCHIP,9,-0.004789369771286138
GALAXY_SOUNDS,MICROCHIP,10,-0.007496087626965302
GALAXY_SOUNDS,MICROCHIP,11,-5.007568594417617e-05
GALAXY_SOUNDS,MICROCHIP,12,-0.006269780439409191
GALAXY_SOUNDS,MICROCHIP,13,-0.001691764825958634
GALAXY_SOUNDS,MICROCHIP,14,-0.0042407968654079925
GALAXY_SOUNDS,MICROCHIP,15,0.00965197633900383
GALAXY_SOUNDS,MICROCHIP,16,0.0047064923778409925
GALAXY_SOUNDS,MICROCHIP,17,-0.0010203866455050466
