product,strategy,horizon,n_events,total_pnl,mean_pnl_per_event,median_pnl_per_event,std_pnl_per_event,sharpe_per_event,hit_rate,family
MICROCHIP_OVAL,FADE,5,5,130.0,26.0,-30.0,128.15615474880636,0.20287749777575284,0.4,MICROCHIP
MICROCHIP_OVAL,FOLLOW,5,5,-860.0,-172.0,-130.0,124.16118556135005,-1.385296050632603,0.0,MICROCHIP
MICROCHIP_OVAL,FADE,10,5,410.0,82.0,30.0,119.06300852909773,0.6887109692004807,0.8,MICROCHIP
MICROCHIP_OVAL,FOLLOW,10,5,-1140.0,-228.0,-210.0,121.39192724394815,-1.8782138580089696,0.0,MICROCHIP
MICROCHIP_OVAL,FADE,20,5,-1830.0,-366.0,-440.0,402.5717327384028,-0.9091547424613451,0.2,MICROCHIP
MICROCHIP_OVAL,FOLLOW,20,5,1110.0,222.0,280.0,374.5076768238536,0.5927782359036013,0.8,MICROCHIP
MICROCHIP_OVAL,FADE,50,5,-2320.0,-464.0,-450.0,345.867026471157,-1.341556044628309,0.2,MICROCHIP
MICROCHIP_OVAL,FOLLOW,50,5,1610.0,322.0,280.0,334.9268576868687,0.961403938232525,0.8,MICROCHIP
MICROCHIP_OVAL,FADE,100,5,-980.0,-196.0,-170.0,621.5014078825566,-0.3153653354829368,0.4,MICROCHIP
MICROCHIP_OVAL,FOLLOW,100,5,270.0,54.0,70.0,636.1006209712423,0.08489222965629098,0.6,MICROCHIP
MICROCHIP_OVAL,FADE,200,5,-5490.0,-1098.0,-1050.0,969.6473585793962,-1.1323704337303098,0.2,MICROCHIP
MICROCHIP_OVAL,FOLLOW,200,5,4810.0,962.0,940.0,970.1834878001171,0.9915650102243309,0.8,MICROCHIP
MICROCHIP_SQUARE,FADE,5,10,-2550.0,-255.0,-355.0,719.169660094195,-0.3545755809089621,0.4,MICROCHIP
MICROCHIP_SQUARE,FOLLOW,5,10,510.0,51.0,130.0,733.7363286630967,0.06950725759064497,0.6,MICROCHIP
MICROCHIP_SQUARE,FADE,10,10,-4530.0,-453.0,-605.0,1129.8411392757832,-0.400941321972369,0.3,MICROCHIP
MICROCHIP_SQUARE,FOLLOW,10,10,2560.0,256.0,415.0,1137.8330281724116,0.2249890745491783,0.6,MICROCHIP
MICROCHIP_SQUARE,FADE,20,10,-7200.0,-720.0,-960.0,1478.9929005914803,-0.48681775261534854,0.3,MICROCHIP
MICROCHIP_SQUARE,FOLLOW,20,10,5190.0,519.0,745.0,1478.7795643705656,0.3509650880392775,0.7,MICROCHIP
MICROCHIP_SQUARE,FADE,50,10,-4530.0,-453.0,-855.0,1366.5873554222576,-0.3314826514401847,0.3,MICROCHIP
MICROCHIP_SQUARE,FOLLOW,50,10,2550.0,255.0,695.0,1365.9813322296905,0.1866789786825005,0.6,MICROCHIP
MICROCHIP_SQUARE,FADE,100,10,1400.0,140.0,135.0,1976.603146815263,0.07082858297861683,0.5,MICROCHIP
MICROCHIP_SQUARE,FOLLOW,100,10,-3410.0,-341.0,-315.0,1967.0305030680129,-0.1733577590526106,0.2,MICROCHIP
MICROCHIP_SQUARE,FADE,200,10,-14760.0,-1476.0,-1275.0,2832.875570864347,-0.5210253550069103,0.3,MICROCHIP
MICROCHIP_SQUARE,FOLLOW,200,10,12730.0,1273.0,1095.0,2816.867231518021,0.4519204830658544,0.7,MICROCHIP
MICROCHIP_RECTANGLE,FADE,5,18,-1860.0,-103.33333333333333,-75.0,438.6469093828328,-0.2355729200935696,0.3333333333333333,MICROCHIP
MICROCHIP_RECTANGLE,FOLLOW,5,18,-1240.0,-68.88888888888889,-105.0,439.3668283752691,-0.15679128336481962,0.3333333333333333,MICROCHIP
MICROCHIP_RECTANGLE,FADE,10,18,-1760.0,-97.77777777777777,5.0,493.87982743843395,-0.19797888544043957,0.5,MICROCHIP
MICROCHIP_RECTANGLE,FOLLOW,10,18,-1450.0,-80.55555555555556,-185.0,493.7888912640731,-0.1631376423826337,0.3333333333333333,MICROCHIP
