product,side,day,n_events,pnl_h20
MICROCHIP_OVAL,FOLLOW,2,1,640.0
MICROCHIP_OVAL,FOLLOW,3,2,825.0
MICROCHIP_OVAL,FOLLOW,4,2,-260.0
MICROCHIP_RECTANGLE,FOLLOW,2,16,1140.0
MICROCHIP_RECTANGLE,FOLLOW,3,1,710.0
MICROCHIP_RECTANGLE,FOLLOW,4,1,-465.0
MICROCHIP_SQUARE,FOLLOW,2,7,4280.0
MICROCHIP_SQUARE,FOLLOW,3,2,-805.0
MICROCHIP_SQUARE,FOLLOW,4,1,2300.0
MICROCHIP_TRIANGLE,FADE,2,13,3970.0
MICROCHIP_TRIANGLE,FADE,3,2,360.0
MICROCHIP_TRIANGLE,FADE,4,2,-1050.0
OXYGEN_SHAKE_CHOCOLATE,FADE,2,14,5965.0
OXYGEN_SHAKE_CHOCOLATE,FADE,3,2,730.0
OXYGEN_SHAKE_CHOCOLATE,FADE,4,44,20965.0
OXYGEN_SHAKE_EVENING_BREATH,FADE,2,54,22995.0
OXYGEN_SHAKE_EVENING_BREATH,FADE,3,2,-200.0
ROBOT_DISHES,FADE,2,1,340.0
ROBOT_DISHES,FADE,4,116,57635.0
ROBOT_IRONING,FADE,2,48,18540.0
ROBOT_IRONING,FADE,3,2,600.0
