product,n_spikes,systemic_rate,median_peer_count,mean_peer_count
GALAXY_SOUNDS_DARK_MATTER,0,,,
GALAXY_SOUNDS_BLACK_HOLES,3,0.0,0.0,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,2,0.0,0.0,0.0
GALAXY_SOUNDS_SOLAR_WINDS,2,0.0,0.0,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,1,0.0,0.0,0.0
SLEEP_POD_SUEDE,1,0.0,0.0,0.0
SLEEP_POD_LAMB_WOOL,4,0.0,0.0,0.0
SLEEP_POD_POLYESTER,1,0.0,0.0,0.0
SLEEP_POD_NYLON,2,0.0,0.0,0.0
SLEEP_POD_COTTON,2,0.0,0.0,0.0
MICROCHIP_CIRCLE,2,0.0,0.0,0.0
MICROCHIP_OVAL,5,0.0,0.0,0.0
MICROCHIP_SQUARE,10,0.0,0.0,0.2
MICROCHIP_RECTANGLE,18,0.0,0.0,0.1111111111111111
MICROCHIP_TRIANGLE,17,0.0,0.0,0.4117647058823529
PEBBLES_XS,2,0.0,0.0,0.0
PEBBLES_S,1,0.0,0.0,0.0
PEBBLES_M,2,0.0,0.0,0.0
PEBBLES_L,1,0.0,0.0,0.0
PEBBLES_XL,1,0.0,0.0,0.0
ROBOT_VACUUMING,0,,,
ROBOT_MOPPING,2,0.0,0.0,0.0
ROBOT_DISHES,117,0.0,0.0,0.10256410256410256
ROBOT_LAUNDRY,1,0.0,0.0,0.0
ROBOT_IRONING,50,0.0,0.0,0.16
UV_VISOR_AMBER,4,0.0,0.0,0.0
UV_VISOR_MAGENTA,4,0.0,0.0,0.0
UV_VISOR_ORANGE,4,0.0,0.0,0.0
UV_VISOR_RED,2,0.0,0.0,0.0
UV_VISOR_YELLOW,3,0.0,0.0,0.0
TRANSLATOR_ASTRO_BLACK,3,0.0,0.0,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,1,0.0,1.0,1.0
TRANSLATOR_GRAPHITE_MIST,2,0.0,0.0,0.0
TRANSLATOR_SPACE_GRAY,1,0.0,0.0,0.0
TRANSLATOR_VOID_BLUE,2,0.0,0.0,0.0
PANEL_1X2,1,0.0,0.0,0.0
PANEL_1X4,3,0.0,0.0,0.0
PANEL_2X2,2,0.0,0.0,0.0
PANEL_2X4,1,0.0,0.0,0.0
PANEL_4X4,2,0.0,0.0,0.0
OXYGEN_SHAKE_CHOCOLATE,60,0.0,0.0,0.2833333333333333
OXYGEN_SHAKE_MINT,2,0.0,0.0,0.0
OXYGEN_SHAKE_GARLIC,0,,,
OXYGEN_SHAKE_MORNING_BREATH,0,,,
OXYGEN_SHAKE_EVENING_BREATH,56,0.0,0.0,0.17857142857142858
SNACKPACK_CHOCOLATE,3,0.0,1.0,0.6666666666666666
SNACKPACK_VANILLA,1,0.0,1.0,1.0
SNACKPACK_RASPBERRY,2,0.0,0.0,0.0
SNACKPACK_STRAWBERRY,1,0.0,0.0,0.0
SNACKPACK_PISTACHIO,1,0.0,0.0,0.0
