family,product,horizon,mean,median,std,n
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,1,,,,0
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,5,,,,0
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,10,,,,0
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,50,,,,0
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,200,,,,0
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,1,9.5,5.5,6.013872850889571,3
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,5,2.1666666666666665,3.0,14.096886969193669,3
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,10,-13.166666666666666,-2.0,20.18387695386813,3
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,50,-31.666666666666668,-87.5,96.0575637602555,3
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,200,-78.83333333333333,-113.5,71.68255637802609,3
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,1,8.5,8.5,8.5,2
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,5,7.25,7.25,4.75,2
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,10,-3.0,-3.0,28.0,2
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,50,44.0,44.0,1.0,2
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,200,-47.5,-47.5,240.5,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1,8.0,8.0,4.0,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,5,15.0,15.0,21.0,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,10,-10.5,-10.5,33.5,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,50,-133.5,-133.5,36.5,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,200,-101.0,-101.0,12.0,2
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,1,1.5,1.5,0.0,1
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,5,-28.5,-28.5,0.0,1
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,10,-67.5,-67.5,0.0,1
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,50,-185.5,-185.5,0.0,1
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,200,-120.5,-120.5,0.0,1
SLEEP_POD,SLEEP_POD_SUEDE,1,-3.5,-3.5,0.0,1
SLEEP_POD,SLEEP_POD_SUEDE,5,-55.0,-55.0,0.0,1
SLEEP_POD,SLEEP_POD_SUEDE,10,-38.0,-38.0,0.0,1
SLEEP_POD,SLEEP_POD_SUEDE,50,-87.0,-87.0,0.0,1
SLEEP_POD,SLEEP_POD_SUEDE,200,-76.0,-76.0,0.0,1
SLEEP_POD,SLEEP_POD_LAMB_WOOL,1,-5.375,-9.0,7.987294598297974,4
SLEEP_POD,SLEEP_POD_LAMB_WOOL,5,-15.625,-17.25,27.774482443422777,4
SLEEP_POD,SLEEP_POD_LAMB_WOOL,10,11.0,9.25,44.75907729165113,4
SLEEP_POD,SLEEP_POD_LAMB_WOOL,50,57.875,63.25,79.30114674454589,4
SLEEP_POD,SLEEP_POD_LAMB_WOOL,200,-15.125,39.0,234.60535346619864,4
SLEEP_POD,SLEEP_POD_POLYESTER,1,1.0,1.0,0.0,1
SLEEP_POD,SLEEP_POD_POLYESTER,5,-13.0,-13.0,0.0,1
SLEEP_POD,SLEEP_POD_POLYESTER,10,-3.0,-3.0,0.0,1
SLEEP_POD,SLEEP_POD_POLYESTER,50,-19.0,-19.0,0.0,1
SLEEP_POD,SLEEP_POD_POLYESTER,200,-142.5,-142.5,0.0,1
SLEEP_POD,SLEEP_POD_NYLON,1,-7.0,-7.0,8.0,2
SLEEP_POD,SLEEP_POD_NYLON,5,-2.5,-2.5,19.5,2
SLEEP_POD,SLEEP_POD_NYLON,10,5.75,5.75,5.75,2
SLEEP_POD,SLEEP_POD_NYLON,50,-15.5,-15.5,17.5,2
SLEEP_POD,SLEEP_POD_NYLON,200,-129.75,-129.75,53.75,2
SLEEP_POD,SLEEP_POD_COTTON,1,13.5,13.5,7.5,2
SLEEP_POD,SLEEP_POD_COTTON,5,10.75,10.75,28.25,2
SLEEP_POD,SLEEP_POD_COTTON,10,-41.75,-41.75,5.75,2
SLEEP_POD,SLEEP_POD_COTTON,50,-56.0,-56.0,109.0,2
SLEEP_POD,SLEEP_POD_COTTON,200,-24.5,-24.5,172.5,2
MICROCHIP,MICROCHIP_CIRCLE,1,9.75,9.75,5.25,2
MICROCHIP,MICROCHIP_CIRCLE,5,-8.5,-8.5,3.5,2
MICROCHIP,MICROCHIP_CIRCLE,10,-15.5,-15.5,5.5,2
MICROCHIP,MICROCHIP_CIRCLE,50,27.0,27.0,17.0,2
MICROCHIP,MICROCHIP_CIRCLE,200,36.5,36.5,66.5,2
MICROCHIP,MICROCHIP_OVAL,1,2.4,1.0,10.86922260329597,5
MICROCHIP,MICROCHIP_OVAL,5,10.8,13.0,14.955266630856167,5
MICROCHIP,MICROCHIP_OVAL,10,14.7,13.0,5.74108003776293,5
MICROCHIP,MICROCHIP_OVAL,50,-45.2,-33.0,27.321420168065934,5
MICROCHIP,MICROCHIP_OVAL,200,-105.3,-102.5,87.98215728203077,5
MICROCHIP,MICROCHIP_SQUARE,1,4.05,4.75,15.204357927910012,10
MICROCHIP,MICROCHIP_SQUARE,5,-3.5,-8.25,61.9358539135451,10
MICROCHIP,MICROCHIP_SQUARE,10,-33.2,-41.25,107.36926934649411,10
MICROCHIP,MICROCHIP_SQUARE,50,-29.7,-57.75,137.6989832932691,10
MICROCHIP,MICROCHIP_SQUARE,200,-139.75,-110.5,290.0919035409296,10
MICROCHIP,MICROCHIP_RECTANGLE,1,0.1388888888888889,-2.0,13.620659915848787,18
MICROCHIP,MICROCHIP_RECTANGLE,5,5.333333333333333,6.0,35.74990287477094,18
MICROCHIP,MICROCHIP_RECTANGLE,10,2.25,11.25,50.34167977155929,18
MICROCHIP,MICROCHIP_RECTANGLE,50,-2.4722222222222223,-4.5,55.80160098813928,18
MICROCHIP,MICROCHIP_RECTANGLE,200,-4.694444444444445,12.0,85.83562114894195,18
MICROCHIP,MICROCHIP_TRIANGLE,1,-4.764705882352941,-7.0,13.99066668623263,17
MICROCHIP,MICROCHIP_TRIANGLE,5,3.8823529411764706,-6.0,33.41914272308643,17
MICROCHIP,MICROCHIP_TRIANGLE,10,1.2058823529411764,6.0,38.18224827121869,17
MICROCHIP,MICROCHIP_TRIANGLE,50,5.46875,38.0,144.0107926456816,16
MICROCHIP,MICROCHIP_TRIANGLE,200,13.7,32.0,242.08626561620548,15
PEBBLES,PEBBLES_XS,1,-13.75,-13.75,17.75,2
PEBBLES,PEBBLES_XS,5,-2.75,-2.75,1.75,2
PEBBLES,PEBBLES_XS,10,10.75,10.75,16.75,2
PEBBLES,PEBBLES_XS,50,61.25,61.25,46.25,2
PEBBLES,PEBBLES_XS,200,-79.25,-79.25,302.75,2
PEBBLES,PEBBLES_S,1,4.5,4.5,0.0,1
PEBBLES,PEBBLES_S,5,35.5,35.5,0.0,1
PEBBLES,PEBBLES_S,10,57.0,57.0,0.0,1
PEBBLES,PEBBLES_S,50,34.0,34.0,0.0,1
PEBBLES,PEBBLES_S,200,,,,0
