family,product,n_ticks,n_spikes,spike_rate_per_10k,abs_ret_mean,abs_ret_p90,z_mean,z_max,post_h1_mean,post_h5_mean,post_h10_mean,post_h50_mean,post_h200_mean,post_h1_n,post_h5_n,post_h10_n,post_h50_n,post_h200_n,spread_at_spike_mean,spread_baseline_mean,spread_widen_x,depth_at_spike_mean,depth_baseline_mean,depth_drop_x
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,30000,0,0.0,,,,,,,,,,0,0,0,0,0,,,,,,
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,30000,3,1.0,48.833333333333336,51.2,4.364789028307652,4.640285523006043,9.5,2.1666666666666665,-13.166666666666666,-31.666666666666668,-78.83333333333333,3,3,3,3,3,15.333333333333334,14.512766666666666,1.056541022502027,37.333333333333336,36.5128,1.0224724845351039
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,30000,2,0.6666666666666667,45.5,45.9,4.4457715462756315,4.741561266562646,8.5,7.25,-3.0,44.0,-47.5,2,2,2,2,2,13.5,13.690033333333334,0.9861188553229722,41.0,36.5128,1.12289388926623
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,30000,2,0.6666666666666667,41.25,41.45,4.066889860728747,4.101619516683262,8.0,15.0,-10.5,-133.5,-101.0,2,2,2,2,2,13.0,13.301266666666667,0.9773505280198879,30.0,36.5128,0.8216296750728512
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,30000,1,0.33333333333333337,51.0,51.0,4.661806847013193,4.661806847013193,1.5,-28.5,-67.5,-185.5,-120.5,1,1,1,1,1,15.0,14.071533333333333,1.0659819114713867,26.0,36.5128,0.7120790517298043
SLEEP_POD,SLEEP_POD_SUEDE,30000,1,0.33333333333333337,46.0,46.0,4.1030177784661985,4.1030177784661985,-3.5,-55.0,-38.0,-87.0,-76.0,1,1,1,1,1,10.0,9.949466666666666,1.0050789992093379,14.0,21.8194,0.6416308422779727
SLEEP_POD,SLEEP_POD_LAMB_WOOL,30000,4,1.3333333333333335,44.875,49.75,4.301222157492044,4.526739000224353,-5.375,-15.625,11.0,57.875,-15.125,4,4,4,4,4,8.25,9.4001,0.877650237763428,19.25,21.7455,0.8852406244970223
SLEEP_POD,SLEEP_POD_POLYESTER,30000,1,0.33333333333333337,43.0,43.0,4.046466033622972,4.046466033622972,1.0,-13.0,-3.0,-19.0,-142.5,1,1,1,1,1,10.0,10.2957,0.9712792719290577,28.0,21.752133333333333,1.2872300647905799
SLEEP_POD,SLEEP_POD_NYLON,30000,2,0.6666666666666667,42.5,43.7,4.236837191331768,4.398975307963393,-7.0,-2.5,5.75,-15.5,-129.75,2,2,2,2,2,9.5,8.564666666666668,1.1092083754962248,22.0,23.365433333333332,0.9415618228066247
SLEEP_POD,SLEEP_POD_COTTON,30000,2,0.6666666666666667,48.75,55.35,4.1569223468416485,4.308050071147632,13.5,10.75,-41.75,-56.0,-24.5,2,2,2,2,2,7.5,10.0502,0.74625380589441,18.5,21.739366666666665,0.8509907525671555
MICROCHIP,MICROCHIP_CIRCLE,30000,2,0.6666666666666667,38.5,38.9,4.132609066922676,4.193440858076162,9.75,-8.5,-15.5,27.0,36.5,2,2,2,2,2,8.5,8.262166666666667,1.028785830996712,16.0,13.522233333333334,1.1832364969297477
