feature,importance,target,horizon,model,product,vol_gate_q
obi_l3_lag20,68.93834877396517,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
obi_l1_lag1,64.87171983160036,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
fam_mean_obi_l1_lag5,61.5944391223604,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
obi_l1_lag5,61.59443912235748,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
fam_mean_obi_l1_lag20,56.56814926496811,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
obi_l1_lag20,56.56814926496502,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
obi_l3_lag50,55.48268060729541,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
obi_l3_lag5,39.750615626669386,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
fam_mean_microprice_dev_lag20,33.303695806636725,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
obi_l3_lag1,29.177544981417892,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
obi_l1_lag50,22.32067076731078,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
microprice_dev_lag5,21.732777253770557,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
microprice_dev_lag1,18.848514728330098,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
fam_mean_microprice_dev_lag5,12.420045598668032,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
microprice_dev_lag50,7.065048158486307,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
microprice_dev_lag20,2.8468831416029317,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag1,2.7900412251296896,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag5,2.5611176919160745,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
signed_flow_20_lag50,1.687446383307891,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
signed_flow_20_lag20,1.609337064752717,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag20,1.2544848528552144,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag50,1.2453244117925635,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
spread_bps_lag20,1.1284646244237497,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
spread_bps_lag5,0.8337508042508397,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
spread_bps_lag50,0.7048455880057278,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
spread_bps_lag1,0.6466757809036003,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
signed_flow_20_lag1,0.4200006163333715,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag20,0.1679272130119215,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag50,0.15777570358678894,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
fam_mean_ret_10_lag20,0.1098021143151773,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
signed_flow_20_lag5,0.06509247496256562,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_10_lag50,0.06128941870007483,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
vwap_dev_lag50,0.059264035781106436,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag5,0.053203013106900746,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
vwap_dev_lag1,0.04425903127580084,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_10_lag5,0.029718802876639,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
fam_mean_ret_10_lag5,0.027822555091627312,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag1,0.019023792565142153,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_10_lag20,0.016736599708348336,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
vwap_dev_lag5,0.016124549987784908,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_1_lag1,0.013186385096103922,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_1_lag50,0.011417443783587035,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_1_lag20,0.011128950515780523,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_1_lag5,0.0075366741764706265,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
ret_10_lag1,0.005665924233176234,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
vwap_dev_lag20,3.1765402450577724e-05,fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag50,155628298.19091797,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag1,120647604.02685547,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag20,84627665.54248047,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag20,69763524.1484375,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag50,60422149.443847656,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
std_500_lag5,46468899.80810547,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
vwap_dev_lag50,43377136.0546875,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
spread_bps_lag50,41473276.13769531,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
vwap_dev_lag1,38650920.236816406,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag5,35771053.76269531,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
std_50_lag1,31659221.708496094,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
spread_bps_lag1,30370053.853027344,fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5
