target,horizon,model,product,vol_gate_q,fold,day,pnl,ic_day
fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5,D2->D3,3,-51930.0,0.06760426690365538
fwd_ret,50,ridge,GALAXY_SOUNDS_BLACK_HOLES,5,D2+D3->D4,4,-34100.0,-0.01342600837033886
fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5,D2->D3,3,-135980.0,-0.04655692747162548
fwd_ret,50,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5,D2+D3->D4,4,-150720.0,-0.042455037074759644
fwd_ret,100,ridge,GALAXY_SOUNDS_BLACK_HOLES,5,D2->D3,3,-27380.0,0.11230318670509563
fwd_ret,100,ridge,GALAXY_SOUNDS_BLACK_HOLES,5,D2+D3->D4,4,-94110.0,-0.10735100278696448
fwd_ret,100,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5,D2->D3,3,-105550.0,-0.0701527900973609
fwd_ret,100,lgbm,GALAXY_SOUNDS_BLACK_HOLES,5,D2+D3->D4,4,-168160.0,-0.12287453027698268
fwd_ret,50,ridge,GALAXY_SOUNDS_DARK_MATTER,5,D2->D3,3,-22280.0,-0.01831030651321534
fwd_ret,50,ridge,GALAXY_SOUNDS_DARK_MATTER,5,D2+D3->D4,4,-21870.0,-0.08153947201658213
fwd_ret,50,lgbm,GALAXY_SOUNDS_DARK_MATTER,5,D2->D3,3,-124540.0,-0.027673512473594272
fwd_ret,50,lgbm,GALAXY_SOUNDS_DARK_MATTER,5,D2+D3->D4,4,-144920.0,-0.14261169661416007
fwd_ret,100,ridge,GALAXY_SOUNDS_DARK_MATTER,5,D2->D3,3,-61950.0,0.005769531691577989
fwd_ret,100,ridge,GALAXY_SOUNDS_DARK_MATTER,5,D2+D3->D4,4,-64020.0,-0.14108712978269233
fwd_ret,100,lgbm,GALAXY_SOUNDS_DARK_MATTER,5,D2->D3,3,-124550.0,0.02808995534304656
fwd_ret,100,lgbm,GALAXY_SOUNDS_DARK_MATTER,5,D2+D3->D4,4,-132160.0,-0.16942786025577863
fwd_ret,50,ridge,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2->D3,3,-63460.0,0.03989579666762781
fwd_ret,50,ridge,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2+D3->D4,4,-38640.0,-0.008543899301272551
fwd_ret,50,lgbm,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2->D3,3,-141730.0,-0.05831546839229237
fwd_ret,50,lgbm,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2+D3->D4,4,-141820.0,-0.007444112286940503
fwd_ret,100,ridge,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2->D3,3,-110530.0,-0.015520423384530357
fwd_ret,100,ridge,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2+D3->D4,4,-83350.0,-0.02272105601887784
fwd_ret,100,lgbm,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2->D3,3,-169430.0,-0.016033379239912784
fwd_ret,100,lgbm,GALAXY_SOUNDS_PLANETARY_RINGS,5,D2+D3->D4,4,-132140.0,0.023100754872394498
fwd_ret,50,ridge,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2->D3,3,-61590.0,0.020215671086815514
fwd_ret,50,ridge,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2+D3->D4,4,-16870.0,-0.028842707874859156
fwd_ret,50,lgbm,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2->D3,3,-137580.0,0.0593242547847457
fwd_ret,50,lgbm,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2+D3->D4,4,-135740.0,-0.0008951055552281729
fwd_ret,100,ridge,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2->D3,3,-62640.0,0.07602168620595375
fwd_ret,100,ridge,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2+D3->D4,4,-52490.0,-0.019356413576103095
fwd_ret,100,lgbm,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2->D3,3,-122520.0,0.06432662699189656
fwd_ret,100,lgbm,GALAXY_SOUNDS_SOLAR_FLAMES,5,D2+D3->D4,4,-155680.0,-0.0724806879056908
fwd_ret,50,ridge,GALAXY_SOUNDS_SOLAR_WINDS,5,D2->D3,3,-43350.0,0.06746143108485181
fwd_ret,50,ridge,GALAXY_SOUNDS_SOLAR_WINDS,5,D2+D3->D4,4,-27130.0,-0.0003413968713737188
fwd_ret,50,lgbm,GALAXY_SOUNDS_SOLAR_WINDS,5,D2->D3,3,-124980.0,0.005712702505246132
fwd_ret,50,lgbm,GALAXY_SOUNDS_SOLAR_WINDS,5,D2+D3->D4,4,-120060.0,0.0014270822397310526
fwd_ret,100,ridge,GALAXY_SOUNDS_SOLAR_WINDS,5,D2->D3,3,-62530.0,0.02799109095842488
fwd_ret,100,ridge,GALAXY_SOUNDS_SOLAR_WINDS,5,D2+D3->D4,4,-58790.0,-0.03280367728175087
fwd_ret,100,lgbm,GALAXY_SOUNDS_SOLAR_WINDS,5,D2->D3,3,-132410.0,-0.08377975726279958
fwd_ret,100,lgbm,GALAXY_SOUNDS_SOLAR_WINDS,5,D2+D3->D4,4,-127110.0,0.018557559373672206
