product,signal,horizon,regime,n,ic
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,1,low,9966,0.003206455672452019
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,1,mid,9974,0.017710668663697988
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,1,high,9990,-0.011647343657335734
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,10,low,9948,0.015698526350095218
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,10,mid,9970,0.02018190460429364
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,10,high,9985,-0.020825785143819955
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,100,low,9840,0.03911057620224981
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,100,mid,9884,0.004854672530133909
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,100,high,9909,-0.04708269628897
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,1000,low,8721,-0.011849393192583853
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,1000,mid,9091,0.04424640772029615
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_mid_50,1000,high,9121,0.13269758917397675
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,1,low,9449,-0.011871032605408864
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,1,mid,9367,-0.0052857619070597085
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,1,high,9475,-0.0048875015355876366
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,10,low,9431,-0.02830736672315464
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,10,mid,9363,0.017934842026946455
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,10,high,9470,-0.026146491163422193
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,100,low,9323,0.061229829571821874
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,100,mid,9277,0.06637054871724547
GALAXY_SOUNDS_DARK_MATTER,neg_zscore_vwap_50,100,high,9394,0.010088212614029451
