product,from,to,p
GALAXY_SOUNDS_DARK_MATTER,low,low,0.964260686755431
GALAXY_SOUNDS_DARK_MATTER,low,mid,0.035739313244569026
GALAXY_SOUNDS_DARK_MATTER,low,high,0.0
GALAXY_SOUNDS_DARK_MATTER,mid,low,0.03573215894304874
GALAXY_SOUNDS_DARK_MATTER,mid,mid,0.9335401861675507
GALAXY_SOUNDS_DARK_MATTER,mid,high,0.03072765488940046
GALAXY_SOUNDS_DARK_MATTER,high,low,0.0
GALAXY_SOUNDS_DARK_MATTER,high,mid,0.03063063063063063
GALAXY_SOUNDS_DARK_MATTER,high,high,0.9693693693693693
GALAXY_SOUNDS_BLACK_HOLES,low,low,0.9651651651651652
GALAXY_SOUNDS_BLACK_HOLES,low,mid,0.034834834834834835
GALAXY_SOUNDS_BLACK_HOLES,low,high,0.0
GALAXY_SOUNDS_BLACK_HOLES,mid,low,0.034734734734734735
GALAXY_SOUNDS_BLACK_HOLES,mid,mid,0.933933933933934
GALAXY_SOUNDS_BLACK_HOLES,mid,high,0.031331331331331334
GALAXY_SOUNDS_BLACK_HOLES,high,low,0.0
GALAXY_SOUNDS_BLACK_HOLES,high,mid,0.03123123123123123
GALAXY_SOUNDS_BLACK_HOLES,high,high,0.9687687687687687
GALAXY_SOUNDS_PLANETARY_RINGS,low,low,0.9655586704044854
GALAXY_SOUNDS_PLANETARY_RINGS,low,mid,0.034441329595514616
GALAXY_SOUNDS_PLANETARY_RINGS,low,high,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,mid,low,0.03453107797017316
GALAXY_SOUNDS_PLANETARY_RINGS,mid,mid,0.9348413572214993
GALAXY_SOUNDS_PLANETARY_RINGS,mid,high,0.030627564808327495
GALAXY_SOUNDS_PLANETARY_RINGS,high,low,0.0
GALAXY_SOUNDS_PLANETARY_RINGS,high,mid,0.030627564808327495
GALAXY_SOUNDS_PLANETARY_RINGS,high,high,0.9693724351916725
GALAXY_SOUNDS_SOLAR_WINDS,low,low,0.9639675708137324
GALAXY_SOUNDS_SOLAR_WINDS,low,mid,0.03603242918626764
GALAXY_SOUNDS_SOLAR_WINDS,low,high,0.0
GALAXY_SOUNDS_SOLAR_WINDS,mid,low,0.035735735735735734
GALAXY_SOUNDS_SOLAR_WINDS,mid,mid,0.9316316316316317
GALAXY_SOUNDS_SOLAR_WINDS,mid,high,0.032632632632632635
GALAXY_SOUNDS_SOLAR_WINDS,high,low,0.0
GALAXY_SOUNDS_SOLAR_WINDS,high,mid,0.03243567924717189
GALAXY_SOUNDS_SOLAR_WINDS,high,high,0.9675643207528282
GALAXY_SOUNDS_SOLAR_FLAMES,low,low,0.9638638638638639
GALAXY_SOUNDS_SOLAR_FLAMES,low,mid,0.036136136136136136
GALAXY_SOUNDS_SOLAR_FLAMES,low,high,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,mid,low,0.035935935935935935
GALAXY_SOUNDS_SOLAR_FLAMES,mid,mid,0.9322322322322323
GALAXY_SOUNDS_SOLAR_FLAMES,mid,high,0.03183183183183183
GALAXY_SOUNDS_SOLAR_FLAMES,high,low,0.0
GALAXY_SOUNDS_SOLAR_FLAMES,high,mid,0.03173173173173173
GALAXY_SOUNDS_SOLAR_FLAMES,high,high,0.9682682682682683
