a,b,coint_t,coint_p
MICROCHIP_CIRCLE,MICROCHIP_OVAL,-1.9754794107200178,0.5412982987210551
MICROCHIP_CIRCLE,MICROCHIP_SQUARE,-1.8283902144145525,0.615832236856537
MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,-1.8920399626581779,0.584038625404854
MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,-2.521973146754915,0.2694651477291845
MICROCHIP_OVAL,MICROCHIP_SQUARE,-1.490993955361352,0.7646292826130991
MICROCHIP_OVAL,MICROCHIP_RECTANGLE,-1.9716713716213545,0.5432685784345834
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,-3.3154758817852477,0.052644110057756086
MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,-3.676787952738715,0.019622863772799752
MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,-1.8838320361209595,0.5881840375639449
MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,-2.001160051705754,0.5279750107211056
