feature,importance,target,horizon,model,product,vol_gate_q
obi_l3_lag5,31.219632823055314,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
fam_mean_obi_l1_lag20,27.370065757212565,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
obi_l1_lag5,20.230633735336152,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
obi_l3_lag1,16.07386999739915,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
obi_l3_lag20,12.16730389710124,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
obi_l1_lag1,11.368824231166117,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
fam_mean_microprice_dev_lag20,5.341314903638527,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
fam_mean_obi_l1_lag5,5.22002900204021,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_500_lag5,4.6982713974890595,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
microprice_dev_lag5,4.547143569947882,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
obi_l1_lag20,3.456715850328239,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
obi_l1_lag50,3.055405273034049,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_500_lag1,2.5643367610328696,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
fam_mean_microprice_dev_lag5,2.524582873541415,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_500_lag20,2.5173149102924697,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
microprice_dev_lag1,2.507444000152114,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
obi_l3_lag50,1.7374875749196266,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
signed_flow_20_lag50,1.40865936355757,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
microprice_dev_lag20,1.3016508103573214,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
microprice_dev_lag50,1.2210993972637727,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
spread_bps_lag5,0.9910912908148213,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
spread_bps_lag20,0.7732734523754565,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
signed_flow_20_lag5,0.6927007383493873,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
spread_bps_lag1,0.5386884757566923,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_500_lag50,0.49487962812542735,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
spread_bps_lag50,0.34495863965319357,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
signed_flow_20_lag20,0.1910697102907718,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_50_lag5,0.15411868103830995,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_50_lag20,0.14074480447504956,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_50_lag1,0.13784041015272802,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
fam_mean_ret_10_lag20,0.08214904534673392,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
fam_mean_ret_10_lag5,0.061591690956674196,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_50_lag50,0.03903514107560809,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
vwap_dev_lag5,0.03900512542602616,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_10_lag50,0.036890781543674506,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_10_lag5,0.027573284505823477,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_1_lag50,0.025992152588292957,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
signed_flow_20_lag1,0.022382902858514502,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
vwap_dev_lag20,0.01855125535359663,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
vwap_dev_lag50,0.01292011422379172,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_1_lag1,0.012502906054014998,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_10_lag1,0.010074068304890974,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_10_lag20,0.009106891667872215,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
vwap_dev_lag1,0.008480044184082299,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_1_lag20,0.00621128524234864,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
ret_1_lag5,0.003764819805952459,fwd_ret,50,ridge,MICROCHIP_CIRCLE,5
std_500_lag50,100763594.98876953,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
std_500_lag1,62674193.33496094,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
std_500_lag20,53496496.099365234,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
vwap_dev_lag50,36677714.71777344,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
std_50_lag20,34709502.755859375,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
std_50_lag1,31479530.752441406,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
vwap_dev_lag20,30866270.044677734,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
std_50_lag50,29545387.66748047,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
std_500_lag5,28152824.665771484,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
spread_bps_lag1,27231320.70751953,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
spread_bps_lag50,23265240.07006836,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
vwap_dev_lag1,20839363.30078125,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
std_50_lag5,19437633.334228516,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
vwap_dev_lag5,18641114.006835938,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
spread_bps_lag5,15826023.024169922,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
spread_bps_lag20,13031613.479003906,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
signed_flow_20_lag1,9191011.3671875,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
signed_flow_20_lag50,8296557.966308594,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
signed_flow_20_lag20,7187621.292480469,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
signed_flow_20_lag5,6139676.591552734,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
fam_mean_ret_10_lag20,6135843.557128906,fwd_ret,50,lgbm,MICROCHIP_CIRCLE,5
