product,signal,horizon,regime,n,ic
MICROCHIP_CIRCLE,neg_zscore_mid_50,1,low,9966,0.014629489663426885
MICROCHIP_CIRCLE,neg_zscore_mid_50,1,mid,9974,0.0005633721479449947
MICROCHIP_CIRCLE,neg_zscore_mid_50,1,high,9990,-0.0008355650105923851
MICROCHIP_CIRCLE,neg_zscore_mid_50,10,low,9950,0.027141966596655423
MICROCHIP_CIRCLE,neg_zscore_mid_50,10,mid,9972,0.030904496450674526
MICROCHIP_CIRCLE,neg_zscore_mid_50,10,high,9981,-0.014443023333971388
MICROCHIP_CIRCLE,neg_zscore_mid_50,100,low,9775,0.021758477992276818
MICROCHIP_CIRCLE,neg_zscore_mid_50,100,mid,9885,0.0003576566583268856
MICROCHIP_CIRCLE,neg_zscore_mid_50,100,high,9973,0.03021955813368155
MICROCHIP_CIRCLE,neg_zscore_mid_50,1000,low,8943,-0.03878100175620531
MICROCHIP_CIRCLE,neg_zscore_mid_50,1000,mid,8920,-0.06126354716961673
MICROCHIP_CIRCLE,neg_zscore_mid_50,1000,high,9070,-0.04809218010216936
MICROCHIP_CIRCLE,neg_zscore_vwap_50,1,low,9383,-0.006300468743632471
MICROCHIP_CIRCLE,neg_zscore_vwap_50,1,mid,9240,-0.015292781725956248
MICROCHIP_CIRCLE,neg_zscore_vwap_50,1,high,9469,0.002129669362276061
MICROCHIP_CIRCLE,neg_zscore_vwap_50,10,low,9367,-0.02856596785810941
MICROCHIP_CIRCLE,neg_zscore_vwap_50,10,mid,9238,-0.018923636694721635
MICROCHIP_CIRCLE,neg_zscore_vwap_50,10,high,9460,-0.0155243518056537
MICROCHIP_CIRCLE,neg_zscore_vwap_50,100,low,9206,-0.008008938053224137
MICROCHIP_CIRCLE,neg_zscore_vwap_50,100,mid,9174,-0.0026112372623342426
MICROCHIP_CIRCLE,neg_zscore_vwap_50,100,high,9459,0.07022678161443131
MICROCHIP_CIRCLE,neg_zscore_vwap_50,1000,low,8388,-0.011316405526156844
MICROCHIP_CIRCLE,neg_zscore_vwap_50,1000,mid,8344,-0.02959920372433016
MICROCHIP_CIRCLE,neg_zscore_vwap_50,1000,high,8697,-0.009064197727232241
MICROCHIP_CIRCLE,obi_l1,1,low,9990,0.020390735876351786
MICROCHIP_CIRCLE,obi_l1,1,mid,9990,0.02525169874798017
MICROCHIP_CIRCLE,obi_l1,1,high,9990,0.02094934739750151
MICROCHIP_CIRCLE,obi_l1,10,low,9974,-0.0028076145228786266
MICROCHIP_CIRCLE,obi_l1,10,mid,9988,0.009085919296107046
MICROCHIP_CIRCLE,obi_l1,10,high,9981,0.019837264981659636
MICROCHIP_CIRCLE,obi_l1,100,low,9799,-0.015778590803902367
MICROCHIP_CIRCLE,obi_l1,100,mid,9901,-0.0053756469391149165
MICROCHIP_CIRCLE,obi_l1,100,high,9973,0.022061750388378182
MICROCHIP_CIRCLE,obi_l1,1000,low,8967,-0.021323886163873998
MICROCHIP_CIRCLE,obi_l1,1000,mid,8936,0.015637948966658582
MICROCHIP_CIRCLE,obi_l1,1000,high,9070,-0.0030809127023918455
MICROCHIP_CIRCLE,obi_l3,1,low,9990,-0.04129532555846805
MICROCHIP_CIRCLE,obi_l3,1,mid,9990,-0.027361210370233868
MICROCHIP_CIRCLE,obi_l3,1,high,9990,-0.03734650115888771
MICROCHIP_CIRCLE,obi_l3,10,low,9974,-0.02547539335420767
MICROCHIP_CIRCLE,obi_l3,10,mid,9988,-0.002080334749932325
MICROCHIP_CIRCLE,obi_l3,10,high,9981,-0.008532884090031233
MICROCHIP_CIRCLE,obi_l3,100,low,9799,-0.0003617269186734961
MICROCHIP_CIRCLE,obi_l3,100,mid,9901,-0.004438438139498884
MICROCHIP_CIRCLE,obi_l3,100,high,9973,-0.011744124658662385
MICROCHIP_CIRCLE,obi_l3,1000,low,8967,0.012628696751006271
MICROCHIP_CIRCLE,obi_l3,1000,mid,8936,-0.0034861328591224133
MICROCHIP_CIRCLE,obi_l3,1000,high,9070,0.00416138060577949
MICROCHIP_CIRCLE,momentum_10,1,low,9989,-0.007381497962527188
MICROCHIP_CIRCLE,momentum_10,1,mid,9990,0.004436024738406689
MICROCHIP_CIRCLE,momentum_10,1,high,9990,0.011182119980049421
MICROCHIP_CIRCLE,momentum_10,10,low,9973,-0.016657246492724927
MICROCHIP_CIRCLE,momentum_10,10,mid,9988,-0.04292389240784667
MICROCHIP_CIRCLE,momentum_10,10,high,9981,0.011908732707845203
MICROCHIP_CIRCLE,momentum_10,100,low,9798,-0.018191913654218392
MICROCHIP_CIRCLE,momentum_10,100,mid,9901,-0.04039828319591552
MICROCHIP_CIRCLE,momentum_10,100,high,9973,0.03089515391048424
MICROCHIP_CIRCLE,momentum_10,1000,low,8966,0.04048047394687468
MICROCHIP_CIRCLE,momentum_10,1000,mid,8936,-0.019681689993500912
MICROCHIP_CIRCLE,momentum_10,1000,high,9070,0.05001429340587436
MICROCHIP_CIRCLE,neg_spread,1,low,9990,0.0058732310024992174
MICROCHIP_CIRCLE,neg_spread,1,mid,9990,0.016726664366638215
MICROCHIP_CIRCLE,neg_spread,1,high,9990,0.0063256158632760805
MICROCHIP_CIRCLE,neg_spread,10,low,9974,0.010484837031730443
MICROCHIP_CIRCLE,neg_spread,10,mid,9988,0.004313779129459608
MICROCHIP_CIRCLE,neg_spread,10,high,9981,0.01643566363708057
MICROCHIP_CIRCLE,neg_spread,100,low,9799,0.04462964147429649
MICROCHIP_CIRCLE,neg_spread,100,mid,9901,0.03186831435442172
MICROCHIP_CIRCLE,neg_spread,100,high,9973,0.032397687469761315
MICROCHIP_CIRCLE,neg_spread,1000,low,8967,0.08113472851732062
MICROCHIP_CIRCLE,neg_spread,1000,mid,8936,0.03435950105657735
MICROCHIP_CIRCLE,neg_spread,1000,high,9070,0.02546164438223509
MICROCHIP_CIRCLE,trade_imbalance,1,low,9990,-0.0005635074600826302
MICROCHIP_CIRCLE,trade_imbalance,1,mid,9990,-0.006002469655958628
MICROCHIP_CIRCLE,trade_imbalance,1,high,9990,0.006024504596941945
MICROCHIP_CIRCLE,trade_imbalance,10,low,9974,0.00604821754544117
MICROCHIP_CIRCLE,trade_imbalance,10,mid,9988,-0.04393091416390024
MICROCHIP_CIRCLE,trade_imbalance,10,high,9981,0.032506032593044
MICROCHIP_CIRCLE,trade_imbalance,100,low,9799,-0.009513222623255905
MICROCHIP_CIRCLE,trade_imbalance,100,mid,9901,-0.026916064547066073
MICROCHIP_CIRCLE,trade_imbalance,100,high,9973,0.03715137414391606
MICROCHIP_CIRCLE,trade_imbalance,1000,low,8967,-0.00935521340523054
MICROCHIP_CIRCLE,trade_imbalance,1000,mid,8936,0.010697510149485816
MICROCHIP_CIRCLE,trade_imbalance,1000,high,9070,-0.019453723156984164
MICROCHIP_OVAL,neg_zscore_mid_50,1,low,9950,0.0021804242184118305
MICROCHIP_OVAL,neg_zscore_mid_50,1,mid,9991,0.015775717262616933
MICROCHIP_OVAL,neg_zscore_mid_50,1,high,9989,0.007605498330684298
MICROCHIP_OVAL,neg_zscore_mid_50,10,low,9941,0.0130080058389449
MICROCHIP_OVAL,neg_zscore_mid_50,10,mid,9984,0.050891542202830736
MICROCHIP_OVAL,neg_zscore_mid_50,10,high,9978,0.00864497802477675
MICROCHIP_OVAL,neg_zscore_mid_50,100,low,9846,-0.0010419592784191459
MICROCHIP_OVAL,neg_zscore_mid_50,100,mid,9928,-0.009521628524973952
MICROCHIP_OVAL,neg_zscore_mid_50,100,high,9859,0.045202622991356856
MICROCHIP_OVAL,neg_zscore_mid_50,1000,low,8862,0.07597837293639405
MICROCHIP_OVAL,neg_zscore_mid_50,1000,mid,9081,0.033122128921839286
MICROCHIP_OVAL,neg_zscore_mid_50,1000,high,8990,0.078627782205859
MICROCHIP_OVAL,neg_zscore_vwap_50,1,low,9659,-0.0058411796170475296
MICROCHIP_OVAL,neg_zscore_vwap_50,1,mid,9474,0.00593642752115725
MICROCHIP_OVAL,neg_zscore_vwap_50,1,high,9441,-0.011723566607530907
MICROCHIP_OVAL,neg_zscore_vwap_50,10,low,9650,-0.0179409940259397
MICROCHIP_OVAL,neg_zscore_vwap_50,10,mid,9467,0.014527184315058797
MICROCHIP_OVAL,neg_zscore_vwap_50,10,high,9430,-0.041333405354657876
MICROCHIP_OVAL,neg_zscore_vwap_50,100,low,9555,0.011902824439431517
MICROCHIP_OVAL,neg_zscore_vwap_50,100,mid,9411,0.013289470754575497
MICROCHIP_OVAL,neg_zscore_vwap_50,100,high,9311,0.001079256905144984
MICROCHIP_OVAL,neg_zscore_vwap_50,1000,low,8602,0.11212658047836191
MICROCHIP_OVAL,neg_zscore_vwap_50,1000,mid,8624,0.11152344962418687
MICROCHIP_OVAL,neg_zscore_vwap_50,1000,high,8537,0.06350327643015198
MICROCHIP_OVAL,obi_l1,1,low,9990,0.01706796880629103
MICROCHIP_OVAL,obi_l1,1,mid,9991,0.016443506102254646
MICROCHIP_OVAL,obi_l1,1,high,9989,0.013154139898558804
MICROCHIP_OVAL,obi_l1,10,low,9981,0.014115178177328056
MICROCHIP_OVAL,obi_l1,10,mid,9984,0.009412882926857455
MICROCHIP_OVAL,obi_l1,10,high,9978,-0.0076299193680436925
MICROCHIP_OVAL,obi_l1,100,low,9886,-0.0030326871836218604
MICROCHIP_OVAL,obi_l1,100,mid,9928,0.0011372334345233076
MICROCHIP_OVAL,obi_l1,100,high,9859,-0.007752679416823458
MICROCHIP_OVAL,obi_l1,1000,low,8902,0.007389143182607619
MICROCHIP_OVAL,obi_l1,1000,mid,9081,0.0032045270106170584
MICROCHIP_OVAL,obi_l1,1000,high,8990,-0.015735454199455146
MICROCHIP_OVAL,obi_l3,1,low,9990,-0.035463374606310286
MICROCHIP_OVAL,obi_l3,1,mid,9991,-0.02602110014653715
MICROCHIP_OVAL,obi_l3,1,high,9989,-0.02893175756642411
