product,from,to,p
MICROCHIP_CIRCLE,low,low,0.9671671671671672
MICROCHIP_CIRCLE,low,mid,0.03283283283283283
MICROCHIP_CIRCLE,low,high,0.0
MICROCHIP_CIRCLE,mid,low,0.032632632632632635
MICROCHIP_CIRCLE,mid,mid,0.9376376376376376
MICROCHIP_CIRCLE,mid,high,0.02972972972972973
MICROCHIP_CIRCLE,high,low,0.0
MICROCHIP_CIRCLE,high,mid,0.02962962962962963
MICROCHIP_CIRCLE,high,high,0.9703703703703703
MICROCHIP_OVAL,low,low,0.9685685685685685
MICROCHIP_OVAL,low,mid,0.03143143143143143
MICROCHIP_OVAL,low,high,0.0
MICROCHIP_OVAL,mid,low,0.031228105294765288
MICROCHIP_OVAL,mid,mid,0.938644780302272
MICROCHIP_OVAL,mid,high,0.030127114402962667
MICROCHIP_OVAL,high,low,0.0
MICROCHIP_OVAL,high,mid,0.029932926218840725
MICROCHIP_OVAL,high,high,0.9700670737811593
MICROCHIP_SQUARE,low,low,0.9680712641377239
MICROCHIP_SQUARE,low,mid,0.03192873586227605
MICROCHIP_SQUARE,low,high,0.0
MICROCHIP_SQUARE,mid,low,0.03163479827810592
MICROCHIP_SQUARE,mid,mid,0.9396335969566523
MICROCHIP_SQUARE,mid,high,0.028731604765241767
MICROCHIP_SQUARE,high,low,0.0
MICROCHIP_SQUARE,high,mid,0.028628628628628628
MICROCHIP_SQUARE,high,high,0.9713713713713714
MICROCHIP_RECTANGLE,low,low,0.9658692823541187
MICROCHIP_RECTANGLE,low,mid,0.03413071764588129
MICROCHIP_RECTANGLE,low,high,0.0
MICROCHIP_RECTANGLE,mid,low,0.03393733106417059
MICROCHIP_RECTANGLE,mid,mid,0.934227650415457
MICROCHIP_RECTANGLE,mid,high,0.03183501852037241
MICROCHIP_RECTANGLE,high,low,0.0
MICROCHIP_RECTANGLE,high,mid,0.03173173173173173
MICROCHIP_RECTANGLE,high,high,0.9682682682682683
MICROCHIP_TRIANGLE,low,low,0.9655655655655656
MICROCHIP_TRIANGLE,low,mid,0.03443443443443443
MICROCHIP_TRIANGLE,low,high,0.0
MICROCHIP_TRIANGLE,mid,low,0.03423766142757033
MICROCHIP_TRIANGLE,mid,mid,0.9344278706577235
MICROCHIP_TRIANGLE,mid,high,0.03133446791470618
MICROCHIP_TRIANGLE,high,low,0.0
MICROCHIP_TRIANGLE,high,mid,0.03132819537583825
MICROCHIP_TRIANGLE,high,high,0.9686718046241617
