feature,importance,target,horizon,model,product,vol_gate_q
fam_mean_obi_l1_lag5,105.57909014194117,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l1_lag5,105.57909014194068,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l1_lag20,100.21880034176587,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
fam_mean_obi_l1_lag20,100.21880034175317,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
fam_mean_microprice_dev_lag5,89.88381843387539,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
fam_mean_microprice_dev_lag20,85.95323139795704,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l3_lag5,30.73220325670642,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
microprice_dev_lag20,28.14746342622381,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
microprice_dev_lag5,27.857243854760412,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l1_lag1,26.353078135924886,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l1_lag50,19.297770118898686,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l3_lag50,17.051135377542522,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l3_lag1,11.640461182593647,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
microprice_dev_lag1,8.683505619870985,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
obi_l3_lag20,7.2437464574854795,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
std_500_lag1,5.3081951051000855,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
std_500_lag5,4.635211955014992,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
microprice_dev_lag50,3.236024669617466,fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5
