target,horizon,model,product,vol_gate_q,fold,day,pnl,ic_day
fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5,D2->D3,3,-84220.0,-0.024321906947854573
fwd_ret,50,ridge,OXYGEN_SHAKE_CHOCOLATE,5,D2+D3->D4,4,-20560.0,0.0035388054389328683
fwd_ret,50,lgbm,OXYGEN_SHAKE_CHOCOLATE,5,D2->D3,3,-173580.0,-0.031813023032316215
fwd_ret,50,lgbm,OXYGEN_SHAKE_CHOCOLATE,5,D2+D3->D4,4,-155330.0,-0.05419833123710156
fwd_ret,100,ridge,OXYGEN_SHAKE_CHOCOLATE,5,D2->D3,3,-156310.0,0.006567780545434343
fwd_ret,100,ridge,OXYGEN_SHAKE_CHOCOLATE,5,D2+D3->D4,4,-92800.0,0.04972411667151166
fwd_ret,100,lgbm,OXYGEN_SHAKE_CHOCOLATE,5,D2->D3,3,-204220.0,-0.009882206590636952
fwd_ret,100,lgbm,OXYGEN_SHAKE_CHOCOLATE,5,D2+D3->D4,4,-171800.0,-0.0865800932902625
fwd_ret,50,ridge,OXYGEN_SHAKE_EVENING_BREATH,5,D2->D3,3,-56220.0,-0.02816868173576499
fwd_ret,50,ridge,OXYGEN_SHAKE_EVENING_BREATH,5,D2+D3->D4,4,-19920.0,0.045392878596127006
fwd_ret,50,lgbm,OXYGEN_SHAKE_EVENING_BREATH,5,D2->D3,3,-67420.0,0.08325207913314642
fwd_ret,50,lgbm,OXYGEN_SHAKE_EVENING_BREATH,5,D2+D3->D4,4,-84360.0,-0.042210478340808454
fwd_ret,100,ridge,OXYGEN_SHAKE_EVENING_BREATH,5,D2->D3,3,-67020.0,-0.021645804396378823
fwd_ret,100,ridge,OXYGEN_SHAKE_EVENING_BREATH,5,D2+D3->D4,4,-63160.0,0.07459777146818898
fwd_ret,100,lgbm,OXYGEN_SHAKE_EVENING_BREATH,5,D2->D3,3,-68640.0,0.17564962107909896
fwd_ret,100,lgbm,OXYGEN_SHAKE_EVENING_BREATH,5,D2+D3->D4,4,-69080.0,0.05561478923848548
fwd_ret,50,ridge,OXYGEN_SHAKE_GARLIC,5,D2->D3,3,-55340.0,-0.015626056509478042
fwd_ret,50,ridge,OXYGEN_SHAKE_GARLIC,5,D2+D3->D4,4,-22500.0,0.034366499761073505
fwd_ret,50,lgbm,OXYGEN_SHAKE_GARLIC,5,D2->D3,3,-135960.0,-0.04838770801065751
fwd_ret,50,lgbm,OXYGEN_SHAKE_GARLIC,5,D2+D3->D4,4,-162590.0,-0.05075126197539754
fwd_ret,100,ridge,OXYGEN_SHAKE_GARLIC,5,D2->D3,3,-61760.0,-0.02695789927755949
fwd_ret,100,ridge,OXYGEN_SHAKE_GARLIC,5,D2+D3->D4,4,-72720.0,0.053300412625416536
fwd_ret,100,lgbm,OXYGEN_SHAKE_GARLIC,5,D2->D3,3,-117430.0,0.016465753541312377
fwd_ret,100,lgbm,OXYGEN_SHAKE_GARLIC,5,D2+D3->D4,4,-161010.0,-0.07166204203921898
fwd_ret,50,ridge,OXYGEN_SHAKE_MINT,5,D2->D3,3,-38780.0,0.05822831587664359
fwd_ret,50,ridge,OXYGEN_SHAKE_MINT,5,D2+D3->D4,4,-45590.0,-0.002363337865429701
fwd_ret,50,lgbm,OXYGEN_SHAKE_MINT,5,D2->D3,3,-119690.0,-0.025537776255637388
fwd_ret,50,lgbm,OXYGEN_SHAKE_MINT,5,D2+D3->D4,4,-127420.0,-0.0893318634408903
fwd_ret,100,ridge,OXYGEN_SHAKE_MINT,5,D2->D3,3,-86940.0,0.09386750826672995
fwd_ret,100,ridge,OXYGEN_SHAKE_MINT,5,D2+D3->D4,4,-94970.0,0.0016100481439745792
fwd_ret,100,lgbm,OXYGEN_SHAKE_MINT,5,D2->D3,3,-142100.0,-0.04590423418647083
fwd_ret,100,lgbm,OXYGEN_SHAKE_MINT,5,D2+D3->D4,4,-131970.0,-0.030804848479208363
fwd_ret,50,ridge,OXYGEN_SHAKE_MORNING_BREATH,5,D2->D3,3,-39320.0,-0.03413745616547506
fwd_ret,50,ridge,OXYGEN_SHAKE_MORNING_BREATH,5,D2+D3->D4,4,-24620.0,0.009722386456650378
fwd_ret,50,lgbm,OXYGEN_SHAKE_MORNING_BREATH,5,D2->D3,3,-122610.0,-0.000490526681410583
fwd_ret,50,lgbm,OXYGEN_SHAKE_MORNING_BREATH,5,D2+D3->D4,4,-115600.0,0.09721731509859106
fwd_ret,100,ridge,OXYGEN_SHAKE_MORNING_BREATH,5,D2->D3,3,-57380.0,-0.0712782732296399
fwd_ret,100,ridge,OXYGEN_SHAKE_MORNING_BREATH,5,D2+D3->D4,4,-52720.0,0.034167285620052806
fwd_ret,100,lgbm,OXYGEN_SHAKE_MORNING_BREATH,5,D2->D3,3,-133370.0,-0.011997848393991706
fwd_ret,100,lgbm,OXYGEN_SHAKE_MORNING_BREATH,5,D2+D3->D4,4,-149560.0,0.06090203375701133
