product,from,to,p
OXYGEN_SHAKE_CHOCOLATE,low,low,0.9644680212190971
OXYGEN_SHAKE_CHOCOLATE,low,mid,0.03553197878090281
OXYGEN_SHAKE_CHOCOLATE,low,high,0.0
OXYGEN_SHAKE_CHOCOLATE,mid,low,0.03523876263890279
OXYGEN_SHAKE_CHOCOLATE,mid,mid,0.9331264390829913
OXYGEN_SHAKE_CHOCOLATE,mid,high,0.03163479827810592
OXYGEN_SHAKE_CHOCOLATE,high,low,0.0
OXYGEN_SHAKE_CHOCOLATE,high,mid,0.03153153153153153
OXYGEN_SHAKE_CHOCOLATE,high,high,0.9684684684684685
OXYGEN_SHAKE_MINT,low,low,0.9674707236512862
OXYGEN_SHAKE_MINT,low,mid,0.032529276348713845
OXYGEN_SHAKE_MINT,low,high,0.0
OXYGEN_SHAKE_MINT,mid,low,0.0322354590049054
OXYGEN_SHAKE_MINT,mid,mid,0.9376313945339874
OXYGEN_SHAKE_MINT,mid,high,0.030133146461107218
OXYGEN_SHAKE_MINT,high,low,0.0
OXYGEN_SHAKE_MINT,high,mid,0.03003003003003003
OXYGEN_SHAKE_MINT,high,high,0.96996996996997
OXYGEN_SHAKE_GARLIC,low,low,0.9640640640640641
OXYGEN_SHAKE_GARLIC,low,mid,0.035935935935935935
OXYGEN_SHAKE_GARLIC,low,high,0.0
OXYGEN_SHAKE_GARLIC,mid,low,0.035739313244569026
OXYGEN_SHAKE_GARLIC,mid,mid,0.9355290819901892
OXYGEN_SHAKE_GARLIC,mid,high,0.028731604765241767
OXYGEN_SHAKE_GARLIC,high,low,0.0
OXYGEN_SHAKE_GARLIC,high,mid,0.028725853267941148
OXYGEN_SHAKE_GARLIC,high,high,0.9712741467320588
OXYGEN_SHAKE_MORNING_BREATH,low,low,0.9611572730003003
OXYGEN_SHAKE_MORNING_BREATH,low,mid,0.03884272699969967
OXYGEN_SHAKE_MORNING_BREATH,low,high,0.0
OXYGEN_SHAKE_MORNING_BREATH,mid,low,0.03873486137523771
OXYGEN_SHAKE_MORNING_BREATH,mid,mid,0.9311380242217996
OXYGEN_SHAKE_MORNING_BREATH,mid,high,0.030127114402962667
OXYGEN_SHAKE_MORNING_BREATH,high,low,0.0
OXYGEN_SHAKE_MORNING_BREATH,high,mid,0.03003003003003003
OXYGEN_SHAKE_MORNING_BREATH,high,high,0.96996996996997
OXYGEN_SHAKE_EVENING_BREATH,low,low,0.9635672104894405
OXYGEN_SHAKE_EVENING_BREATH,low,mid,0.036432789510559505
OXYGEN_SHAKE_EVENING_BREATH,low,high,0.0
OXYGEN_SHAKE_EVENING_BREATH,mid,low,0.036136136136136136
OXYGEN_SHAKE_EVENING_BREATH,mid,mid,0.9323323323323324
OXYGEN_SHAKE_EVENING_BREATH,mid,high,0.03153153153153153
OXYGEN_SHAKE_EVENING_BREATH,high,low,0.0
OXYGEN_SHAKE_EVENING_BREATH,high,mid,0.03133446791470618
OXYGEN_SHAKE_EVENING_BREATH,high,high,0.9686655320852938
