a,b,coint_t,coint_p
PANEL_1X2,PANEL_1X4,-1.9430106664014617,0.5580446125181096
PANEL_1X2,PANEL_2X2,-2.4289557608062102,0.3112663319883352
PANEL_1X2,PANEL_2X4,-1.98584570831565,0.5359274050187026
PANEL_1X2,PANEL_4X4,-1.4739240316681161,0.7710546828098481
PANEL_1X4,PANEL_2X2,-1.8091571531450708,0.6252635681536175
PANEL_1X4,PANEL_2X4,-2.0551028853177638,0.49984247049262737
PANEL_1X4,PANEL_4X4,-1.5913340495775987,0.7245338504780344
PANEL_2X2,PANEL_2X4,-1.9623242808691348,0.5480981342220566
PANEL_2X2,PANEL_4X4,-1.8719146274049414,0.5941804305374839
PANEL_2X4,PANEL_4X4,-1.8795973880982322,0.5903178630562865
