feature,importance,target,horizon,model,product,vol_gate_q
obi_l3_lag1,39.587765244945956,fwd_ret,50,ridge,PANEL_1X2,5
obi_l3_lag5,32.45567435772524,fwd_ret,50,ridge,PANEL_1X2,5
obi_l1_lag50,26.76560121289118,fwd_ret,50,ridge,PANEL_1X2,5
obi_l3_lag50,18.168467044304624,fwd_ret,50,ridge,PANEL_1X2,5
obi_l1_lag20,15.859860366881675,fwd_ret,50,ridge,PANEL_1X2,5
obi_l1_lag5,14.063807554979626,fwd_ret,50,ridge,PANEL_1X2,5
obi_l1_lag1,12.889523314895342,fwd_ret,50,ridge,PANEL_1X2,5
obi_l3_lag20,12.235882944264706,fwd_ret,50,ridge,PANEL_1X2,5
microprice_dev_lag50,10.709761285690968,fwd_ret,50,ridge,PANEL_1X2,5
fam_mean_obi_l1_lag5,9.978017350401508,fwd_ret,50,ridge,PANEL_1X2,5
fam_mean_microprice_dev_lag5,5.557878799707669,fwd_ret,50,ridge,PANEL_1X2,5
microprice_dev_lag20,5.334139696273989,fwd_ret,50,ridge,PANEL_1X2,5
fam_mean_obi_l1_lag20,2.689463068328627,fwd_ret,50,ridge,PANEL_1X2,5
microprice_dev_lag5,2.2529405674178093,fwd_ret,50,ridge,PANEL_1X2,5
signed_flow_20_lag1,1.6107597607856852,fwd_ret,50,ridge,PANEL_1X2,5
microprice_dev_lag1,1.603106474938578,fwd_ret,50,ridge,PANEL_1X2,5
signed_flow_20_lag20,1.1856015576171117,fwd_ret,50,ridge,PANEL_1X2,5
fam_mean_microprice_dev_lag20,1.1255208603152498,fwd_ret,50,ridge,PANEL_1X2,5
spread_bps_lag5,0.8379755640228784,fwd_ret,50,ridge,PANEL_1X2,5
std_50_lag1,0.8343826844046545,fwd_ret,50,ridge,PANEL_1X2,5
spread_bps_lag20,0.8296020654845068,fwd_ret,50,ridge,PANEL_1X2,5
spread_bps_lag50,0.6838562295182244,fwd_ret,50,ridge,PANEL_1X2,5
std_500_lag20,0.6794399497481085,fwd_ret,50,ridge,PANEL_1X2,5
signed_flow_20_lag50,0.6240862188813091,fwd_ret,50,ridge,PANEL_1X2,5
std_50_lag5,0.5729209036638956,fwd_ret,50,ridge,PANEL_1X2,5
spread_bps_lag1,0.5619788662053162,fwd_ret,50,ridge,PANEL_1X2,5
std_500_lag5,0.44368482725265057,fwd_ret,50,ridge,PANEL_1X2,5
std_500_lag1,0.3691037758322176,fwd_ret,50,ridge,PANEL_1X2,5
std_50_lag50,0.19111075768421362,fwd_ret,50,ridge,PANEL_1X2,5
std_50_lag20,0.11740900266763372,fwd_ret,50,ridge,PANEL_1X2,5
signed_flow_20_lag5,0.06540507077242531,fwd_ret,50,ridge,PANEL_1X2,5
fam_mean_ret_10_lag5,0.06424655435114363,fwd_ret,50,ridge,PANEL_1X2,5
ret_10_lag50,0.05275952071443136,fwd_ret,50,ridge,PANEL_1X2,5
fam_mean_ret_10_lag20,0.04393403299915269,fwd_ret,50,ridge,PANEL_1X2,5
vwap_dev_lag50,0.03603972575282759,fwd_ret,50,ridge,PANEL_1X2,5
ret_10_lag1,0.032357384789139625,fwd_ret,50,ridge,PANEL_1X2,5
std_500_lag50,0.031523497121939026,fwd_ret,50,ridge,PANEL_1X2,5
ret_10_lag5,0.03146118707321705,fwd_ret,50,ridge,PANEL_1X2,5
vwap_dev_lag5,0.02436085851847751,fwd_ret,50,ridge,PANEL_1X2,5
vwap_dev_lag1,0.023904193705102002,fwd_ret,50,ridge,PANEL_1X2,5
ret_1_lag1,0.02035522885473512,fwd_ret,50,ridge,PANEL_1X2,5
ret_1_lag5,0.00674031822208331,fwd_ret,50,ridge,PANEL_1X2,5
vwap_dev_lag20,0.004481806380720428,fwd_ret,50,ridge,PANEL_1X2,5
ret_1_lag50,0.004419713688693868,fwd_ret,50,ridge,PANEL_1X2,5
ret_1_lag20,0.0021402378475458526,fwd_ret,50,ridge,PANEL_1X2,5
ret_10_lag20,0.002093801225988772,fwd_ret,50,ridge,PANEL_1X2,5
std_500_lag50,92726765.82202148,fwd_ret,50,lgbm,PANEL_1X2,5
std_500_lag1,62868259.40551758,fwd_ret,50,lgbm,PANEL_1X2,5
std_500_lag20,59144236.072265625,fwd_ret,50,lgbm,PANEL_1X2,5
std_50_lag50,56014267.98828125,fwd_ret,50,lgbm,PANEL_1X2,5
std_50_lag20,38838318.75683594,fwd_ret,50,lgbm,PANEL_1X2,5
vwap_dev_lag50,32925927.53857422,fwd_ret,50,lgbm,PANEL_1X2,5
std_50_lag5,28646725.604492188,fwd_ret,50,lgbm,PANEL_1X2,5
std_50_lag1,28466223.9453125,fwd_ret,50,lgbm,PANEL_1X2,5
std_500_lag5,26186259.817382812,fwd_ret,50,lgbm,PANEL_1X2,5
vwap_dev_lag20,22423473.076416016,fwd_ret,50,lgbm,PANEL_1X2,5
vwap_dev_lag5,19367617.96923828,fwd_ret,50,lgbm,PANEL_1X2,5
vwap_dev_lag1,19309099.721435547,fwd_ret,50,lgbm,PANEL_1X2,5
spread_bps_lag1,16219142.240234375,fwd_ret,50,lgbm,PANEL_1X2,5
spread_bps_lag20,15820413.236816406,fwd_ret,50,lgbm,PANEL_1X2,5
spread_bps_lag5,15430646.402832031,fwd_ret,50,lgbm,PANEL_1X2,5
spread_bps_lag50,14939698.005859375,fwd_ret,50,lgbm,PANEL_1X2,5
signed_flow_20_lag50,14825276.209960938,fwd_ret,50,lgbm,PANEL_1X2,5
signed_flow_20_lag20,11465777.258300781,fwd_ret,50,lgbm,PANEL_1X2,5
signed_flow_20_lag1,8951817.223632812,fwd_ret,50,lgbm,PANEL_1X2,5
signed_flow_20_lag5,7287617.7998046875,fwd_ret,50,lgbm,PANEL_1X2,5
fam_mean_ret_10_lag5,7119591.317871094,fwd_ret,50,lgbm,PANEL_1X2,5
ret_10_lag50,6312484.773925781,fwd_ret,50,lgbm,PANEL_1X2,5
fam_mean_ret_10_lag20,5447837.924316406,fwd_ret,50,lgbm,PANEL_1X2,5
ret_10_lag1,3906065.0532226562,fwd_ret,50,lgbm,PANEL_1X2,5
ret_10_lag5,3735227.51171875,fwd_ret,50,lgbm,PANEL_1X2,5
ret_10_lag20,3267771.46875,fwd_ret,50,lgbm,PANEL_1X2,5
ret_1_lag1,337501.6394042969,fwd_ret,50,lgbm,PANEL_1X2,5
ret_1_lag5,270129.59033203125,fwd_ret,50,lgbm,PANEL_1X2,5
ret_1_lag50,239720.1796875,fwd_ret,50,lgbm,PANEL_1X2,5
fam_mean_microprice_dev_lag5,196636.92041015625,fwd_ret,50,lgbm,PANEL_1X2,5
ret_1_lag20,194465.7392578125,fwd_ret,50,lgbm,PANEL_1X2,5
microprice_dev_lag5,193044.21997070312,fwd_ret,50,lgbm,PANEL_1X2,5
fam_mean_obi_l1_lag5,106167.51928710938,fwd_ret,50,lgbm,PANEL_1X2,5
microprice_dev_lag1,75944.9287109375,fwd_ret,50,lgbm,PANEL_1X2,5
fam_mean_microprice_dev_lag20,56612.249267578125,fwd_ret,50,lgbm,PANEL_1X2,5
fam_mean_obi_l1_lag20,54162.2705078125,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l1_lag50,6198.830078125,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l3_lag1,4654.81005859375,fwd_ret,50,lgbm,PANEL_1X2,5
microprice_dev_lag50,2954.530029296875,fwd_ret,50,lgbm,PANEL_1X2,5
microprice_dev_lag20,0.0,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l3_lag50,0.0,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l3_lag20,0.0,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l1_lag5,0.0,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l1_lag1,0.0,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l1_lag20,0.0,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l3_lag5,0.0,fwd_ret,50,lgbm,PANEL_1X2,5
obi_l3_lag20,82.75585417978647,fwd_ret,100,ridge,PANEL_1X2,5
obi_l3_lag5,77.62751832693912,fwd_ret,100,ridge,PANEL_1X2,5
obi_l3_lag1,62.97239826449132,fwd_ret,100,ridge,PANEL_1X2,5
