product,signal,horizon,regime,n,ic
PANEL_1X2,neg_zscore_mid_50,1,low,9949,-0.009860450787878937
PANEL_1X2,neg_zscore_mid_50,1,mid,9990,-0.007513652193550896
PANEL_1X2,neg_zscore_mid_50,1,high,9991,0.010639633445592938
PANEL_1X2,neg_zscore_mid_50,10,low,9929,-0.02211194526315858
PANEL_1X2,neg_zscore_mid_50,10,mid,9986,-0.0003256659759441689
PANEL_1X2,neg_zscore_mid_50,10,high,9988,0.027240148689824346
PANEL_1X2,neg_zscore_mid_50,100,low,9889,-0.051317384524082084
PANEL_1X2,neg_zscore_mid_50,100,mid,9902,0.002995344786070832
PANEL_1X2,neg_zscore_mid_50,100,high,9842,0.03007785941440754
PANEL_1X2,neg_zscore_mid_50,1000,low,9031,0.014251445557217735
PANEL_1X2,neg_zscore_mid_50,1000,mid,8987,0.03947256153377143
PANEL_1X2,neg_zscore_mid_50,1000,high,8915,-0.029474993522314245
PANEL_1X2,neg_zscore_vwap_50,1,low,9936,0.0038683586243908508
PANEL_1X2,neg_zscore_vwap_50,1,mid,9934,-0.0010770482310746088
PANEL_1X2,neg_zscore_vwap_50,1,high,9913,0.001464296503466422
PANEL_1X2,neg_zscore_vwap_50,10,low,9916,0.04495854789942284
PANEL_1X2,neg_zscore_vwap_50,10,mid,9930,-0.0262840101843815
PANEL_1X2,neg_zscore_vwap_50,10,high,9910,-0.011460166507271186
PANEL_1X2,neg_zscore_vwap_50,100,low,9876,-0.023097463640670085
PANEL_1X2,neg_zscore_vwap_50,100,mid,9846,-0.060299420944071425
PANEL_1X2,neg_zscore_vwap_50,100,high,9764,0.026520193861298346
PANEL_1X2,neg_zscore_vwap_50,1000,low,9018,-0.012852162092768201
PANEL_1X2,neg_zscore_vwap_50,1000,mid,8931,-0.007957259923113235
PANEL_1X2,neg_zscore_vwap_50,1000,high,8837,-0.011756838497209975
PANEL_1X2,obi_l1,1,low,9988,0.06313802233259448
PANEL_1X2,obi_l1,1,mid,9991,0.06535633279989658
PANEL_1X2,obi_l1,1,high,9991,0.04216840106025578
PANEL_1X2,obi_l1,10,low,9968,0.008230614214024755
PANEL_1X2,obi_l1,10,mid,9987,0.044274752703774185
PANEL_1X2,obi_l1,10,high,9988,0.017157198353502975
PANEL_1X2,obi_l1,100,low,9928,-0.0014113487620096802
PANEL_1X2,obi_l1,100,mid,9903,0.005757477172032563
PANEL_1X2,obi_l1,100,high,9842,0.04428821254413288
PANEL_1X2,obi_l1,1000,low,9070,0.0058702489426778375
PANEL_1X2,obi_l1,1000,mid,8988,0.010163452062821798
PANEL_1X2,obi_l1,1000,high,8915,0.024260372019497767
PANEL_1X2,obi_l3,1,low,9988,-0.06208746561510129
PANEL_1X2,obi_l3,1,mid,9991,-0.05838082117051998
PANEL_1X2,obi_l3,1,high,9991,-0.03766825823881905
PANEL_1X2,obi_l3,10,low,9968,-0.01319315826472971
PANEL_1X2,obi_l3,10,mid,9987,-0.031135522731762837
PANEL_1X2,obi_l3,10,high,9988,-0.01180869437401908
PANEL_1X2,obi_l3,100,low,9928,-0.005166433491516555
PANEL_1X2,obi_l3,100,mid,9903,0.005146201110604762
PANEL_1X2,obi_l3,100,high,9842,-0.038905542806103484
PANEL_1X2,obi_l3,1000,low,9070,-0.0043536369061379756
PANEL_1X2,obi_l3,1000,mid,8988,-0.007936695233594518
PANEL_1X2,obi_l3,1000,high,8915,-0.020256433574319905
PANEL_1X2,momentum_10,1,low,9988,-0.001994453347886326
PANEL_1X2,momentum_10,1,mid,9990,0.0008836302668059416
PANEL_1X2,momentum_10,1,high,9991,0.0011898031516654399
PANEL_1X2,momentum_10,10,low,9968,0.010435256680263039
PANEL_1X2,momentum_10,10,mid,9986,-0.009021435939064258
PANEL_1X2,momentum_10,10,high,9988,-0.007760127527314873
PANEL_1X2,momentum_10,100,low,9928,0.028819843345132212
PANEL_1X2,momentum_10,100,mid,9902,-0.007702056123442439
PANEL_1X2,momentum_10,100,high,9842,-0.02612782545750197
PANEL_1X2,momentum_10,1000,low,9070,-0.005554212074713313
PANEL_1X2,momentum_10,1000,mid,8987,-0.02011326832144458
PANEL_1X2,momentum_10,1000,high,8915,0.014778872135090585
PANEL_1X2,neg_spread,1,low,9988,0.0006208760818354028
PANEL_1X2,neg_spread,1,mid,9991,0.023735692036290577
PANEL_1X2,neg_spread,1,high,9991,0.03511931286152175
PANEL_1X2,neg_spread,10,low,9968,-0.007253085868028771
PANEL_1X2,neg_spread,10,mid,9987,0.0320780688751356
PANEL_1X2,neg_spread,10,high,9988,0.026414961020681
PANEL_1X2,neg_spread,100,low,9928,-0.017610490403215474
PANEL_1X2,neg_spread,100,mid,9903,0.060800015618717645
PANEL_1X2,neg_spread,100,high,9842,0.0899905408991084
PANEL_1X2,neg_spread,1000,low,9070,0.17142207392845407
PANEL_1X2,neg_spread,1000,mid,8988,0.18022098558503458
PANEL_1X2,neg_spread,1000,high,8915,0.2213221721248756
PANEL_1X2,trade_imbalance,1,low,9988,0.004095634838703432
PANEL_1X2,trade_imbalance,1,mid,9991,0.008394531369663899
PANEL_1X2,trade_imbalance,1,high,9991,-0.00017648717557331716
PANEL_1X2,trade_imbalance,10,low,9968,-0.0036018687684784218
PANEL_1X2,trade_imbalance,10,mid,9987,0.03915083643144244
PANEL_1X2,trade_imbalance,10,high,9988,0.001378509034907053
PANEL_1X2,trade_imbalance,100,low,9928,-0.02105195557178843
PANEL_1X2,trade_imbalance,100,mid,9903,0.046658658595285396
PANEL_1X2,trade_imbalance,100,high,9842,0.07908889614889437
PANEL_1X2,trade_imbalance,1000,low,9070,0.0022043535744535993
PANEL_1X2,trade_imbalance,1000,mid,8988,0.017517317681953755
PANEL_1X2,trade_imbalance,1000,high,8915,0.08416058267253522
PANEL_1X4,neg_zscore_mid_50,1,low,9988,0.009718848651711697
PANEL_1X4,neg_zscore_mid_50,1,mid,9974,0.0007500094878735567
PANEL_1X4,neg_zscore_mid_50,1,high,9968,-0.009815923646430575
PANEL_1X4,neg_zscore_mid_50,10,low,9968,-0.004803409043397712
PANEL_1X4,neg_zscore_mid_50,10,mid,9967,0.00814692758356402
PANEL_1X4,neg_zscore_mid_50,10,high,9968,-0.052705722093915344
PANEL_1X4,neg_zscore_mid_50,100,low,9809,-0.06562066365376748
PANEL_1X4,neg_zscore_mid_50,100,mid,9898,-0.09160870402435739
PANEL_1X4,neg_zscore_mid_50,100,high,9926,-0.15437368320494244
PANEL_1X4,neg_zscore_mid_50,1000,low,8936,-0.03107811266871226
PANEL_1X4,neg_zscore_mid_50,1000,mid,8946,-0.025957250914344282
PANEL_1X4,neg_zscore_mid_50,1000,high,9051,-0.09282470646184726
PANEL_1X4,neg_zscore_vwap_50,1,low,9031,-0.025117125102187374
PANEL_1X4,neg_zscore_vwap_50,1,mid,9012,0.006752476750385262
PANEL_1X4,neg_zscore_vwap_50,1,high,8904,-0.010756016856018232
PANEL_1X4,neg_zscore_vwap_50,10,low,9011,-0.08844287017862663
PANEL_1X4,neg_zscore_vwap_50,10,mid,9005,-0.01950491113446812
PANEL_1X4,neg_zscore_vwap_50,10,high,8904,-0.04174428393736751
PANEL_1X4,neg_zscore_vwap_50,100,low,8852,-0.07721257294150519
PANEL_1X4,neg_zscore_vwap_50,100,mid,8936,-0.1209520471976714
PANEL_1X4,neg_zscore_vwap_50,100,high,8862,-0.1028550973583395
PANEL_1X4,neg_zscore_vwap_50,1000,low,8080,-0.015309597911151576
PANEL_1X4,neg_zscore_vwap_50,1000,mid,8067,-0.043828768908185586
PANEL_1X4,neg_zscore_vwap_50,1000,high,8124,-0.04446448783133057
PANEL_1X4,obi_l1,1,low,9988,0.025889052590995647
PANEL_1X4,obi_l1,1,mid,9991,0.02893841025372114
PANEL_1X4,obi_l1,1,high,9991,0.011221195396847721
PANEL_1X4,obi_l1,10,low,9968,-0.006485270745010491
PANEL_1X4,obi_l1,10,mid,9984,0.025168468442213123
PANEL_1X4,obi_l1,10,high,9991,0.00021318623467481626
PANEL_1X4,obi_l1,100,low,9809,-0.00825700423178604
PANEL_1X4,obi_l1,100,mid,9915,0.01328170433044081
PANEL_1X4,obi_l1,100,high,9949,0.006266294711286573
PANEL_1X4,obi_l1,1000,low,8936,0.0048481327921531
PANEL_1X4,obi_l1,1000,mid,8963,-0.010571243523818068
PANEL_1X4,obi_l1,1000,high,9074,-0.009120270611165894
PANEL_1X4,obi_l3,1,low,9988,-0.03141490491063806
PANEL_1X4,obi_l3,1,mid,9991,-0.03509952802551077
PANEL_1X4,obi_l3,1,high,9991,-0.03806273628399194
PANEL_1X4,obi_l3,10,low,9968,-0.010721270204870863
PANEL_1X4,obi_l3,10,mid,9984,-0.019232463587944382
PANEL_1X4,obi_l3,10,high,9991,-0.008453363333590898
PANEL_1X4,obi_l3,100,low,9809,-0.0021605411420534525
PANEL_1X4,obi_l3,100,mid,9915,-0.011037345950933175
PANEL_1X4,obi_l3,100,high,9949,-0.016786913430278293
PANEL_1X4,obi_l3,1000,low,8936,-0.006694878643678045
PANEL_1X4,obi_l3,1000,mid,8963,-0.003474655928544199
PANEL_1X4,obi_l3,1000,high,9074,-0.006655285138743706
PANEL_1X4,momentum_10,1,low,9988,-0.011859265975589844
PANEL_1X4,momentum_10,1,mid,9990,0.00051585050419725
PANEL_1X4,momentum_10,1,high,9991,0.00510846419215527
PANEL_1X4,momentum_10,10,low,9968,-0.0014045572747128714
PANEL_1X4,momentum_10,10,mid,9983,-0.005816599697631071
PANEL_1X4,momentum_10,10,high,9991,0.01683319506560712
PANEL_1X4,momentum_10,100,low,9809,0.055569658044358934
PANEL_1X4,momentum_10,100,mid,9914,0.040457178574479676
PANEL_1X4,momentum_10,100,high,9949,0.07604474224265154
PANEL_1X4,momentum_10,1000,low,8936,0.044280420077937074
PANEL_1X4,momentum_10,1000,mid,8962,0.01121543058632813
PANEL_1X4,momentum_10,1000,high,9074,0.02703512141465354
PANEL_1X4,neg_spread,1,low,9988,0.02985826117164321
PANEL_1X4,neg_spread,1,mid,9991,-0.003653209415650777
PANEL_1X4,neg_spread,1,high,9991,0.001348767833865064
PANEL_1X4,neg_spread,10,low,9968,0.06479798040340655
PANEL_1X4,neg_spread,10,mid,9984,0.0026209512914756585
PANEL_1X4,neg_spread,10,high,9991,-0.018931958566421613
PANEL_1X4,neg_spread,100,low,9809,0.11732771744262765
PANEL_1X4,neg_spread,100,mid,9915,0.047873769345152827
PANEL_1X4,neg_spread,100,high,9949,-0.026314366364354524
PANEL_1X4,neg_spread,1000,low,8936,0.18206650214899192
PANEL_1X4,neg_spread,1000,mid,8963,0.16488115934336456
PANEL_1X4,neg_spread,1000,high,9074,0.0938102852852155
PANEL_1X4,trade_imbalance,1,low,9988,0.010131576935333791
PANEL_1X4,trade_imbalance,1,mid,9991,0.004250979132476617
PANEL_1X4,trade_imbalance,1,high,9991,-0.003571759268859278
PANEL_1X4,trade_imbalance,10,low,9968,0.021941332148611225
PANEL_1X4,trade_imbalance,10,mid,9984,0.033757038626918305
PANEL_1X4,trade_imbalance,10,high,9991,-0.0023605388378763127
PANEL_1X4,trade_imbalance,100,low,9809,0.004375318456808643
PANEL_1X4,trade_imbalance,100,mid,9915,0.018196390698786112
PANEL_1X4,trade_imbalance,100,high,9949,0.00191307291536624
PANEL_1X4,trade_imbalance,1000,low,8936,-0.07135280927702034
PANEL_1X4,trade_imbalance,1000,mid,8963,-0.03466620188915172
PANEL_1X4,trade_imbalance,1000,high,9074,0.003968701543010875
PANEL_2X2,neg_zscore_mid_50,1,low,9983,0.011606688337517643
PANEL_2X2,neg_zscore_mid_50,1,mid,9978,-0.002477910087518516
PANEL_2X2,neg_zscore_mid_50,1,high,9969,-0.002583508514426367
PANEL_2X2,neg_zscore_mid_50,10,low,9970,0.0017438308517772321
PANEL_2X2,neg_zscore_mid_50,10,mid,9973,0.0032568467665229145
PANEL_2X2,neg_zscore_mid_50,10,high,9960,-0.0271642278638371
PANEL_2X2,neg_zscore_mid_50,100,low,9909,-0.057168076243840446
PANEL_2X2,neg_zscore_mid_50,100,mid,9891,0.022729070933170555
PANEL_2X2,neg_zscore_mid_50,100,high,9833,0.031725943813964264
PANEL_2X2,neg_zscore_mid_50,1000,low,8988,-0.009195681441545511
PANEL_2X2,neg_zscore_mid_50,1000,mid,8891,-0.029216037464496858
PANEL_2X2,neg_zscore_mid_50,1000,high,9054,-0.014831544677889006
PANEL_2X2,neg_zscore_vwap_50,1,low,9581,0.01727522272051321
PANEL_2X2,neg_zscore_vwap_50,1,mid,9444,0.008173594210565767
PANEL_2X2,neg_zscore_vwap_50,1,high,9076,-0.0019474991686258716
PANEL_2X2,neg_zscore_vwap_50,10,low,9568,0.04247678524284108
PANEL_2X2,neg_zscore_vwap_50,10,mid,9439,0.01966129217269008
PANEL_2X2,neg_zscore_vwap_50,10,high,9076,-0.01075651244439672
PANEL_2X2,neg_zscore_vwap_50,100,low,9507,0.00873166538091035
PANEL_2X2,neg_zscore_vwap_50,100,mid,9359,-0.006971276698350781
PANEL_2X2,neg_zscore_vwap_50,100,high,8969,-0.036533119950785335
PANEL_2X2,neg_zscore_vwap_50,1000,low,8626,0.023367445111869146
PANEL_2X2,neg_zscore_vwap_50,1000,mid,8384,-0.05111209071725272
PANEL_2X2,neg_zscore_vwap_50,1000,high,8262,-0.07555251351315152
PANEL_2X2,obi_l1,1,low,9989,0.011533990648848849
PANEL_2X2,obi_l1,1,mid,9991,0.04395931199885442
PANEL_2X2,obi_l1,1,high,9990,0.015421864212422469
PANEL_2X2,obi_l1,10,low,9976,0.009584346522172476
PANEL_2X2,obi_l1,10,mid,9986,0.018220879496282563
