product,from,to,p
PANEL_1X2,low,low,0.9659591509811775
PANEL_1X2,low,mid,0.03404084901882259
PANEL_1X2,low,high,0.0
PANEL_1X2,mid,low,0.03413071764588129
PANEL_1X2,mid,mid,0.9345410869782804
PANEL_1X2,mid,high,0.03132819537583825
PANEL_1X2,high,low,0.0
PANEL_1X2,high,mid,0.03132819537583825
PANEL_1X2,high,high,0.9686718046241617
PANEL_1X4,low,low,0.9681617941529835
PANEL_1X4,low,mid,0.03183820584701642
PANEL_1X4,low,high,0.0
PANEL_1X4,mid,low,0.03192873586227605
PANEL_1X4,mid,mid,0.9377439695726153
PANEL_1X4,mid,high,0.030327294565108597
PANEL_1X4,high,low,0.0
PANEL_1X4,high,mid,0.030327294565108597
PANEL_1X4,high,high,0.9696727054348914
PANEL_2X2,low,low,0.9641605766342978
PANEL_2X2,low,mid,0.03583942336570227
PANEL_2X2,low,high,0.0
PANEL_2X2,mid,low,0.03583224902412171
PANEL_2X2,mid,mid,0.9341407266539886
PANEL_2X2,mid,high,0.030027024321889702
PANEL_2X2,high,low,0.0
PANEL_2X2,high,mid,0.02992992992992993
PANEL_2X2,high,high,0.9700700700700701
PANEL_2X4,low,low,0.9657623385724297
PANEL_2X4,low,mid,0.03423766142757033
PANEL_2X4,low,high,0.0
PANEL_2X4,mid,low,0.03413071764588129
PANEL_2X4,mid,mid,0.9369432489240316
PANEL_2X4,mid,high,0.028926033430087077
PANEL_2X4,high,low,0.0
PANEL_2X4,high,mid,0.02882882882882883
PANEL_2X4,high,high,0.9711711711711711
PANEL_4X4,low,low,0.9657691922730457
PANEL_4X4,low,mid,0.034230807726954256
PANEL_4X4,low,high,0.0
PANEL_4X4,mid,low,0.03393733106417059
PANEL_4X4,mid,mid,0.935829412353589
PANEL_4X4,mid,high,0.030233256582240464
PANEL_4X4,high,low,0.0
PANEL_4X4,high,mid,0.03013013013013013
PANEL_4X4,high,high,0.9698698698698699
