a,b,coint_t,coint_p
PEBBLES_XS,PEBBLES_S,-2.8290798719169787,0.15660730618757424
PEBBLES_XS,PEBBLES_M,-2.9249299946630027,0.12914510661086526
PEBBLES_XS,PEBBLES_L,-1.7289616959154568,0.6635426733937658
PEBBLES_XS,PEBBLES_XL,-2.089393299543946,0.48191268547899024
PEBBLES_S,PEBBLES_M,-2.746646107750337,0.18325192632772203
PEBBLES_S,PEBBLES_L,-1.7244340182885716,0.6656488043555087
PEBBLES_S,PEBBLES_XL,-2.6206970979886868,0.22938630471402055
PEBBLES_M,PEBBLES_L,-1.9688954338307083,0.5447038825481146
PEBBLES_M,PEBBLES_XL,-2.3726665934444164,0.337907562484968
PEBBLES_L,PEBBLES_XL,-1.8103057803801355,0.6247028322498966
