feature,importance,target,horizon,model,product,vol_gate_q
fam_mean_obi_l1_lag20,38.807421537243606,fwd_ret,50,ridge,POOLED,5
obi_l3_lag1,19.68259459747276,fwd_ret,50,ridge,POOLED,5
obi_l1_lag1,18.24509345297377,fwd_ret,50,ridge,POOLED,5
fam_mean_obi_l1_lag5,17.888593450298888,fwd_ret,50,ridge,POOLED,5
obi_l1_lag50,17.42279005782579,fwd_ret,50,ridge,POOLED,5
obi_l1_lag20,14.966256554184165,fwd_ret,50,ridge,POOLED,5
fam_mean_microprice_dev_lag20,12.321971641752953,fwd_ret,50,ridge,POOLED,5
fam_mean_microprice_dev_lag5,10.36028118205017,fwd_ret,50,ridge,POOLED,5
obi_l1_lag5,8.726460854350801,fwd_ret,50,ridge,POOLED,5
microprice_dev_lag1,6.826909064553814,fwd_ret,50,ridge,POOLED,5
microprice_dev_lag50,5.500577004707276,fwd_ret,50,ridge,POOLED,5
microprice_dev_lag20,5.381142533794184,fwd_ret,50,ridge,POOLED,5
obi_l3_lag5,4.805110127501257,fwd_ret,50,ridge,POOLED,5
obi_l3_lag20,3.0498287339943673,fwd_ret,50,ridge,POOLED,5
microprice_dev_lag5,2.714478717550136,fwd_ret,50,ridge,POOLED,5
std_500_lag1,1.729809980980819,fwd_ret,50,ridge,POOLED,5
std_500_lag5,1.4522405268990248,fwd_ret,50,ridge,POOLED,5
std_500_lag20,0.42978865915433423,fwd_ret,50,ridge,POOLED,5
spread_bps_lag5,0.32787737085100654,fwd_ret,50,ridge,POOLED,5
spread_bps_lag20,0.323605573882,fwd_ret,50,ridge,POOLED,5
spread_bps_lag50,0.22137047005493418,fwd_ret,50,ridge,POOLED,5
obi_l3_lag50,0.20999036195500803,fwd_ret,50,ridge,POOLED,5
std_50_lag50,0.20074592449601494,fwd_ret,50,ridge,POOLED,5
std_500_lag50,0.1724838298014968,fwd_ret,50,ridge,POOLED,5
std_50_lag1,0.10209326210998618,fwd_ret,50,ridge,POOLED,5
signed_flow_20_lag50,0.0939600106608835,fwd_ret,50,ridge,POOLED,5
spread_bps_lag1,0.07836123738788539,fwd_ret,50,ridge,POOLED,5
std_50_lag20,0.07173465629664239,fwd_ret,50,ridge,POOLED,5
std_50_lag5,0.04966307859833856,fwd_ret,50,ridge,POOLED,5
vwap_dev_lag50,0.0496502689333011,fwd_ret,50,ridge,POOLED,5
vwap_dev_lag1,0.0495738138868546,fwd_ret,50,ridge,POOLED,5
fam_mean_ret_10_lag5,0.03853453600298315,fwd_ret,50,ridge,POOLED,5
ret_10_lag50,0.02553627412550158,fwd_ret,50,ridge,POOLED,5
signed_flow_20_lag1,0.024622281056993503,fwd_ret,50,ridge,POOLED,5
vwap_dev_lag20,0.020085575761712826,fwd_ret,50,ridge,POOLED,5
signed_flow_20_lag5,0.018769327760013273,fwd_ret,50,ridge,POOLED,5
fam_mean_ret_10_lag20,0.011474210804792485,fwd_ret,50,ridge,POOLED,5
ret_1_lag50,0.008919163575094721,fwd_ret,50,ridge,POOLED,5
ret_1_lag1,0.008623280774882435,fwd_ret,50,ridge,POOLED,5
ret_10_lag1,0.0071828616518180574,fwd_ret,50,ridge,POOLED,5
signed_flow_20_lag20,0.006961116838053085,fwd_ret,50,ridge,POOLED,5
vwap_dev_lag5,0.006513997730230548,fwd_ret,50,ridge,POOLED,5
ret_10_lag20,0.006432729615573509,fwd_ret,50,ridge,POOLED,5
ret_1_lag20,0.006337823530424977,fwd_ret,50,ridge,POOLED,5
ret_10_lag5,0.0013006589581284807,fwd_ret,50,ridge,POOLED,5
ret_1_lag5,0.0010209106018784552,fwd_ret,50,ridge,POOLED,5
std_500_lag50,1042586682.0976562,fwd_ret,50,lgbm,POOLED,5
std_500_lag1,629624853.7109375,fwd_ret,50,lgbm,POOLED,5
std_500_lag20,574797410.4023438,fwd_ret,50,lgbm,POOLED,5
std_50_lag50,513004180.79296875,fwd_ret,50,lgbm,POOLED,5
std_50_lag20,512711784.09765625,fwd_ret,50,lgbm,POOLED,5
std_500_lag5,354961548.203125,fwd_ret,50,lgbm,POOLED,5
std_50_lag1,325703998.0,fwd_ret,50,lgbm,POOLED,5
vwap_dev_lag50,325343296.29296875,fwd_ret,50,lgbm,POOLED,5
vwap_dev_lag20,271095051.40234375,fwd_ret,50,lgbm,POOLED,5
vwap_dev_lag1,260177242.49609375,fwd_ret,50,lgbm,POOLED,5
std_50_lag5,207836495.80078125,fwd_ret,50,lgbm,POOLED,5
signed_flow_20_lag20,179645794.8984375,fwd_ret,50,lgbm,POOLED,5
vwap_dev_lag5,176840118.0,fwd_ret,50,lgbm,POOLED,5
spread_bps_lag50,163029943.8046875,fwd_ret,50,lgbm,POOLED,5
signed_flow_20_lag50,161997846.8984375,fwd_ret,50,lgbm,POOLED,5
spread_bps_lag1,155459879.69921875,fwd_ret,50,lgbm,POOLED,5
signed_flow_20_lag1,129330100.203125,fwd_ret,50,lgbm,POOLED,5
spread_bps_lag20,122847566.09765625,fwd_ret,50,lgbm,POOLED,5
spread_bps_lag5,108499863.59765625,fwd_ret,50,lgbm,POOLED,5
signed_flow_20_lag5,92372186.0,fwd_ret,50,lgbm,POOLED,5
ret_10_lag50,65464876.89453125,fwd_ret,50,lgbm,POOLED,5
ret_10_lag20,60904404.890625,fwd_ret,50,lgbm,POOLED,5
ret_10_lag1,51711919.30078125,fwd_ret,50,lgbm,POOLED,5
ret_10_lag5,46906665.0,fwd_ret,50,lgbm,POOLED,5
ret_1_lag5,9731061.296875,fwd_ret,50,lgbm,POOLED,5
ret_1_lag1,6790765.00390625,fwd_ret,50,lgbm,POOLED,5
ret_1_lag20,5013098.29296875,fwd_ret,50,lgbm,POOLED,5
ret_1_lag50,4556559.0078125,fwd_ret,50,lgbm,POOLED,5
fam_mean_ret_10_lag5,787679.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_ret_10_lag20,516895.0,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag5,497573.49609375,fwd_ret,50,lgbm,POOLED,5
fam_mean_obi_l1_lag5,335890.6015625,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag1,169834.09765625,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag50,0.0,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag50,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag1,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag5,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag5,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag1,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag50,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_obi_l1_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_microprice_dev_lag5,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_microprice_dev_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_obi_l1_lag20,118.57036462142942,fwd_ret,100,ridge,POOLED,5
fam_mean_obi_l1_lag5,88.11190029841033,fwd_ret,100,ridge,POOLED,5
obi_l1_lag20,54.127735992396765,fwd_ret,100,ridge,POOLED,5
obi_l1_lag50,39.50007034300811,fwd_ret,100,ridge,POOLED,5
fam_mean_microprice_dev_lag20,37.83841137340347,fwd_ret,100,ridge,POOLED,5
fam_mean_microprice_dev_lag5,31.82112765375265,fwd_ret,100,ridge,POOLED,5
obi_l3_lag1,26.531665717467558,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag20,18.455847555428566,fwd_ret,100,ridge,POOLED,5
obi_l1_lag5,18.383448583624308,fwd_ret,100,ridge,POOLED,5
obi_l1_lag1,16.35395121367618,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag50,12.04234726283031,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag5,11.285862691453827,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag1,6.821181421809169,fwd_ret,100,ridge,POOLED,5
obi_l3_lag5,5.511026843686666,fwd_ret,100,ridge,POOLED,5
obi_l3_lag50,5.449181072564384,fwd_ret,100,ridge,POOLED,5
obi_l3_lag20,2.8726398997583145,fwd_ret,100,ridge,POOLED,5
std_500_lag1,2.5879915497010373,fwd_ret,100,ridge,POOLED,5
