target,horizon,model,product,vol_gate_q,fold,n_train,n_test,ic,median_edge_excess_half_spread,frac_edge_clears_half_spread,passed_gate
fwd_ret,50,ridge,POOLED,5,D2->D3,49255,49255,-0.007738653997527102,-4.031246584659142,0.0678509795959801,False
fwd_ret,50,ridge,POOLED,5,D2+D3->D4,98510,49255,0.040658155874257355,-4.424191019305072,0.05473555984164044,False
fwd_ret,50,ridge,POOLED,5,LOO_D2,98510,49255,0.015507724431451826,,,False
fwd_ret,50,ridge,POOLED,5,LOO_D3,98510,49255,0.013455348853067064,,,False
fwd_ret,50,ridge,POOLED,5,LOO_D4,98510,49255,0.040658155874257355,,,False
fwd_ret,50,lgbm,POOLED,5,D2->D3,49255,49255,0.00738694613226879,0.918798135765102,0.5540757283524516,False
fwd_ret,50,lgbm,POOLED,5,D2+D3->D4,98510,49255,0.005291331381401396,-1.1141192724586269,0.41766318140290326,False
fwd_ret,50,lgbm,POOLED,5,LOO_D2,98510,49255,0.004872960022049953,,,False
fwd_ret,50,lgbm,POOLED,5,LOO_D3,98510,49255,0.019305605852601646,,,False
fwd_ret,50,lgbm,POOLED,5,LOO_D4,98510,49255,0.005291331381401396,,,False
fwd_ret,100,ridge,POOLED,5,D2->D3,49005,49005,0.014262039941235278,-1.2340995908548207,0.3803693500663198,False
fwd_ret,100,ridge,POOLED,5,D2+D3->D4,98010,49005,0.04866029499833704,-2.420899176145416,0.2695643301703908,False
fwd_ret,100,ridge,POOLED,5,LOO_D2,98010,49005,0.04614819681294574,,,False
fwd_ret,100,ridge,POOLED,5,LOO_D3,98010,49005,0.028614365899482505,,,False
fwd_ret,100,ridge,POOLED,5,LOO_D4,98010,49005,0.04866029499833704,,,False
fwd_ret,100,lgbm,POOLED,5,D2->D3,49005,49005,0.04285155869915813,4.818168088447905,0.6963575145393327,False
fwd_ret,100,lgbm,POOLED,5,D2+D3->D4,98010,49005,0.005537934817792979,2.166264439638102,0.6084073053770024,False
fwd_ret,100,lgbm,POOLED,5,LOO_D2,98010,49005,0.02228238476720669,,,False
fwd_ret,100,lgbm,POOLED,5,LOO_D3,98010,49005,0.050614142415389626,,,False
fwd_ret,100,lgbm,POOLED,5,LOO_D4,98010,49005,0.005537934817792979,,,False
