feature,importance,target,horizon,model,product,vol_gate_q
obi_l3_lag50,118.14283174774546,fwd_ret,50,ridge,PEBBLES_L,5
obi_l3_lag20,49.040399471905864,fwd_ret,50,ridge,PEBBLES_L,5
obi_l1_lag5,40.45439547809753,fwd_ret,50,ridge,PEBBLES_L,5
fam_mean_obi_l1_lag5,38.41780757878358,fwd_ret,50,ridge,PEBBLES_L,5
obi_l1_lag1,31.479656867149295,fwd_ret,50,ridge,PEBBLES_L,5
obi_l1_lag50,24.535723014727175,fwd_ret,50,ridge,PEBBLES_L,5
microprice_dev_lag20,19.45667970200352,fwd_ret,50,ridge,PEBBLES_L,5
microprice_dev_lag5,18.36298910051619,fwd_ret,50,ridge,PEBBLES_L,5
obi_l3_lag1,13.006673741273506,fwd_ret,50,ridge,PEBBLES_L,5
microprice_dev_lag1,10.200246948256968,fwd_ret,50,ridge,PEBBLES_L,5
fam_mean_obi_l1_lag20,9.575568900209868,fwd_ret,50,ridge,PEBBLES_L,5
fam_mean_microprice_dev_lag20,9.541276895268464,fwd_ret,50,ridge,PEBBLES_L,5
obi_l1_lag20,7.705901196302684,fwd_ret,50,ridge,PEBBLES_L,5
fam_mean_microprice_dev_lag5,7.3867363702908095,fwd_ret,50,ridge,PEBBLES_L,5
std_500_lag5,2.6286499956732268,fwd_ret,50,ridge,PEBBLES_L,5
std_500_lag1,2.3005956345398104,fwd_ret,50,ridge,PEBBLES_L,5
microprice_dev_lag50,2.1305285988866687,fwd_ret,50,ridge,PEBBLES_L,5
signed_flow_20_lag1,0.9579469009364653,fwd_ret,50,ridge,PEBBLES_L,5
fam_mean_ret_10_lag5,0.8190908553308456,fwd_ret,50,ridge,PEBBLES_L,5
std_500_lag20,0.8109899107445353,fwd_ret,50,ridge,PEBBLES_L,5
obi_l3_lag5,0.6138275751011593,fwd_ret,50,ridge,PEBBLES_L,5
signed_flow_20_lag5,0.47906001835005735,fwd_ret,50,ridge,PEBBLES_L,5
std_500_lag50,0.4642054075691825,fwd_ret,50,ridge,PEBBLES_L,5
signed_flow_20_lag50,0.3745422295050044,fwd_ret,50,ridge,PEBBLES_L,5
spread_bps_lag50,0.2557498715125537,fwd_ret,50,ridge,PEBBLES_L,5
std_50_lag50,0.13550565543567478,fwd_ret,50,ridge,PEBBLES_L,5
spread_bps_lag20,0.11763286233335402,fwd_ret,50,ridge,PEBBLES_L,5
spread_bps_lag5,0.097604978393803,fwd_ret,50,ridge,PEBBLES_L,5
ret_10_lag20,0.07763617435861501,fwd_ret,50,ridge,PEBBLES_L,5
ret_10_lag5,0.06791101671411202,fwd_ret,50,ridge,PEBBLES_L,5
spread_bps_lag1,0.06310608584360967,fwd_ret,50,ridge,PEBBLES_L,5
std_50_lag20,0.054513248769746496,fwd_ret,50,ridge,PEBBLES_L,5
vwap_dev_lag1,0.05406095429445638,fwd_ret,50,ridge,PEBBLES_L,5
signed_flow_20_lag20,0.03947258288287143,fwd_ret,50,ridge,PEBBLES_L,5
fam_mean_ret_10_lag20,0.03840377621856739,fwd_ret,50,ridge,PEBBLES_L,5
std_50_lag1,0.03353350634350841,fwd_ret,50,ridge,PEBBLES_L,5
ret_10_lag1,0.03275378339340828,fwd_ret,50,ridge,PEBBLES_L,5
ret_10_lag50,0.032193611203981315,fwd_ret,50,ridge,PEBBLES_L,5
ret_1_lag1,0.024090761752257776,fwd_ret,50,ridge,PEBBLES_L,5
ret_1_lag20,0.021771140741305917,fwd_ret,50,ridge,PEBBLES_L,5
ret_1_lag50,0.017202754896649068,fwd_ret,50,ridge,PEBBLES_L,5
ret_1_lag5,0.016911019364347333,fwd_ret,50,ridge,PEBBLES_L,5
vwap_dev_lag5,0.007795582262076235,fwd_ret,50,ridge,PEBBLES_L,5
vwap_dev_lag50,0.007250487852115498,fwd_ret,50,ridge,PEBBLES_L,5
std_50_lag5,0.0065592781710750725,fwd_ret,50,ridge,PEBBLES_L,5
vwap_dev_lag20,0.0014334957145394353,fwd_ret,50,ridge,PEBBLES_L,5
std_500_lag50,299600153.28222656,fwd_ret,50,lgbm,PEBBLES_L,5
std_500_lag1,179592088.86328125,fwd_ret,50,lgbm,PEBBLES_L,5
std_500_lag20,157275701.51953125,fwd_ret,50,lgbm,PEBBLES_L,5
std_50_lag50,122111496.90625,fwd_ret,50,lgbm,PEBBLES_L,5
std_50_lag20,98693110.11621094,fwd_ret,50,lgbm,PEBBLES_L,5
std_500_lag5,85313050.7993164,fwd_ret,50,lgbm,PEBBLES_L,5
vwap_dev_lag20,77005243.98535156,fwd_ret,50,lgbm,PEBBLES_L,5
std_50_lag1,76046283.60742188,fwd_ret,50,lgbm,PEBBLES_L,5
std_50_lag5,72098951.69726562,fwd_ret,50,lgbm,PEBBLES_L,5
vwap_dev_lag50,71103751.62402344,fwd_ret,50,lgbm,PEBBLES_L,5
vwap_dev_lag1,54983507.427734375,fwd_ret,50,lgbm,PEBBLES_L,5
