target,horizon,model,product,vol_gate_q,fold,n_train,n_test,ic,median_edge_excess_half_spread,frac_edge_clears_half_spread,passed_gate
fwd_ret,50,ridge,PEBBLES_L,5,D2->D3,9851,9851,-0.08592951237124169,-3.6534130665125417,0.1463810780631408,False
fwd_ret,50,ridge,PEBBLES_L,5,D2+D3->D4,19702,9851,-0.05195263916295718,-5.017641733241239,0.03228098670185768,False
fwd_ret,50,ridge,PEBBLES_L,5,LOO_D2,19702,9851,-0.0633856428113248,,,False
fwd_ret,50,ridge,PEBBLES_L,5,LOO_D3,19702,9851,-0.05158950067002226,,,False
fwd_ret,50,ridge,PEBBLES_L,5,LOO_D4,19702,9851,-0.05195263916295718,,,False
fwd_ret,50,lgbm,PEBBLES_L,5,D2->D3,9851,9851,-0.012896309134640698,5.598060238672533,0.7171860724799513,False
fwd_ret,50,lgbm,PEBBLES_L,5,D2+D3->D4,19702,9851,0.06841430205492255,3.697306295602342,0.6722160186783068,False
fwd_ret,50,lgbm,PEBBLES_L,5,LOO_D2,19702,9851,0.057630429251444584,,,False
fwd_ret,50,lgbm,PEBBLES_L,5,LOO_D3,19702,9851,0.032874115553650884,,,False
fwd_ret,50,lgbm,PEBBLES_L,5,LOO_D4,19702,9851,0.06841430205492255,,,False
fwd_ret,100,ridge,PEBBLES_L,5,D2->D3,9801,9801,0.04445921161686249,-2.944867390837053,0.23354759718396081,False
fwd_ret,100,ridge,PEBBLES_L,5,D2+D3->D4,19602,9801,-0.055462525458462676,-3.4826625922117147,0.1877359453117029,False
fwd_ret,100,ridge,PEBBLES_L,5,LOO_D2,19602,9801,-0.002085830026529353,,,False
fwd_ret,100,ridge,PEBBLES_L,5,LOO_D3,19602,9801,0.04060746009915369,,,False
fwd_ret,100,ridge,PEBBLES_L,5,LOO_D4,19602,9801,-0.055462525458462676,,,False
fwd_ret,100,lgbm,PEBBLES_L,5,D2->D3,9801,9801,-0.0739870104438975,12.544235147620327,0.8154269972451791,False
fwd_ret,100,lgbm,PEBBLES_L,5,D2+D3->D4,19602,9801,0.08100002559490653,9.297158236946458,0.7886950311192735,False
fwd_ret,100,lgbm,PEBBLES_L,5,LOO_D2,19602,9801,0.03815397737457199,,,False
fwd_ret,100,lgbm,PEBBLES_L,5,LOO_D3,19602,9801,0.04991678881968975,,,False
fwd_ret,100,lgbm,PEBBLES_L,5,LOO_D4,19602,9801,0.08100002559490653,,,False
fwd_ret,50,ridge,PEBBLES_M,5,D2->D3,9851,9851,0.08403133833606012,-3.4712187104969723,0.16353669678205257,False
fwd_ret,50,ridge,PEBBLES_M,5,D2+D3->D4,19702,9851,-0.027388056468433047,-4.19062660941351,0.10983656481575474,False
fwd_ret,50,ridge,PEBBLES_M,5,LOO_D2,19702,9851,0.02787390073971575,,,False
fwd_ret,50,ridge,PEBBLES_M,5,LOO_D3,19702,9851,0.09940641212855127,,,False
fwd_ret,50,ridge,PEBBLES_M,5,LOO_D4,19702,9851,-0.027388056468433047,,,False
fwd_ret,50,lgbm,PEBBLES_M,5,D2->D3,9851,9851,0.011488934545607251,5.0025102995661985,0.7069333062633235,False
fwd_ret,50,lgbm,PEBBLES_M,5,D2+D3->D4,19702,9851,0.08069991208959594,2.878961469698991,0.6360775555781139,False
fwd_ret,50,lgbm,PEBBLES_M,5,LOO_D2,19702,9851,0.09272278298317063,,,False
fwd_ret,50,lgbm,PEBBLES_M,5,LOO_D3,19702,9851,0.07099408781714432,,,False
fwd_ret,50,lgbm,PEBBLES_M,5,LOO_D4,19702,9851,0.08069991208959594,,,False
fwd_ret,100,ridge,PEBBLES_M,5,D2->D3,9801,9801,0.07277547593494917,-2.7105533700171787,0.25415773900622385,False
fwd_ret,100,ridge,PEBBLES_M,5,D2+D3->D4,19602,9801,-0.02999909881387735,-2.6230653615434347,0.27435975920824407,False
fwd_ret,100,ridge,PEBBLES_M,5,LOO_D2,19602,9801,-0.006983631839215862,,,False
fwd_ret,100,ridge,PEBBLES_M,5,LOO_D3,19602,9801,0.04573897677969395,,,False
fwd_ret,100,ridge,PEBBLES_M,5,LOO_D4,19602,9801,-0.02999909881387735,,,False
fwd_ret,100,lgbm,PEBBLES_M,5,D2->D3,9801,9801,0.05889983071039276,11.156123520448986,0.7993061932455872,False
fwd_ret,100,lgbm,PEBBLES_M,5,D2+D3->D4,19602,9801,0.07067720094174823,8.066247113529082,0.7554331190694827,False
fwd_ret,100,lgbm,PEBBLES_M,5,LOO_D2,19602,9801,0.024327351982123283,,,False
fwd_ret,100,lgbm,PEBBLES_M,5,LOO_D3,19602,9801,0.08726079482039911,,,False
fwd_ret,100,lgbm,PEBBLES_M,5,LOO_D4,19602,9801,0.07067720094174823,,,False
fwd_ret,50,ridge,PEBBLES_S,5,D2->D3,9851,9851,-0.02726038867629706,-2.329832539723049,0.27327174906100904,False
fwd_ret,50,ridge,PEBBLES_S,5,D2+D3->D4,19702,9851,-0.0032332246616436867,-1.6972612680524035,0.32961120698406254,False
fwd_ret,50,ridge,PEBBLES_S,5,LOO_D2,19702,9851,0.017190389957542872,,,False
fwd_ret,50,ridge,PEBBLES_S,5,LOO_D3,19702,9851,-0.04217400743607061,,,False
fwd_ret,50,ridge,PEBBLES_S,5,LOO_D4,19702,9851,-0.0032332246616436867,,,False
fwd_ret,50,lgbm,PEBBLES_S,5,D2->D3,9851,9851,-0.10475002498789013,7.354205485538889,0.7593137752512436,False
fwd_ret,50,lgbm,PEBBLES_S,5,D2+D3->D4,19702,9851,0.013277876360194566,4.625483773650547,0.7209420363414881,False
fwd_ret,50,lgbm,PEBBLES_S,5,LOO_D2,19702,9851,-0.07410219554107514,,,False
fwd_ret,50,lgbm,PEBBLES_S,5,LOO_D3,19702,9851,-0.06193786413312139,,,False
fwd_ret,50,lgbm,PEBBLES_S,5,LOO_D4,19702,9851,0.013277876360194566,,,False
fwd_ret,100,ridge,PEBBLES_S,5,D2->D3,9801,9801,0.03452348048680671,0.616417155799426,0.5422916028976635,False
fwd_ret,100,ridge,PEBBLES_S,5,D2+D3->D4,19602,9801,0.025382828630372674,0.8239210301708857,0.5539230690745842,False
