feature,importance,target,horizon,model,product,vol_gate_q
fam_mean_obi_l1_lag5,82.92074798399518,fwd_ret,50,ridge,POOLED,4
obi_l1_lag5,71.24584855547758,fwd_ret,50,ridge,POOLED,4
obi_l3_lag1,44.48204179649481,fwd_ret,50,ridge,POOLED,4
fam_mean_obi_l1_lag20,36.7346369106393,fwd_ret,50,ridge,POOLED,4
obi_l3_lag20,24.088029375722314,fwd_ret,50,ridge,POOLED,4
obi_l3_lag5,16.848408758236683,fwd_ret,50,ridge,POOLED,4
fam_mean_microprice_dev_lag20,14.41923028601137,fwd_ret,50,ridge,POOLED,4
fam_mean_microprice_dev_lag5,14.308578410461491,fwd_ret,50,ridge,POOLED,4
microprice_dev_lag5,11.394175371223929,fwd_ret,50,ridge,POOLED,4
obi_l1_lag20,10.992217768531694,fwd_ret,50,ridge,POOLED,4
obi_l3_lag50,9.701475954740749,fwd_ret,50,ridge,POOLED,4
obi_l1_lag1,7.88434653030517,fwd_ret,50,ridge,POOLED,4
obi_l1_lag50,6.339912421590878,fwd_ret,50,ridge,POOLED,4
std_500_lag5,3.3011312075074657,fwd_ret,50,ridge,POOLED,4
std_500_lag1,2.4985617549977293,fwd_ret,50,ridge,POOLED,4
microprice_dev_lag50,2.474222396730674,fwd_ret,50,ridge,POOLED,4
microprice_dev_lag1,1.5609383741085696,fwd_ret,50,ridge,POOLED,4
microprice_dev_lag20,0.984479544594455,fwd_ret,50,ridge,POOLED,4
std_500_lag20,0.9521058968777498,fwd_ret,50,ridge,POOLED,4
signed_flow_20_lag50,0.5352048212620565,fwd_ret,50,ridge,POOLED,4
fam_mean_ret_10_lag20,0.29013437314183277,fwd_ret,50,ridge,POOLED,4
std_50_lag5,0.26094743720347513,fwd_ret,50,ridge,POOLED,4
signed_flow_20_lag5,0.23098403080365787,fwd_ret,50,ridge,POOLED,4
std_50_lag1,0.18800494743664067,fwd_ret,50,ridge,POOLED,4
spread_bps_lag50,0.15678927562210826,fwd_ret,50,ridge,POOLED,4
signed_flow_20_lag1,0.15090384727326878,fwd_ret,50,ridge,POOLED,4
spread_bps_lag1,0.1488611446528875,fwd_ret,50,ridge,POOLED,4
spread_bps_lag20,0.12549924276745592,fwd_ret,50,ridge,POOLED,4
