target,horizon,model,product,vol_gate_q,fold,n_train,n_test,ic,median_edge_excess_half_spread,frac_edge_clears_half_spread,passed_gate
fwd_ret,50,ridge,POOLED,4,D2->D3,39404,49255,0.004543081254794793,-3.6922474561236567,0.1780529895442087,False
fwd_ret,50,ridge,POOLED,4,D2+D3->D4,78808,49255,-0.017388609721160388,-4.3275560340074115,0.06096842960105573,False
fwd_ret,50,ridge,POOLED,4,LOO_D2,78808,49255,0.034990392468994345,,,False
fwd_ret,50,ridge,POOLED,4,LOO_D3,78808,49255,0.015486589544464979,,,False
fwd_ret,50,ridge,POOLED,4,LOO_D4,78808,49255,-0.017388609721160388,,,False
fwd_ret,50,lgbm,POOLED,4,D2->D3,39404,49255,-0.02390418719632951,2.1014211838971724,0.6074104151862755,False
fwd_ret,50,lgbm,POOLED,4,D2+D3->D4,78808,49255,0.022858194241360274,-0.03909094624472864,0.49739112780428385,False
fwd_ret,50,lgbm,POOLED,4,LOO_D2,78808,49255,0.013178386982147282,,,False
fwd_ret,50,lgbm,POOLED,4,LOO_D3,78808,49255,-0.02840889951128911,,,False
fwd_ret,50,lgbm,POOLED,4,LOO_D4,78808,49255,0.022858194241360274,,,False
fwd_ret,100,ridge,POOLED,4,D2->D3,39204,49005,0.042194471258307414,-1.327712350750745,0.4035914702581369,False
fwd_ret,100,ridge,POOLED,4,D2+D3->D4,78408,49005,-0.04188226978737866,-2.1631907069164114,0.31647791041730433,False
fwd_ret,100,ridge,POOLED,4,LOO_D2,78408,49005,0.08585745412567318,,,False
fwd_ret,100,ridge,POOLED,4,LOO_D3,78408,49005,0.06854849387576152,,,False
fwd_ret,100,ridge,POOLED,4,LOO_D4,78408,49005,-0.04188226978737866,,,False
fwd_ret,100,lgbm,POOLED,4,D2->D3,39204,49005,-0.0028010066698451884,7.900688291823956,0.7584328129782675,False
fwd_ret,100,lgbm,POOLED,4,D2+D3->D4,78408,49005,0.0011051964111725716,3.634889729694777,0.661238649117437,False
fwd_ret,100,lgbm,POOLED,4,LOO_D2,78408,49005,0.036036440982793606,,,False
fwd_ret,100,lgbm,POOLED,4,LOO_D3,78408,49005,-0.040417472529162536,,,False
fwd_ret,100,lgbm,POOLED,4,LOO_D4,78408,49005,0.0011051964111725716,,,False
