product,signal,horizon,regime,n,ic
PEBBLES_XS,neg_zscore_mid_50,1,low,9985,0.015273139997512298
PEBBLES_XS,neg_zscore_mid_50,1,mid,9970,-0.0005075213583421805
PEBBLES_XS,neg_zscore_mid_50,1,high,9975,0.012895413628965971
PEBBLES_XS,neg_zscore_mid_50,10,low,9985,0.006578165097366404
PEBBLES_XS,neg_zscore_mid_50,10,mid,9967,0.022008674610749207
PEBBLES_XS,neg_zscore_mid_50,10,high,9951,0.06710292682930426
PEBBLES_XS,neg_zscore_mid_50,100,low,9932,0.043550204652954276
PEBBLES_XS,neg_zscore_mid_50,100,mid,9883,0.010477236657387971
PEBBLES_XS,neg_zscore_mid_50,100,high,9818,0.06245863697545408
PEBBLES_XS,neg_zscore_mid_50,1000,low,8706,0.023211873728067264
PEBBLES_XS,neg_zscore_mid_50,1000,mid,9149,0.017065127991431426
PEBBLES_XS,neg_zscore_mid_50,1000,high,9078,0.13209956130995434
PEBBLES_XS,neg_zscore_vwap_50,1,low,8972,-0.006895008283733948
PEBBLES_XS,neg_zscore_vwap_50,1,mid,9077,-0.009011874224807594
PEBBLES_XS,neg_zscore_vwap_50,1,high,8930,0.0004500904426800722
PEBBLES_XS,neg_zscore_vwap_50,10,low,8972,-0.012830270346649915
PEBBLES_XS,neg_zscore_vwap_50,10,mid,9074,0.0031343867323641106
PEBBLES_XS,neg_zscore_vwap_50,10,high,8906,0.011209437179199519
PEBBLES_XS,neg_zscore_vwap_50,100,low,8919,-0.0013666241924458517
PEBBLES_XS,neg_zscore_vwap_50,100,mid,8990,-0.03222817028060704
PEBBLES_XS,neg_zscore_vwap_50,100,high,8773,0.009376425998709564
PEBBLES_XS,neg_zscore_vwap_50,1000,low,7806,-0.02037275719363789
PEBBLES_XS,neg_zscore_vwap_50,1000,mid,8290,-0.015501393834611016
PEBBLES_XS,neg_zscore_vwap_50,1000,high,8033,0.04867171031653539
PEBBLES_XS,obi_l1,1,low,9991,0.015864701730774745
PEBBLES_XS,obi_l1,1,mid,9990,0.03484629652511223
PEBBLES_XS,obi_l1,1,high,9989,0.001756014300221605
PEBBLES_XS,obi_l1,10,low,9991,-0.006807950021661702
PEBBLES_XS,obi_l1,10,mid,9987,0.011332598445116714
PEBBLES_XS,obi_l1,10,high,9965,-0.0018058195419965184
PEBBLES_XS,obi_l1,100,low,9938,0.010550498251180386
PEBBLES_XS,obi_l1,100,mid,9903,0.013686362105897765
PEBBLES_XS,obi_l1,100,high,9832,-0.007136971757014696
PEBBLES_XS,obi_l1,1000,low,8712,-0.005066647143441876
PEBBLES_XS,obi_l1,1000,mid,9169,-0.00599128365154132
PEBBLES_XS,obi_l1,1000,high,9092,-0.006225196009603873
PEBBLES_XS,obi_l3,1,low,9991,-0.03714537641885494
PEBBLES_XS,obi_l3,1,mid,9990,-0.019368502763717967
PEBBLES_XS,obi_l3,1,high,9989,-0.026336508512341705
PEBBLES_XS,obi_l3,10,low,9991,-0.0012955288180260148
PEBBLES_XS,obi_l3,10,mid,9987,-0.007032201674298839
PEBBLES_XS,obi_l3,10,high,9965,-0.0064001715724222134
PEBBLES_XS,obi_l3,100,low,9938,0.004517949730585284
PEBBLES_XS,obi_l3,100,mid,9903,-0.018338473561740905
PEBBLES_XS,obi_l3,100,high,9832,0.0033870826288860917
PEBBLES_XS,obi_l3,1000,low,8712,0.0015822989794298196
PEBBLES_XS,obi_l3,1000,mid,9169,0.011213451623641096
PEBBLES_XS,obi_l3,1000,high,9092,-0.004484504681407118
PEBBLES_XS,momentum_10,1,low,9990,-0.00036688112000511067
PEBBLES_XS,momentum_10,1,mid,9990,-0.003924057054432061
PEBBLES_XS,momentum_10,1,high,9989,-0.0011992213619507444
PEBBLES_XS,momentum_10,10,low,9990,0.014949406929754164
PEBBLES_XS,momentum_10,10,mid,9987,-0.02703906296714517
PEBBLES_XS,momentum_10,10,high,9965,-0.07726564988729999
PEBBLES_XS,momentum_10,100,low,9937,-0.006527531199330983
PEBBLES_XS,momentum_10,100,mid,9903,-0.01580027454103365
PEBBLES_XS,momentum_10,100,high,9832,-0.053024914999073955
PEBBLES_XS,momentum_10,1000,low,8711,-0.019336088930971204
PEBBLES_XS,momentum_10,1000,mid,9169,-0.013737971256571719
PEBBLES_XS,momentum_10,1000,high,9092,-0.08458654721132741
PEBBLES_XS,neg_spread,1,low,9991,0.019715973368095253
PEBBLES_XS,neg_spread,1,mid,9990,0.01996898176174539
PEBBLES_XS,neg_spread,1,high,9989,0.0038672352675289965
PEBBLES_XS,neg_spread,10,low,9991,0.03662295199501742
PEBBLES_XS,neg_spread,10,mid,9987,0.04584990566521936
PEBBLES_XS,neg_spread,10,high,9965,-0.002264919607477962
PEBBLES_XS,neg_spread,100,low,9938,0.09554923874925544
PEBBLES_XS,neg_spread,100,mid,9903,0.12230286412678296
PEBBLES_XS,neg_spread,100,high,9832,0.029927364567399948
PEBBLES_XS,neg_spread,1000,low,8712,0.31867290462824843
PEBBLES_XS,neg_spread,1000,mid,9169,0.26689213842964216
PEBBLES_XS,neg_spread,1000,high,9092,0.2518317719690792
PEBBLES_XS,trade_imbalance,1,low,9991,0.005121312684395276
PEBBLES_XS,trade_imbalance,1,mid,9990,0.014280194616629797
PEBBLES_XS,trade_imbalance,1,high,9989,0.004649049867793103
PEBBLES_XS,trade_imbalance,10,low,9991,0.020352348519747692
PEBBLES_XS,trade_imbalance,10,mid,9987,0.026911226916625685
PEBBLES_XS,trade_imbalance,10,high,9965,0.029493846153275986
PEBBLES_XS,trade_imbalance,100,low,9938,0.046146443139371385
PEBBLES_XS,trade_imbalance,100,mid,9903,0.04067893554467631
PEBBLES_XS,trade_imbalance,100,high,9832,0.005536675132139587
PEBBLES_XS,trade_imbalance,1000,low,8712,-0.004025119723554829
PEBBLES_XS,trade_imbalance,1000,mid,9169,0.061830397094149336
PEBBLES_XS,trade_imbalance,1000,high,9092,-0.01212974047826038
PEBBLES_S,neg_zscore_mid_50,1,low,9986,-0.007328879266874827
PEBBLES_S,neg_zscore_mid_50,1,mid,9987,0.0001552684838609488
PEBBLES_S,neg_zscore_mid_50,1,high,9957,-0.003154818849691112
PEBBLES_S,neg_zscore_mid_50,10,low,9986,0.0048670338291489585
PEBBLES_S,neg_zscore_mid_50,10,mid,9973,-0.03152261078333119
PEBBLES_S,neg_zscore_mid_50,10,high,9944,-0.0021448091608914427
PEBBLES_S,neg_zscore_mid_50,100,low,9888,-0.01009012062448793
PEBBLES_S,neg_zscore_mid_50,100,mid,9896,0.0359642133260585
PEBBLES_S,neg_zscore_mid_50,100,high,9849,-0.0007991474509072643
PEBBLES_S,neg_zscore_mid_50,1000,low,8933,0.008206676312335346
PEBBLES_S,neg_zscore_mid_50,1000,mid,8956,0.04730062644428622
PEBBLES_S,neg_zscore_mid_50,1000,high,9044,0.10134403936197764
PEBBLES_S,neg_zscore_vwap_50,1,low,9051,-0.007129508783511862
PEBBLES_S,neg_zscore_vwap_50,1,mid,9047,0.012990471669677166
PEBBLES_S,neg_zscore_vwap_50,1,high,8890,-0.007016929078964979
PEBBLES_S,neg_zscore_vwap_50,10,low,9051,-0.003235885443199797
PEBBLES_S,neg_zscore_vwap_50,10,mid,9033,-0.012734659585195698
PEBBLES_S,neg_zscore_vwap_50,10,high,8877,0.02557873099476872
PEBBLES_S,neg_zscore_vwap_50,100,low,8953,0.013360366412388195
PEBBLES_S,neg_zscore_vwap_50,100,mid,8956,0.03574262037481716
PEBBLES_S,neg_zscore_vwap_50,100,high,8782,-0.004321049878118859
PEBBLES_S,neg_zscore_vwap_50,1000,low,8044,0.02678360545486888
PEBBLES_S,neg_zscore_vwap_50,1000,mid,8068,0.017556489588409913
PEBBLES_S,neg_zscore_vwap_50,1000,high,8078,0.07118238708670012
PEBBLES_S,obi_l1,1,low,9990,0.05243964592444478
PEBBLES_S,obi_l1,1,mid,9990,0.02694948515370333
PEBBLES_S,obi_l1,1,high,9990,0.028971297108095432
PEBBLES_S,obi_l1,10,low,9990,0.019825605415220434
PEBBLES_S,obi_l1,10,mid,9976,0.014246180045562995
PEBBLES_S,obi_l1,10,high,9977,0.0030168890735086254
PEBBLES_S,obi_l1,100,low,9892,-0.002202511690621737
PEBBLES_S,obi_l1,100,mid,9899,-0.019857424669255642
PEBBLES_S,obi_l1,100,high,9882,0.0022528878016415104
PEBBLES_S,obi_l1,1000,low,8937,0.009398800519564945
PEBBLES_S,obi_l1,1000,mid,8959,-0.017341691843787765
PEBBLES_S,obi_l1,1000,high,9077,-0.012123105325630943
