product,from,to,p
PEBBLES_XS,low,low,0.9641677509758783
PEBBLES_XS,low,mid,0.03583224902412171
PEBBLES_XS,low,high,0.0
PEBBLES_XS,mid,low,0.03553553553553553
PEBBLES_XS,mid,mid,0.9326326326326326
PEBBLES_XS,mid,high,0.03183183183183183
PEBBLES_XS,high,low,0.0
PEBBLES_XS,high,mid,0.03163479827810592
PEBBLES_XS,high,high,0.9683652017218941
PEBBLES_S,low,low,0.9638638638638639
PEBBLES_S,low,mid,0.036136136136136136
PEBBLES_S,low,high,0.0
PEBBLES_S,mid,low,0.035935935935935935
PEBBLES_S,mid,mid,0.932032032032032
PEBBLES_S,mid,high,0.03203203203203203
PEBBLES_S,high,low,0.0
PEBBLES_S,high,mid,0.03193193193193193
PEBBLES_S,high,high,0.9680680680680681
PEBBLES_M,low,low,0.9624624624624625
PEBBLES_M,low,mid,0.03753753753753754
PEBBLES_M,low,high,0.0
PEBBLES_M,mid,low,0.03733733733733734
PEBBLES_M,mid,mid,0.9302302302302302
PEBBLES_M,mid,high,0.032432432432432434
PEBBLES_M,high,low,0.0
PEBBLES_M,high,mid,0.032332332332332334
PEBBLES_M,high,high,0.9676676676676677
PEBBLES_L,low,low,0.9656622284512965
PEBBLES_L,low,mid,0.03433777154870357
PEBBLES_L,low,high,0.0
PEBBLES_L,mid,low,0.03423423423423423
PEBBLES_L,mid,mid,0.9337337337337337
PEBBLES_L,mid,high,0.03203203203203203
PEBBLES_L,high,low,0.0
PEBBLES_L,high,mid,0.032028825943349014
PEBBLES_L,high,high,0.967971174056651
PEBBLES_XL,low,low,0.9640604665131645
PEBBLES_XL,low,mid,0.03593953348683552
PEBBLES_XL,low,high,0.0
PEBBLES_XL,mid,low,0.03583224902412171
PEBBLES_XL,mid,mid,0.932939645681113
PEBBLES_XL,mid,high,0.031228105294765288
PEBBLES_XL,high,low,0.0
PEBBLES_XL,high,mid,0.03113113113113113
PEBBLES_XL,high,high,0.9688688688688689
