product,from,to,p
ROBOT_VACUUMING,low,low,0.9636636636636636
ROBOT_VACUUMING,low,mid,0.03633633633633634
ROBOT_VACUUMING,low,high,0.0
ROBOT_VACUUMING,mid,low,0.03613251926734061
ROBOT_VACUUMING,mid,mid,0.9320388349514563
ROBOT_VACUUMING,mid,high,0.031828645781203084
ROBOT_VACUUMING,high,low,0.0
ROBOT_VACUUMING,high,mid,0.03163479827810592
ROBOT_VACUUMING,high,high,0.9683652017218941
ROBOT_MOPPING,low,low,0.9664664664664665
ROBOT_MOPPING,low,mid,0.033533533533533534
ROBOT_MOPPING,low,high,0.0
ROBOT_MOPPING,mid,low,0.03333333333333333
ROBOT_MOPPING,mid,mid,0.9355355355355356
ROBOT_MOPPING,mid,high,0.03113113113113113
ROBOT_MOPPING,high,low,0.0
ROBOT_MOPPING,high,mid,0.031031031031031032
ROBOT_MOPPING,high,high,0.968968968968969
ROBOT_DISHES,low,low,0.9702672940234258
ROBOT_DISHES,low,mid,0.029732705976574233
ROBOT_DISHES,low,high,0.0
ROBOT_DISHES,mid,low,0.02962962962962963
ROBOT_DISHES,mid,mid,0.9456456456456457
ROBOT_DISHES,mid,high,0.024724724724724725
ROBOT_DISHES,high,low,0.0
ROBOT_DISHES,high,mid,0.02472225002502252
ROBOT_DISHES,high,high,0.9752777499749775
ROBOT_LAUNDRY,low,low,0.9641641641641642
ROBOT_LAUNDRY,low,mid,0.035835835835835834
ROBOT_LAUNDRY,low,high,0.0
ROBOT_LAUNDRY,mid,low,0.035739313244569026
ROBOT_LAUNDRY,mid,mid,0.9328261087195916
ROBOT_LAUNDRY,mid,high,0.031434578035839426
ROBOT_LAUNDRY,high,low,0.0
ROBOT_LAUNDRY,high,mid,0.03142828545691122
ROBOT_LAUNDRY,high,high,0.9685717145430888
ROBOT_IRONING,low,low,0.9668635499048954
ROBOT_IRONING,low,mid,0.033136450095104616
ROBOT_IRONING,low,high,0.0
ROBOT_IRONING,mid,low,0.03302972675407867
ROBOT_IRONING,mid,mid,0.9378440596536883
ROBOT_IRONING,mid,high,0.02912621359223301
ROBOT_IRONING,high,low,0.0
ROBOT_IRONING,high,mid,0.02902902902902903
ROBOT_IRONING,high,high,0.970970970970971
