a,b,coint_t,coint_p
SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,-2.599845461217412,0.23689230819853718
SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,-2.848112580111767,0.15085540083615212
SLEEP_POD_SUEDE,SLEEP_POD_NYLON,-1.798260073144139,0.6305668819131766
SLEEP_POD_SUEDE,SLEEP_POD_COTTON,-1.96456390322865,0.5469418278151941
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,-2.5892304109730153,0.2411934063846678
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,-3.1689286101655734,0.07527948587868571
SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,-2.5246616674022353,0.26830215087198805
SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,-2.1581007344075718,0.44606338184753347
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,-3.0387368624516236,0.10128234377325857
SLEEP_POD_NYLON,SLEEP_POD_COTTON,-2.0604917887589447,0.49702557544990816
