feature,importance,target,horizon,model,product,vol_gate_q
obi_l3_lag50,68.75525116703608,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
obi_l1_lag20,53.2525001722419,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
obi_l3_lag20,43.91719664155356,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
obi_l1_lag1,38.8720856346945,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
fam_mean_obi_l1_lag5,37.00376726449731,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
obi_l3_lag1,34.85786953793621,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
fam_mean_obi_l1_lag20,34.37653260243798,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
obi_l3_lag5,33.540065416997955,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
obi_l1_lag50,29.478326736727166,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
microprice_dev_lag20,27.694849873103564,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
microprice_dev_lag1,18.469726662493034,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
microprice_dev_lag5,16.804443710436054,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
obi_l1_lag5,11.864145142150276,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
fam_mean_microprice_dev_lag20,8.664425381069128,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
microprice_dev_lag50,8.163983104310356,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
fam_mean_microprice_dev_lag5,5.6340436891467895,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
std_500_lag1,2.7049552173792724,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
std_500_lag5,2.4301399898790477,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
signed_flow_20_lag20,0.9884608744362944,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
spread_bps_lag50,0.6842983846608014,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
signed_flow_20_lag1,0.5985201031039711,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
std_50_lag1,0.474799356918124,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
signed_flow_20_lag5,0.3897671117414662,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
spread_bps_lag1,0.35215273654026125,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
spread_bps_lag5,0.32324981532287245,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
std_50_lag5,0.27896454246519703,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
std_500_lag50,0.24627081203030637,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
spread_bps_lag20,0.22141989353319796,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
signed_flow_20_lag50,0.13418467473225082,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
ret_10_lag20,0.11415220912234667,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
std_500_lag20,0.10945858902396204,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
std_50_lag20,0.08486546116361451,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
ret_10_lag1,0.07833060195407314,fwd_ret,50,ridge,SLEEP_POD_COTTON,5
