target,horizon,model,product,vol_gate_q,fold,day,pnl,ic_day
fwd_ret,50,ridge,SLEEP_POD_COTTON,5,D2->D3,3,-64140.0,0.002089485002412495
fwd_ret,50,ridge,SLEEP_POD_COTTON,5,D2+D3->D4,4,-33960.0,-0.07500163678630556
fwd_ret,50,lgbm,SLEEP_POD_COTTON,5,D2->D3,3,-96190.0,0.04819824526403536
fwd_ret,50,lgbm,SLEEP_POD_COTTON,5,D2+D3->D4,4,-111360.0,-0.022907810681285907
fwd_ret,100,ridge,SLEEP_POD_COTTON,5,D2->D3,3,-50160.0,-0.02869897570135629
fwd_ret,100,ridge,SLEEP_POD_COTTON,5,D2+D3->D4,4,-68610.0,-0.07318089076779546
fwd_ret,100,lgbm,SLEEP_POD_COTTON,5,D2->D3,3,-77740.0,0.023526417830513752
fwd_ret,100,lgbm,SLEEP_POD_COTTON,5,D2+D3->D4,4,-89080.0,-0.021632806599867126
fwd_ret,50,ridge,SLEEP_POD_LAMB_WOOL,5,D2->D3,3,-78110.0,0.021053219879807107
fwd_ret,50,ridge,SLEEP_POD_LAMB_WOOL,5,D2+D3->D4,4,-53300.0,-0.013540805140176871
fwd_ret,50,lgbm,SLEEP_POD_LAMB_WOOL,5,D2->D3,3,-83780.0,0.015266775453179908
fwd_ret,50,lgbm,SLEEP_POD_LAMB_WOOL,5,D2+D3->D4,4,-89950.0,-0.03803406266584663
fwd_ret,100,ridge,SLEEP_POD_LAMB_WOOL,5,D2->D3,3,-89940.0,-0.00806703460327192
fwd_ret,100,ridge,SLEEP_POD_LAMB_WOOL,5,D2+D3->D4,4,-54440.0,0.041294086878750386
fwd_ret,100,lgbm,SLEEP_POD_LAMB_WOOL,5,D2->D3,3,-88390.0,0.058804261692646534
fwd_ret,100,lgbm,SLEEP_POD_LAMB_WOOL,5,D2+D3->D4,4,-72820.0,-0.000886554120609702
fwd_ret,50,ridge,SLEEP_POD_NYLON,5,D2->D3,3,-55950.0,0.04638400652767661
fwd_ret,50,ridge,SLEEP_POD_NYLON,5,D2+D3->D4,4,-29730.0,-0.010320551895294603
fwd_ret,50,lgbm,SLEEP_POD_NYLON,5,D2->D3,3,-78270.0,-0.050016198231425356
fwd_ret,50,lgbm,SLEEP_POD_NYLON,5,D2+D3->D4,4,-95780.0,0.011848475244694706
fwd_ret,100,ridge,SLEEP_POD_NYLON,5,D2->D3,3,-47460.0,0.103296149252087
fwd_ret,100,ridge,SLEEP_POD_NYLON,5,D2+D3->D4,4,-57410.0,-0.015513425969270911
fwd_ret,100,lgbm,SLEEP_POD_NYLON,5,D2->D3,3,-60520.0,-0.05903831625834502
fwd_ret,100,lgbm,SLEEP_POD_NYLON,5,D2+D3->D4,4,-104570.0,-0.026830164739162436
fwd_ret,50,ridge,SLEEP_POD_POLYESTER,5,D2->D3,3,-48680.0,-0.03804225508154329
fwd_ret,50,ridge,SLEEP_POD_POLYESTER,5,D2+D3->D4,4,-41550.0,-0.02394976735419552
fwd_ret,50,lgbm,SLEEP_POD_POLYESTER,5,D2->D3,3,-107570.0,-0.03076470751638675
fwd_ret,50,lgbm,SLEEP_POD_POLYESTER,5,D2+D3->D4,4,-105860.0,-0.05436600215117594
fwd_ret,100,ridge,SLEEP_POD_POLYESTER,5,D2->D3,3,-71810.0,-0.0250347935927145
fwd_ret,100,ridge,SLEEP_POD_POLYESTER,5,D2+D3->D4,4,-87890.0,-0.029241745794285935
fwd_ret,100,lgbm,SLEEP_POD_POLYESTER,5,D2->D3,3,-90120.0,-0.054045850353202265
fwd_ret,100,lgbm,SLEEP_POD_POLYESTER,5,D2+D3->D4,4,-95990.0,-0.10640173512541722
fwd_ret,50,ridge,SLEEP_POD_SUEDE,5,D2->D3,3,-50310.0,0.034445602764041405
fwd_ret,50,ridge,SLEEP_POD_SUEDE,5,D2+D3->D4,4,-29460.0,-0.01926384821273342
fwd_ret,50,lgbm,SLEEP_POD_SUEDE,5,D2->D3,3,-105640.0,0.06078870319306587
fwd_ret,50,lgbm,SLEEP_POD_SUEDE,5,D2+D3->D4,4,-119280.0,0.00036748932266391276
fwd_ret,100,ridge,SLEEP_POD_SUEDE,5,D2->D3,3,-54810.0,0.12638933420789591
fwd_ret,100,ridge,SLEEP_POD_SUEDE,5,D2+D3->D4,4,-47710.0,0.01664783606210416
fwd_ret,100,lgbm,SLEEP_POD_SUEDE,5,D2->D3,3,-102930.0,0.06462608445382174
fwd_ret,100,lgbm,SLEEP_POD_SUEDE,5,D2+D3->D4,4,-127270.0,0.036788007203785784
