product,signal,horizon,regime,n,ic
SLEEP_POD_SUEDE,neg_zscore_mid_50,1,low,9951,-0.016984503555880156
SLEEP_POD_SUEDE,neg_zscore_mid_50,1,mid,9989,0.013786468681456379
SLEEP_POD_SUEDE,neg_zscore_mid_50,1,high,9990,0.008706727343188532
SLEEP_POD_SUEDE,neg_zscore_mid_50,10,low,9951,-0.011064152894069111
SLEEP_POD_SUEDE,neg_zscore_mid_50,10,mid,9968,0.015708387445337084
SLEEP_POD_SUEDE,neg_zscore_mid_50,10,high,9984,0.02169914395922166
SLEEP_POD_SUEDE,neg_zscore_mid_50,100,low,9869,-0.005812406882526811
SLEEP_POD_SUEDE,neg_zscore_mid_50,100,mid,9893,0.02551561077315473
SLEEP_POD_SUEDE,neg_zscore_mid_50,100,high,9871,0.03537070916237454
SLEEP_POD_SUEDE,neg_zscore_mid_50,1000,low,9226,-0.014505246570597194
SLEEP_POD_SUEDE,neg_zscore_mid_50,1000,mid,9066,-0.023802879405226816
SLEEP_POD_SUEDE,neg_zscore_mid_50,1000,high,8641,0.016421434184499047
SLEEP_POD_SUEDE,neg_zscore_vwap_50,1,low,9350,-0.004686662461433796
SLEEP_POD_SUEDE,neg_zscore_vwap_50,1,mid,9519,0.0014522907415268948
SLEEP_POD_SUEDE,neg_zscore_vwap_50,1,high,9699,0.021036065242907177
SLEEP_POD_SUEDE,neg_zscore_vwap_50,10,low,9350,-0.02862247156982696
SLEEP_POD_SUEDE,neg_zscore_vwap_50,10,mid,9498,-0.026068671162846998
SLEEP_POD_SUEDE,neg_zscore_vwap_50,10,high,9693,0.03093873468499154
SLEEP_POD_SUEDE,neg_zscore_vwap_50,100,low,9268,0.008624846660321756
SLEEP_POD_SUEDE,neg_zscore_vwap_50,100,mid,9423,0.024554351876765298
SLEEP_POD_SUEDE,neg_zscore_vwap_50,100,high,9580,0.07455149347633007
SLEEP_POD_SUEDE,neg_zscore_vwap_50,1000,low,8723,-0.03174502079350375
SLEEP_POD_SUEDE,neg_zscore_vwap_50,1000,mid,8644,-0.045010340508907704
SLEEP_POD_SUEDE,neg_zscore_vwap_50,1000,high,8371,0.0630705016333928
SLEEP_POD_SUEDE,obi_l1,1,low,9991,0.04116051659289226
SLEEP_POD_SUEDE,obi_l1,1,mid,9989,0.02458854891380244
SLEEP_POD_SUEDE,obi_l1,1,high,9990,0.049810108407578796
SLEEP_POD_SUEDE,obi_l1,10,low,9991,0.005652247525089724
SLEEP_POD_SUEDE,obi_l1,10,mid,9968,0.01847953911786652
SLEEP_POD_SUEDE,obi_l1,10,high,9984,0.026178646241783822
SLEEP_POD_SUEDE,obi_l1,100,low,9909,-0.0031197881251607057
SLEEP_POD_SUEDE,obi_l1,100,mid,9893,-0.002675294254422601
SLEEP_POD_SUEDE,obi_l1,100,high,9871,-0.001799852781212689
SLEEP_POD_SUEDE,obi_l1,1000,low,9266,0.019176491125874395
SLEEP_POD_SUEDE,obi_l1,1000,mid,9066,0.01379008611683026
SLEEP_POD_SUEDE,obi_l1,1000,high,8641,-0.0038537246023066666
SLEEP_POD_SUEDE,obi_l3,1,low,9991,-0.03869428293488018
SLEEP_POD_SUEDE,obi_l3,1,mid,9989,-0.034962838568727075
SLEEP_POD_SUEDE,obi_l3,1,high,9990,-0.04697768943171278
SLEEP_POD_SUEDE,obi_l3,10,low,9991,-0.005716545123475265
SLEEP_POD_SUEDE,obi_l3,10,mid,9968,-0.02900161300206473
SLEEP_POD_SUEDE,obi_l3,10,high,9984,-0.019874469571190163
SLEEP_POD_SUEDE,obi_l3,100,low,9909,0.00034527012467585135
SLEEP_POD_SUEDE,obi_l3,100,mid,9893,0.0011474234385689442
SLEEP_POD_SUEDE,obi_l3,100,high,9871,0.0002570589388219717
SLEEP_POD_SUEDE,obi_l3,1000,low,9266,-0.004973335001696557
SLEEP_POD_SUEDE,obi_l3,1000,mid,9066,-0.019913247109458788
