product,from,to,p
SLEEP_POD_SUEDE,low,low,0.9611650485436893
SLEEP_POD_SUEDE,low,mid,0.038834951456310676
SLEEP_POD_SUEDE,low,high,0.0
SLEEP_POD_SUEDE,mid,low,0.03864250675743318
SLEEP_POD_SUEDE,mid,mid,0.9304234658123937
SLEEP_POD_SUEDE,mid,high,0.03093402743017319
SLEEP_POD_SUEDE,high,low,0.0
SLEEP_POD_SUEDE,high,mid,0.03083083083083083
SLEEP_POD_SUEDE,high,high,0.9691691691691692
SLEEP_POD_LAMB_WOOL,low,low,0.9648648648648649
SLEEP_POD_LAMB_WOOL,low,mid,0.03513513513513514
SLEEP_POD_LAMB_WOOL,low,high,0.0
SLEEP_POD_LAMB_WOOL,mid,low,0.034938432275503056
SLEEP_POD_LAMB_WOOL,mid,mid,0.9324256682350586
SLEEP_POD_LAMB_WOOL,mid,high,0.03263589948943838
SLEEP_POD_LAMB_WOOL,high,low,0.0
SLEEP_POD_LAMB_WOOL,high,mid,0.03262936642978681
SLEEP_POD_LAMB_WOOL,high,high,0.9673706335702132
SLEEP_POD_POLYESTER,low,low,0.9654654654654654
SLEEP_POD_POLYESTER,low,mid,0.03453453453453453
SLEEP_POD_POLYESTER,low,high,0.0
SLEEP_POD_POLYESTER,mid,low,0.03433433433433433
SLEEP_POD_POLYESTER,mid,mid,0.935035035035035
SLEEP_POD_POLYESTER,mid,high,0.03063063063063063
SLEEP_POD_POLYESTER,high,low,0.0
SLEEP_POD_POLYESTER,high,mid,0.03053053053053053
SLEEP_POD_POLYESTER,high,high,0.9694694694694694
SLEEP_POD_NYLON,low,low,0.9643643643643643
SLEEP_POD_NYLON,low,mid,0.03563563563563563
SLEEP_POD_NYLON,low,high,0.0
SLEEP_POD_NYLON,mid,low,0.035438982881169284
SLEEP_POD_NYLON,mid,mid,0.9353288617479227
SLEEP_POD_NYLON,mid,high,0.029232155370907998
SLEEP_POD_NYLON,high,low,0.0
SLEEP_POD_NYLON,high,mid,0.029226303673305976
SLEEP_POD_NYLON,high,high,0.9707736963266941
SLEEP_POD_COTTON,low,low,0.9643643643643643
SLEEP_POD_COTTON,low,mid,0.03563563563563563
SLEEP_POD_COTTON,low,high,0.0
SLEEP_POD_COTTON,mid,low,0.03543543543543543
SLEEP_POD_COTTON,mid,mid,0.9338338338338338
SLEEP_POD_COTTON,mid,high,0.03073073073073073
SLEEP_POD_COTTON,high,low,0.0
SLEEP_POD_COTTON,high,mid,0.03063063063063063
SLEEP_POD_COTTON,high,high,0.9693693693693693
