a,b,coint_t,coint_p
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-2.1277353915371395,0.461880327414185
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,-4.009838770306431,0.006952703204032303
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,-3.465208346810382,0.03560675169365471
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,-3.374478159429068,0.04526529479033467
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,-4.015021227230841,0.006834950716277297
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,-3.15218611616374,0.07829443928482124
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,-3.3052394610975204,0.054019530468441046
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,-3.604145875510893,0.024213677543464575
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,-3.642251580283428,0.02170131768228353
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,-3.5120042775023603,0.03134596985242469
