feature,importance,target,horizon,model,product,vol_gate_q
obi_l1_lag50,22.97121356635936,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
obi_l1_lag20,14.725468880341985,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
fam_mean_obi_l1_lag20,14.725468880341818,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
obi_l1_lag1,9.175164931753221,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
fam_mean_microprice_dev_lag5,6.900202129109092,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
microprice_dev_lag20,6.22419731386504,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
obi_l3_lag1,6.203972032949978,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_500_lag1,5.967355179742009,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_500_lag5,5.813338896064755,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
microprice_dev_lag5,5.488768833906228,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
microprice_dev_lag50,5.034329555231938,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
obi_l1_lag5,4.046559555399219,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
fam_mean_obi_l1_lag5,4.046559555397084,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
obi_l3_lag50,3.554058979206065,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
obi_l3_lag20,3.1016594409515466,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
microprice_dev_lag1,1.9084210712625365,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_50_lag1,1.328593254410762,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_50_lag5,0.8256499804860118,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
obi_l3_lag5,0.7351559137338607,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_500_lag20,0.6852856996852585,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
signed_flow_20_lag20,0.587411518192523,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_500_lag50,0.4059722851874562,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
signed_flow_20_lag5,0.33028612352173764,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
signed_flow_20_lag1,0.32180964552602764,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
fam_mean_microprice_dev_lag20,0.31078486696243435,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
spread_bps_lag20,0.25946530729769524,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
spread_bps_lag50,0.14947465533724122,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
fam_mean_ret_10_lag20,0.12826434584750784,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_50_lag20,0.11243596044191821,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
signed_flow_20_lag50,0.10604654331858876,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
vwap_dev_lag50,0.07836885790939589,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
spread_bps_lag1,0.07564361974250641,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_10_lag1,0.058817630046555415,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
spread_bps_lag5,0.04308489620239176,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_10_lag50,0.04183872829330461,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
fam_mean_ret_10_lag5,0.029065046583448734,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_1_lag1,0.025038380455412207,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
vwap_dev_lag20,0.023793594651122373,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
vwap_dev_lag1,0.019522732556965745,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_50_lag50,0.015080015588508723,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_10_lag20,0.01245819575163205,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
vwap_dev_lag5,0.007517142847732289,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_1_lag20,0.00591582986628216,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_1_lag50,0.005690467534097622,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_10_lag5,0.004164815581441498,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
ret_1_lag5,0.0010185567095651877,fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5
std_500_lag50,54618977.732421875,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
std_500_lag20,35790094.25378418,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
std_500_lag1,32043425.924560547,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
std_50_lag50,20788827.83569336,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
std_50_lag20,19372125.63305664,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
std_500_lag5,15948529.126586914,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
spread_bps_lag1,15590950.008178711,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
vwap_dev_lag50,15416884.572753906,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
std_50_lag1,14920556.34362793,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
spread_bps_lag5,13091944.57788086,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
spread_bps_lag50,12969204.247558594,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
vwap_dev_lag1,12612058.826782227,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
vwap_dev_lag20,12222234.62133789,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
std_50_lag5,9714801.45727539,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
signed_flow_20_lag50,9713010.886230469,fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5
