target,horizon,model,product,vol_gate_q,fold,day,pnl,ic_day
fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5,D2->D3,3,-6350.0,0.0006267967231991311
fwd_ret,50,ridge,SNACKPACK_CHOCOLATE,5,D2+D3->D4,4,-990.0,-0.12374386956787281
fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5,D2->D3,3,-105670.0,-0.010329785068229382
fwd_ret,50,lgbm,SNACKPACK_CHOCOLATE,5,D2+D3->D4,4,-89230.0,0.06273845371756465
fwd_ret,100,ridge,SNACKPACK_CHOCOLATE,5,D2->D3,3,-31250.0,-0.039220776789575265
fwd_ret,100,ridge,SNACKPACK_CHOCOLATE,5,D2+D3->D4,4,-9510.0,-0.1377995692905328
fwd_ret,100,lgbm,SNACKPACK_CHOCOLATE,5,D2->D3,3,-128360.0,0.046811665788601506
fwd_ret,100,lgbm,SNACKPACK_CHOCOLATE,5,D2+D3->D4,4,-122370.0,0.11650912059498694
fwd_ret,50,ridge,SNACKPACK_PISTACHIO,5,D2->D3,3,-2770.0,0.003473663376297183
fwd_ret,50,ridge,SNACKPACK_PISTACHIO,5,D2+D3->D4,4,-140.0,0.009708243127874015
fwd_ret,50,lgbm,SNACKPACK_PISTACHIO,5,D2->D3,3,-79630.0,0.003348004552534569
fwd_ret,50,lgbm,SNACKPACK_PISTACHIO,5,D2+D3->D4,4,-43520.0,0.008045118338944404
fwd_ret,100,ridge,SNACKPACK_PISTACHIO,5,D2->D3,3,-17260.0,-0.03325155456504276
fwd_ret,100,ridge,SNACKPACK_PISTACHIO,5,D2+D3->D4,4,-5540.0,-0.016409001259776776
fwd_ret,100,lgbm,SNACKPACK_PISTACHIO,5,D2->D3,3,-121260.0,-0.15808195629261873
fwd_ret,100,lgbm,SNACKPACK_PISTACHIO,5,D2+D3->D4,4,-92590.0,-0.0837625964081342
fwd_ret,50,ridge,SNACKPACK_RASPBERRY,5,D2->D3,3,-18830.0,0.02836431818801342
fwd_ret,50,ridge,SNACKPACK_RASPBERRY,5,D2+D3->D4,4,-4270.0,-0.054426904037527986
fwd_ret,50,lgbm,SNACKPACK_RASPBERRY,5,D2->D3,3,-126500.0,0.050451345553137954
fwd_ret,50,lgbm,SNACKPACK_RASPBERRY,5,D2+D3->D4,4,-120140.0,-0.04182502726151938
fwd_ret,100,ridge,SNACKPACK_RASPBERRY,5,D2->D3,3,-49580.0,-0.04611874328397252
fwd_ret,100,ridge,SNACKPACK_RASPBERRY,5,D2+D3->D4,4,-17780.0,-0.11826950679472208
fwd_ret,100,lgbm,SNACKPACK_RASPBERRY,5,D2->D3,3,-107510.0,0.08276826900084011
fwd_ret,100,lgbm,SNACKPACK_RASPBERRY,5,D2+D3->D4,4,-142900.0,-0.13670736474607187
fwd_ret,50,ridge,SNACKPACK_STRAWBERRY,5,D2->D3,3,-17060.0,0.0431979604091102
fwd_ret,50,ridge,SNACKPACK_STRAWBERRY,5,D2+D3->D4,4,-4240.0,-0.04355187451937277
fwd_ret,50,lgbm,SNACKPACK_STRAWBERRY,5,D2->D3,3,-132740.0,0.03944968700571777
fwd_ret,50,lgbm,SNACKPACK_STRAWBERRY,5,D2+D3->D4,4,-117290.0,-0.02188180947507721
fwd_ret,100,ridge,SNACKPACK_STRAWBERRY,5,D2->D3,3,-38070.0,-0.02243865546493878
fwd_ret,100,ridge,SNACKPACK_STRAWBERRY,5,D2+D3->D4,4,-11760.0,-0.06948036238607654
fwd_ret,100,lgbm,SNACKPACK_STRAWBERRY,5,D2->D3,3,-141680.0,-0.0005738609130818242
fwd_ret,100,lgbm,SNACKPACK_STRAWBERRY,5,D2+D3->D4,4,-160540.0,-0.008136330504273348
fwd_ret,50,ridge,SNACKPACK_VANILLA,5,D2->D3,3,-4250.0,0.02184305951492073
fwd_ret,50,ridge,SNACKPACK_VANILLA,5,D2+D3->D4,4,0.0,-0.1058845077848683
fwd_ret,50,lgbm,SNACKPACK_VANILLA,5,D2->D3,3,-110390.0,-0.0150180033978411
fwd_ret,50,lgbm,SNACKPACK_VANILLA,5,D2+D3->D4,4,-99360.0,-0.04985512676761352
fwd_ret,100,ridge,SNACKPACK_VANILLA,5,D2->D3,3,-24760.0,-0.020264909568418067
fwd_ret,100,ridge,SNACKPACK_VANILLA,5,D2+D3->D4,4,-2020.0,-0.07396795090869152
fwd_ret,100,lgbm,SNACKPACK_VANILLA,5,D2->D3,3,-134850.0,-0.026451549596378944
fwd_ret,100,lgbm,SNACKPACK_VANILLA,5,D2+D3->D4,4,-172250.0,-0.07008810505194712
