product,signal,horizon,regime,n,ic
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,1,low,9950,0.0029931615749263616
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,1,mid,9989,-0.006108070889165924
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,1,high,9991,0.018236782958873102
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,10,low,9932,-0.0010527634486629325
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,10,mid,9980,-0.04624481520406822
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,10,high,9991,0.02093024491431697
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,100,low,9843,-0.023882529821036363
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,100,mid,9871,-0.04860138482723636
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,100,high,9919,0.004966838727283854
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,1000,low,8959,0.022976390781778887
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,1000,mid,9029,0.025449017738822757
SNACKPACK_CHOCOLATE,neg_zscore_mid_50,1000,high,8945,0.0478141418940808
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,1,low,8883,0.01250825607560721
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,1,mid,9122,-0.0048511623374997755
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,1,high,9227,0.0004993889174439492
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,10,low,8874,0.035071480853701036
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,10,mid,9113,-0.014162034002476363
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,10,high,9227,0.008319338481580126
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,100,low,8791,0.0008024161196544557
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,100,mid,9009,0.03729197469201143
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,100,high,9166,0.014746594118330193
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,1000,low,7950,0.004111307291931173
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,1000,mid,8218,0.06010320159991279
SNACKPACK_CHOCOLATE,neg_zscore_vwap_50,1000,high,8316,0.08815812527646612
SNACKPACK_CHOCOLATE,obi_l1,1,low,9990,0.10800466687916994
SNACKPACK_CHOCOLATE,obi_l1,1,mid,9989,0.11737815514645271
SNACKPACK_CHOCOLATE,obi_l1,1,high,9991,0.12820424848963394
SNACKPACK_CHOCOLATE,obi_l1,10,low,9972,0.035198774539471636
SNACKPACK_CHOCOLATE,obi_l1,10,mid,9980,0.043941217849941504
SNACKPACK_CHOCOLATE,obi_l1,10,high,9991,0.04315298849201252
SNACKPACK_CHOCOLATE,obi_l1,100,low,9883,0.02864407744959548
SNACKPACK_CHOCOLATE,obi_l1,100,mid,9871,0.012160987941149712
SNACKPACK_CHOCOLATE,obi_l1,100,high,9919,0.011758663849262501
SNACKPACK_CHOCOLATE,obi_l1,1000,low,8999,-0.01388408559009677
SNACKPACK_CHOCOLATE,obi_l1,1000,mid,9029,-0.00032710947262812215
SNACKPACK_CHOCOLATE,obi_l1,1000,high,8945,-0.01334617663816739
SNACKPACK_CHOCOLATE,obi_l3,1,low,9990,-0.10735811103806817
SNACKPACK_CHOCOLATE,obi_l3,1,mid,9989,-0.11362084679720962
SNACKPACK_CHOCOLATE,obi_l3,1,high,9991,-0.12062521686166947
SNACKPACK_CHOCOLATE,obi_l3,10,low,9972,-0.032665942001376645
SNACKPACK_CHOCOLATE,obi_l3,10,mid,9980,-0.042848024980128144
SNACKPACK_CHOCOLATE,obi_l3,10,high,9991,-0.036324723556176323
SNACKPACK_CHOCOLATE,obi_l3,100,low,9883,-0.026831288787307374
SNACKPACK_CHOCOLATE,obi_l3,100,mid,9871,-0.014354632295529328
SNACKPACK_CHOCOLATE,obi_l3,100,high,9919,-0.01108147711967699
SNACKPACK_CHOCOLATE,obi_l3,1000,low,8999,0.011953709309303671
SNACKPACK_CHOCOLATE,obi_l3,1000,mid,9029,-0.00018762367409544086
SNACKPACK_CHOCOLATE,obi_l3,1000,high,8945,0.014979572868763816
SNACKPACK_CHOCOLATE,momentum_10,1,low,9989,0.0032706451737537757
SNACKPACK_CHOCOLATE,momentum_10,1,mid,9989,-0.007901712221962669
SNACKPACK_CHOCOLATE,momentum_10,1,high,9991,-0.0189493826070417
SNACKPACK_CHOCOLATE,momentum_10,10,low,9971,0.02334768635669848
SNACKPACK_CHOCOLATE,momentum_10,10,mid,9980,0.03233680367332078
SNACKPACK_CHOCOLATE,momentum_10,10,high,9991,-0.03888992324087585
SNACKPACK_CHOCOLATE,momentum_10,100,low,9882,0.020980702069835235
SNACKPACK_CHOCOLATE,momentum_10,100,mid,9871,0.022378516058673973
SNACKPACK_CHOCOLATE,momentum_10,100,high,9919,-0.012887504590226992
SNACKPACK_CHOCOLATE,momentum_10,1000,low,8998,-0.00043919550775556917
SNACKPACK_CHOCOLATE,momentum_10,1000,mid,9029,-0.021259407105461578
SNACKPACK_CHOCOLATE,momentum_10,1000,high,8945,-0.03721422864106106
SNACKPACK_CHOCOLATE,neg_spread,1,low,9990,-0.009254392233148133
SNACKPACK_CHOCOLATE,neg_spread,1,mid,9989,0.01589175851699733
SNACKPACK_CHOCOLATE,neg_spread,1,high,9991,0.025019654305655076
SNACKPACK_CHOCOLATE,neg_spread,10,low,9972,0.013317180530638918
SNACKPACK_CHOCOLATE,neg_spread,10,mid,9980,0.005345543785465222
SNACKPACK_CHOCOLATE,neg_spread,10,high,9991,0.01996911442881916
SNACKPACK_CHOCOLATE,neg_spread,100,low,9883,0.017783536306863777
SNACKPACK_CHOCOLATE,neg_spread,100,mid,9871,0.02846976951996507
SNACKPACK_CHOCOLATE,neg_spread,100,high,9919,0.056498851562574
SNACKPACK_CHOCOLATE,neg_spread,1000,low,8999,0.08598830173349181
SNACKPACK_CHOCOLATE,neg_spread,1000,mid,9029,0.08816072558997218
SNACKPACK_CHOCOLATE,neg_spread,1000,high,8945,0.09105893233502776
SNACKPACK_CHOCOLATE,trade_imbalance,1,low,9990,0.015429344045674533
SNACKPACK_CHOCOLATE,trade_imbalance,1,mid,9989,-0.0063674473248088075
SNACKPACK_CHOCOLATE,trade_imbalance,1,high,9991,-0.003904150008693154
SNACKPACK_CHOCOLATE,trade_imbalance,10,low,9972,0.017055149047767514
SNACKPACK_CHOCOLATE,trade_imbalance,10,mid,9980,-0.04581384107605035
SNACKPACK_CHOCOLATE,trade_imbalance,10,high,9991,-0.020948819136952866
SNACKPACK_CHOCOLATE,trade_imbalance,100,low,9883,-0.02890001433694442
SNACKPACK_CHOCOLATE,trade_imbalance,100,mid,9871,-0.026507892099815446
SNACKPACK_CHOCOLATE,trade_imbalance,100,high,9919,-0.027140407929489678
SNACKPACK_CHOCOLATE,trade_imbalance,1000,low,8999,-0.06548410290176841
SNACKPACK_CHOCOLATE,trade_imbalance,1000,mid,9029,-0.05766845554700055
SNACKPACK_CHOCOLATE,trade_imbalance,1000,high,8945,-0.016202817549583325
SNACKPACK_VANILLA,neg_zscore_mid_50,1,low,9966,-0.004614177731926616
