a,b,coint_t,coint_p
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,-2.5163581576475975,0.27190263511941937
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_GRAPHITE_MIST,-1.8178799773916912,0.6209971705287228
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_SPACE_GRAY,-1.866222807002932,0.5970345698565582
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_VOID_BLUE,-2.68119995056353,0.20641301629246206
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,-2.4236451490162847,0.31373939957548913
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_SPACE_GRAY,-2.4620233619990857,0.29606968438297404
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,-2.941168100613068,0.12486047004428658
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,-1.7241642148010503,0.665774110482463
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,-1.7143587400623927,0.6703128651750857
TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,-2.217641182865818,0.4152858374349228
