feature,importance,target,horizon,model,product,vol_gate_q
obi_l3_lag5,30.261413977705384,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
fam_mean_obi_l1_lag20,19.377718787609417,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
obi_l1_lag5,14.828299086721252,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
fam_mean_obi_l1_lag5,12.903738380344933,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
obi_l1_lag20,12.134758767714498,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
obi_l3_lag1,7.614565116889446,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
obi_l1_lag50,6.894031080283599,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
obi_l3_lag50,5.970377490625195,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
microprice_dev_lag5,4.98430011556031,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
obi_l1_lag1,4.495954263604289,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
obi_l3_lag20,4.077115573903987,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
microprice_dev_lag20,3.510264469114242,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_500_lag5,3.0167820648196906,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
fam_mean_microprice_dev_lag20,2.9432272401279813,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
fam_mean_microprice_dev_lag5,2.836560800599145,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
microprice_dev_lag1,2.590550376941761,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_500_lag1,2.5500914209834953,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
microprice_dev_lag50,2.5301824958805947,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
signed_flow_20_lag1,1.2914500302647969,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
signed_flow_20_lag50,1.0277642732632541,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
spread_bps_lag5,0.9328628003950314,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
spread_bps_lag1,0.6922650324856662,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_500_lag20,0.6492165229138874,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_50_lag1,0.5654826752873696,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
signed_flow_20_lag20,0.5579184632034135,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
spread_bps_lag50,0.4084519111521576,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_50_lag50,0.3357533689003007,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
spread_bps_lag20,0.32555351772482244,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_50_lag5,0.3219177987001074,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_50_lag20,0.25171862333550565,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
std_500_lag50,0.17752558933112153,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
signed_flow_20_lag5,0.07648543556891832,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
vwap_dev_lag50,0.07114281307704722,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
fam_mean_ret_10_lag5,0.06763630852611484,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
ret_1_lag50,0.045403277661718866,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
ret_1_lag20,0.03977460656290198,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
ret_10_lag5,0.03843860865643186,fwd_ret,50,ridge,TRANSLATOR_ASTRO_BLACK,5
