product,signal,horizon,regime,n,ic
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,1,low,9980,-0.008164837999599616
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,1,mid,9987,-0.008515221709201104
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,1,high,9963,0.011506146981688904
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,10,low,9971,-0.01620698243138057
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,10,mid,9984,-0.025435198070803768
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,10,high,9948,0.04877586962327542
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,100,low,9923,0.014887043717684541
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,100,mid,9905,0.007378303897561536
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,100,high,9805,0.05818529264069255
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,1000,low,9133,0.01688867424805183
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,1000,mid,8973,0.04097730942764665
TRANSLATOR_ASTRO_BLACK,neg_zscore_mid_50,1000,high,8827,0.046097476209305245
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,1,low,9444,0.003520260924154479
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,1,mid,9457,-0.0034022013265032035
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,1,high,9317,0.013415256118518255
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,10,low,9435,0.026418044112781994
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,10,mid,9454,-0.0492122266229391
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,10,high,9302,0.030480683391279937
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,100,low,9387,0.014781452128102807
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,100,mid,9375,-0.005834109329284062
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,100,high,9159,0.03683972192094894
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,1000,low,8621,0.05522526492705085
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,1000,mid,8480,0.007453018018513372
TRANSLATOR_ASTRO_BLACK,neg_zscore_vwap_50,1000,high,8214,0.048745070762087984
TRANSLATOR_ASTRO_BLACK,obi_l1,1,low,9990,0.02444626600652695
TRANSLATOR_ASTRO_BLACK,obi_l1,1,mid,9990,0.028521624208885717
TRANSLATOR_ASTRO_BLACK,obi_l1,1,high,9990,0.05215394662157906
TRANSLATOR_ASTRO_BLACK,obi_l1,10,low,9981,-0.005887896840493525
TRANSLATOR_ASTRO_BLACK,obi_l1,10,mid,9987,0.012660346566638815
TRANSLATOR_ASTRO_BLACK,obi_l1,10,high,9975,0.0006308525343624785
TRANSLATOR_ASTRO_BLACK,obi_l1,100,low,9933,-0.013499406956539386
TRANSLATOR_ASTRO_BLACK,obi_l1,100,mid,9908,0.0024291535655475696
TRANSLATOR_ASTRO_BLACK,obi_l1,100,high,9832,0.00790408314633033
TRANSLATOR_ASTRO_BLACK,obi_l1,1000,low,9143,0.005901223967271064
TRANSLATOR_ASTRO_BLACK,obi_l1,1000,mid,8976,-0.005337192833424557
TRANSLATOR_ASTRO_BLACK,obi_l1,1000,high,8854,-0.004513327207225681
TRANSLATOR_ASTRO_BLACK,obi_l3,1,low,9990,-0.0402300856408639
TRANSLATOR_ASTRO_BLACK,obi_l3,1,mid,9990,-0.02550680993332237
TRANSLATOR_ASTRO_BLACK,obi_l3,1,high,9990,-0.05939343468352997
TRANSLATOR_ASTRO_BLACK,obi_l3,10,low,9981,-0.024111584157021058
TRANSLATOR_ASTRO_BLACK,obi_l3,10,mid,9987,-0.007327059988711605
TRANSLATOR_ASTRO_BLACK,obi_l3,10,high,9975,-0.0274648609134341
TRANSLATOR_ASTRO_BLACK,obi_l3,100,low,9933,-0.006423967821023814
TRANSLATOR_ASTRO_BLACK,obi_l3,100,mid,9908,0.011672581515293497
TRANSLATOR_ASTRO_BLACK,obi_l3,100,high,9832,-0.007783329476423347
TRANSLATOR_ASTRO_BLACK,obi_l3,1000,low,9143,-0.0001959900716572655
TRANSLATOR_ASTRO_BLACK,obi_l3,1000,mid,8976,0.019609795639896444
TRANSLATOR_ASTRO_BLACK,obi_l3,1000,high,8854,-0.0009186037918241321
TRANSLATOR_ASTRO_BLACK,momentum_10,1,low,9989,0.007061269207418951
TRANSLATOR_ASTRO_BLACK,momentum_10,1,mid,9990,0.01035220237057995
TRANSLATOR_ASTRO_BLACK,momentum_10,1,high,9990,0.0011807106100271247
TRANSLATOR_ASTRO_BLACK,momentum_10,10,low,9980,0.006419543877967559
TRANSLATOR_ASTRO_BLACK,momentum_10,10,mid,9987,0.017218131692021917
TRANSLATOR_ASTRO_BLACK,momentum_10,10,high,9975,-0.008065892416273217
TRANSLATOR_ASTRO_BLACK,momentum_10,100,low,9932,-0.00630619383646922
TRANSLATOR_ASTRO_BLACK,momentum_10,100,mid,9908,-0.014214194046693896
TRANSLATOR_ASTRO_BLACK,momentum_10,100,high,9832,-0.029991268198825395
TRANSLATOR_ASTRO_BLACK,momentum_10,1000,low,9142,-0.006682995347409867
TRANSLATOR_ASTRO_BLACK,momentum_10,1000,mid,8976,-0.019388901462428432
TRANSLATOR_ASTRO_BLACK,momentum_10,1000,high,8854,-0.030187892028409838
TRANSLATOR_ASTRO_BLACK,neg_spread,1,low,9990,0.01156724669476357
TRANSLATOR_ASTRO_BLACK,neg_spread,1,mid,9990,-0.0029725227497182623
TRANSLATOR_ASTRO_BLACK,neg_spread,1,high,9990,0.015654666021916237
TRANSLATOR_ASTRO_BLACK,neg_spread,10,low,9981,0.00870824001100935
TRANSLATOR_ASTRO_BLACK,neg_spread,10,mid,9987,0.0026196826683690605
TRANSLATOR_ASTRO_BLACK,neg_spread,10,high,9975,0.027732881269429417
TRANSLATOR_ASTRO_BLACK,neg_spread,100,low,9933,0.03320561646647764
TRANSLATOR_ASTRO_BLACK,neg_spread,100,mid,9908,0.057681168877228094
TRANSLATOR_ASTRO_BLACK,neg_spread,100,high,9832,0.04273436091037514
TRANSLATOR_ASTRO_BLACK,neg_spread,1000,low,9143,0.14058733598510706
TRANSLATOR_ASTRO_BLACK,neg_spread,1000,mid,8976,0.12120509617770657
TRANSLATOR_ASTRO_BLACK,neg_spread,1000,high,8854,0.10224636254348422
TRANSLATOR_ASTRO_BLACK,trade_imbalance,1,low,9990,-0.010281222748261355
TRANSLATOR_ASTRO_BLACK,trade_imbalance,1,mid,9990,-0.013433675208714649
TRANSLATOR_ASTRO_BLACK,trade_imbalance,1,high,9990,-0.0015054581964043113
TRANSLATOR_ASTRO_BLACK,trade_imbalance,10,low,9981,-0.022539335210806522
TRANSLATOR_ASTRO_BLACK,trade_imbalance,10,mid,9987,-0.03873355356488475
TRANSLATOR_ASTRO_BLACK,trade_imbalance,10,high,9975,-0.027190496498226444
TRANSLATOR_ASTRO_BLACK,trade_imbalance,100,low,9933,-0.06585712077507197
TRANSLATOR_ASTRO_BLACK,trade_imbalance,100,mid,9908,-0.0625675564017992
TRANSLATOR_ASTRO_BLACK,trade_imbalance,100,high,9832,-0.005435135681212003
TRANSLATOR_ASTRO_BLACK,trade_imbalance,1000,low,9143,-0.02659601355982351
