product,from,to,p
TRANSLATOR_ASTRO_BLACK,low,low,0.963963963963964
TRANSLATOR_ASTRO_BLACK,low,mid,0.036036036036036036
TRANSLATOR_ASTRO_BLACK,low,high,0.0
TRANSLATOR_ASTRO_BLACK,mid,low,0.035835835835835834
TRANSLATOR_ASTRO_BLACK,mid,mid,0.9328328328328328
TRANSLATOR_ASTRO_BLACK,mid,high,0.031331331331331334
TRANSLATOR_ASTRO_BLACK,high,low,0.0
TRANSLATOR_ASTRO_BLACK,high,mid,0.03123123123123123
TRANSLATOR_ASTRO_BLACK,high,high,0.9687687687687687
TRANSLATOR_ECLIPSE_CHARCOAL,low,low,0.9619619619619619
TRANSLATOR_ECLIPSE_CHARCOAL,low,mid,0.03803803803803804
TRANSLATOR_ECLIPSE_CHARCOAL,low,high,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,mid,low,0.03783783783783784
TRANSLATOR_ECLIPSE_CHARCOAL,mid,mid,0.9298298298298299
TRANSLATOR_ECLIPSE_CHARCOAL,mid,high,0.032332332332332334
TRANSLATOR_ECLIPSE_CHARCOAL,high,low,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,high,mid,0.03223223223223223
TRANSLATOR_ECLIPSE_CHARCOAL,high,high,0.9677677677677677
TRANSLATOR_GRAPHITE_MIST,low,low,0.9664631094203624
TRANSLATOR_GRAPHITE_MIST,low,mid,0.0335368905796376
TRANSLATOR_GRAPHITE_MIST,low,high,0.0
TRANSLATOR_GRAPHITE_MIST,mid,low,0.033433433433433433
TRANSLATOR_GRAPHITE_MIST,mid,mid,0.934934934934935
TRANSLATOR_GRAPHITE_MIST,mid,high,0.03163163163163163
TRANSLATOR_GRAPHITE_MIST,high,low,0.0
TRANSLATOR_GRAPHITE_MIST,high,mid,0.031628465619057154
TRANSLATOR_GRAPHITE_MIST,high,high,0.9683715343809428
TRANSLATOR_SPACE_GRAY,low,low,0.9648648648648649
TRANSLATOR_SPACE_GRAY,low,mid,0.03513513513513514
TRANSLATOR_SPACE_GRAY,low,high,0.0
TRANSLATOR_SPACE_GRAY,mid,low,0.034934934934934936
TRANSLATOR_SPACE_GRAY,mid,mid,0.9342342342342342
TRANSLATOR_SPACE_GRAY,mid,high,0.03083083083083083
TRANSLATOR_SPACE_GRAY,high,low,0.0
TRANSLATOR_SPACE_GRAY,high,mid,0.03073073073073073
TRANSLATOR_SPACE_GRAY,high,high,0.9692692692692693
TRANSLATOR_VOID_BLUE,low,low,0.9629629629629629
TRANSLATOR_VOID_BLUE,low,mid,0.037037037037037035
TRANSLATOR_VOID_BLUE,low,high,0.0
TRANSLATOR_VOID_BLUE,mid,low,0.036936936936936934
TRANSLATOR_VOID_BLUE,mid,mid,0.9305305305305305
TRANSLATOR_VOID_BLUE,mid,high,0.032532532532532535
TRANSLATOR_VOID_BLUE,high,low,0.0
TRANSLATOR_VOID_BLUE,high,mid,0.032432432432432434
TRANSLATOR_VOID_BLUE,high,high,0.9675675675675676
