a,b,coint_t,coint_p
UV_VISOR_AMBER,UV_VISOR_MAGENTA,-3.4070730548189223,0.041570922648171436
UV_VISOR_AMBER,UV_VISOR_ORANGE,-1.313838534565294,0.8255208621673391
UV_VISOR_AMBER,UV_VISOR_RED,-2.053806117096268,0.5005202198182609
UV_VISOR_AMBER,UV_VISOR_YELLOW,-1.718433637662768,0.668430296766598
UV_VISOR_MAGENTA,UV_VISOR_ORANGE,-2.0197026644071143,0.5183222332139755
UV_VISOR_MAGENTA,UV_VISOR_RED,-1.9753675400136612,0.5413562020677608
UV_VISOR_MAGENTA,UV_VISOR_YELLOW,-1.8388347185864655,0.6106741480345889
UV_VISOR_ORANGE,UV_VISOR_RED,-1.6805190917587145,0.6857421044841535
UV_VISOR_ORANGE,UV_VISOR_YELLOW,-1.4395899015771003,0.7836211406355305
UV_VISOR_RED,UV_VISOR_YELLOW,-2.8415824524610063,0.1528120581091325
