feature,importance,target,horizon,model,product,vol_gate_q
fam_mean_obi_l1_lag5,28.46544065073046,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l1_lag5,28.46544065072331,fwd_ret,50,ridge,UV_VISOR_AMBER,5
fam_mean_microprice_dev_lag5,27.813502876059744,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l3_lag20,23.96327468685117,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l3_lag50,18.365817925162442,fwd_ret,50,ridge,UV_VISOR_AMBER,5
microprice_dev_lag20,17.242312835252353,fwd_ret,50,ridge,UV_VISOR_AMBER,5
fam_mean_microprice_dev_lag20,16.830782910659128,fwd_ret,50,ridge,UV_VISOR_AMBER,5
microprice_dev_lag5,14.206571697822085,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l3_lag1,13.204032727925597,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l1_lag1,9.355071810704496,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l1_lag50,8.62254609946171,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l1_lag20,7.064842131014509,fwd_ret,50,ridge,UV_VISOR_AMBER,5
fam_mean_obi_l1_lag20,7.064842131008731,fwd_ret,50,ridge,UV_VISOR_AMBER,5
microprice_dev_lag1,4.327649317557854,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_500_lag5,2.6814180451494267,fwd_ret,50,ridge,UV_VISOR_AMBER,5
obi_l3_lag5,2.159869582970996,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_500_lag20,2.1571905975337566,fwd_ret,50,ridge,UV_VISOR_AMBER,5
microprice_dev_lag50,2.080630366960927,fwd_ret,50,ridge,UV_VISOR_AMBER,5
signed_flow_20_lag50,1.1054148877889174,fwd_ret,50,ridge,UV_VISOR_AMBER,5
spread_bps_lag5,0.8953228938395206,fwd_ret,50,ridge,UV_VISOR_AMBER,5
signed_flow_20_lag5,0.8794573506885724,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_500_lag1,0.814013644887712,fwd_ret,50,ridge,UV_VISOR_AMBER,5
spread_bps_lag20,0.7029942652631272,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_50_lag1,0.6253419858427942,fwd_ret,50,ridge,UV_VISOR_AMBER,5
spread_bps_lag50,0.6049528030785802,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_50_lag5,0.5333362107594847,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_50_lag50,0.46146039633999547,fwd_ret,50,ridge,UV_VISOR_AMBER,5
signed_flow_20_lag1,0.38994679623970524,fwd_ret,50,ridge,UV_VISOR_AMBER,5
spread_bps_lag1,0.34404721936026356,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_500_lag50,0.30521422783245755,fwd_ret,50,ridge,UV_VISOR_AMBER,5
fam_mean_ret_10_lag5,0.13064145029416768,fwd_ret,50,ridge,UV_VISOR_AMBER,5
vwap_dev_lag50,0.12600040549914315,fwd_ret,50,ridge,UV_VISOR_AMBER,5
fam_mean_ret_10_lag20,0.12566885888574733,fwd_ret,50,ridge,UV_VISOR_AMBER,5
signed_flow_20_lag20,0.11530339915333469,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_10_lag50,0.0899142317618239,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_50_lag20,0.084733042803215,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_10_lag5,0.04781524361924212,fwd_ret,50,ridge,UV_VISOR_AMBER,5
vwap_dev_lag20,0.03818057746585417,fwd_ret,50,ridge,UV_VISOR_AMBER,5
vwap_dev_lag5,0.03136666720073234,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_10_lag20,0.03125108459409059,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_1_lag50,0.029726773556712115,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_1_lag5,0.017156082346413158,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_10_lag1,0.014886276101868151,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_1_lag1,0.008482446816643474,fwd_ret,50,ridge,UV_VISOR_AMBER,5
ret_1_lag20,0.003467096401061662,fwd_ret,50,ridge,UV_VISOR_AMBER,5
vwap_dev_lag1,0.0008088646765523348,fwd_ret,50,ridge,UV_VISOR_AMBER,5
std_500_lag50,77350875.1081543,fwd_ret,50,lgbm,UV_VISOR_AMBER,5
std_500_lag1,54859263.41381836,fwd_ret,50,lgbm,UV_VISOR_AMBER,5
