target,horizon,model,product,vol_gate_q,fold,day,pnl,ic_day
fwd_ret,50,ridge,UV_VISOR_AMBER,5,D2->D3,3,-46390.0,0.010940769540067143
fwd_ret,50,ridge,UV_VISOR_AMBER,5,D2+D3->D4,4,-51160.0,0.02863900006268658
fwd_ret,50,lgbm,UV_VISOR_AMBER,5,D2->D3,3,-111130.0,0.03517260068154979
fwd_ret,50,lgbm,UV_VISOR_AMBER,5,D2+D3->D4,4,-89490.0,0.05983427148025125
fwd_ret,100,ridge,UV_VISOR_AMBER,5,D2->D3,3,-39560.0,-0.009366892601107528
fwd_ret,100,ridge,UV_VISOR_AMBER,5,D2+D3->D4,4,-68350.0,0.05995097963755662
fwd_ret,100,lgbm,UV_VISOR_AMBER,5,D2->D3,3,-125050.0,0.026638656817661952
fwd_ret,100,lgbm,UV_VISOR_AMBER,5,D2+D3->D4,4,-86580.0,0.07210211698038228
fwd_ret,50,ridge,UV_VISOR_MAGENTA,5,D2->D3,3,-46960.0,0.07324878177226371
fwd_ret,50,ridge,UV_VISOR_MAGENTA,5,D2+D3->D4,4,-20300.0,-0.02027025418106226
fwd_ret,50,lgbm,UV_VISOR_MAGENTA,5,D2->D3,3,-137650.0,0.07672102433431989
fwd_ret,50,lgbm,UV_VISOR_MAGENTA,5,D2+D3->D4,4,-126680.0,-0.019526226660545425
fwd_ret,100,ridge,UV_VISOR_MAGENTA,5,D2->D3,3,-67080.0,0.10565050300556537
fwd_ret,100,ridge,UV_VISOR_MAGENTA,5,D2+D3->D4,4,-59900.0,-0.008556113035526891
fwd_ret,100,lgbm,UV_VISOR_MAGENTA,5,D2->D3,3,-146040.0,-0.006271532439509467
fwd_ret,100,lgbm,UV_VISOR_MAGENTA,5,D2+D3->D4,4,-132440.0,-0.05672716333128879
fwd_ret,50,ridge,UV_VISOR_ORANGE,5,D2->D3,3,-45800.0,-0.05479109107183057
fwd_ret,50,ridge,UV_VISOR_ORANGE,5,D2+D3->D4,4,-10380.0,-0.027100549905667074
fwd_ret,50,lgbm,UV_VISOR_ORANGE,5,D2->D3,3,-162200.0,-0.06150526005175642
fwd_ret,50,lgbm,UV_VISOR_ORANGE,5,D2+D3->D4,4,-130670.0,0.09354777705011684
fwd_ret,100,ridge,UV_VISOR_ORANGE,5,D2->D3,3,-66070.0,-0.09993696511443073
fwd_ret,100,ridge,UV_VISOR_ORANGE,5,D2+D3->D4,4,-33640.0,-0.04019587527892236
fwd_ret,100,lgbm,UV_VISOR_ORANGE,5,D2->D3,3,-147950.0,-0.2257120967478203
fwd_ret,100,lgbm,UV_VISOR_ORANGE,5,D2+D3->D4,4,-145560.0,0.03002963501951119
fwd_ret,50,ridge,UV_VISOR_RED,5,D2->D3,3,-24720.0,0.03531532042925585
fwd_ret,50,ridge,UV_VISOR_RED,5,D2+D3->D4,4,-18130.0,-0.028250803497688704
fwd_ret,50,lgbm,UV_VISOR_RED,5,D2->D3,3,-161330.0,-0.0591881997414107
fwd_ret,50,lgbm,UV_VISOR_RED,5,D2+D3->D4,4,-138300.0,0.08595610641588444
fwd_ret,100,ridge,UV_VISOR_RED,5,D2->D3,3,-69100.0,0.011434542897121399
fwd_ret,100,ridge,UV_VISOR_RED,5,D2+D3->D4,4,-61650.0,-0.07096104241324228
fwd_ret,100,lgbm,UV_VISOR_RED,5,D2->D3,3,-169600.0,-0.05702058126023275
fwd_ret,100,lgbm,UV_VISOR_RED,5,D2+D3->D4,4,-173000.0,0.016291088079043902
fwd_ret,50,ridge,UV_VISOR_YELLOW,5,D2->D3,3,-66760.0,-0.07261929807493284
fwd_ret,50,ridge,UV_VISOR_YELLOW,5,D2+D3->D4,4,-7970.0,0.06180156021010856
fwd_ret,50,lgbm,UV_VISOR_YELLOW,5,D2->D3,3,-147420.0,-0.05997397672145649
fwd_ret,50,lgbm,UV_VISOR_YELLOW,5,D2+D3->D4,4,-133090.0,0.06357408427686054
fwd_ret,100,ridge,UV_VISOR_YELLOW,5,D2->D3,3,-86310.0,-0.08822628973805469
fwd_ret,100,ridge,UV_VISOR_YELLOW,5,D2+D3->D4,4,-34120.0,0.043006787633633525
fwd_ret,100,lgbm,UV_VISOR_YELLOW,5,D2->D3,3,-126810.0,-0.047383154818813826
fwd_ret,100,lgbm,UV_VISOR_YELLOW,5,D2+D3->D4,4,-126510.0,0.14547711419409506
