product,signal,horizon,regime,n,ic
UV_VISOR_AMBER,neg_zscore_mid_50,1,low,9969,0.002736428740930905
UV_VISOR_AMBER,neg_zscore_mid_50,1,mid,9988,-0.008584971332952804
UV_VISOR_AMBER,neg_zscore_mid_50,1,high,9973,0.0010449558957441216
UV_VISOR_AMBER,neg_zscore_mid_50,10,low,9960,0.025481239559000213
UV_VISOR_AMBER,neg_zscore_mid_50,10,mid,9978,-0.027557692689806925
UV_VISOR_AMBER,neg_zscore_mid_50,10,high,9965,0.004038569776810867
UV_VISOR_AMBER,neg_zscore_mid_50,100,low,9825,-0.01045079480727474
UV_VISOR_AMBER,neg_zscore_mid_50,100,mid,9911,-0.006963282190204033
UV_VISOR_AMBER,neg_zscore_mid_50,100,high,9897,0.024393195549458933
UV_VISOR_AMBER,neg_zscore_mid_50,1000,low,8766,-0.03477923465980471
UV_VISOR_AMBER,neg_zscore_mid_50,1000,mid,9170,0.0350272123976604
UV_VISOR_AMBER,neg_zscore_mid_50,1000,high,8997,0.09013321167197733
UV_VISOR_AMBER,neg_zscore_vwap_50,1,low,9535,0.0032689691182377486
UV_VISOR_AMBER,neg_zscore_vwap_50,1,mid,9430,-0.009129900759791736
UV_VISOR_AMBER,neg_zscore_vwap_50,1,high,9448,-0.0003954638450284587
UV_VISOR_AMBER,neg_zscore_vwap_50,10,low,9526,-0.01934467408084797
UV_VISOR_AMBER,neg_zscore_vwap_50,10,mid,9420,-0.027438963633393147
UV_VISOR_AMBER,neg_zscore_vwap_50,10,high,9440,-0.00011921119104280847
UV_VISOR_AMBER,neg_zscore_vwap_50,100,low,9391,-0.05573943869836163
UV_VISOR_AMBER,neg_zscore_vwap_50,100,mid,9353,-0.026976699419857468
UV_VISOR_AMBER,neg_zscore_vwap_50,100,high,9372,0.015313977496225354
UV_VISOR_AMBER,neg_zscore_vwap_50,1000,low,8371,-0.0015932239245331668
UV_VISOR_AMBER,neg_zscore_vwap_50,1000,mid,8619,-0.017358895649366955
UV_VISOR_AMBER,neg_zscore_vwap_50,1000,high,8493,0.08996794009582651
UV_VISOR_AMBER,obi_l1,1,low,9990,0.0771780676750445
UV_VISOR_AMBER,obi_l1,1,mid,9990,0.046710695674215694
UV_VISOR_AMBER,obi_l1,1,high,9990,0.0540266107764799
UV_VISOR_AMBER,obi_l1,10,low,9981,0.03504593202518571
UV_VISOR_AMBER,obi_l1,10,mid,9980,0.0032921169145460655
UV_VISOR_AMBER,obi_l1,10,high,9982,0.02032520260807601
UV_VISOR_AMBER,obi_l1,100,low,9846,0.019247315361089153
UV_VISOR_AMBER,obi_l1,100,mid,9913,0.008100628841111884
UV_VISOR_AMBER,obi_l1,100,high,9914,0.017341364680199742
UV_VISOR_AMBER,obi_l1,1000,low,8787,0.007168233061930209
UV_VISOR_AMBER,obi_l1,1000,mid,9172,-9.905678761575253e-05
UV_VISOR_AMBER,obi_l1,1000,high,9014,0.01339359077874544
UV_VISOR_AMBER,obi_l3,1,low,9990,-0.07313815047691041
UV_VISOR_AMBER,obi_l3,1,mid,9990,-0.0461093098984831
UV_VISOR_AMBER,obi_l3,1,high,9990,-0.05408003369489283
UV_VISOR_AMBER,obi_l3,10,low,9981,-0.034061490590279395
UV_VISOR_AMBER,obi_l3,10,mid,9980,-0.0030463202930836567
UV_VISOR_AMBER,obi_l3,10,high,9982,-0.02598208025269003
UV_VISOR_AMBER,obi_l3,100,low,9846,-0.019552852907024354
UV_VISOR_AMBER,obi_l3,100,mid,9913,-0.006746836777663122
UV_VISOR_AMBER,obi_l3,100,high,9914,-0.021129407734774713
UV_VISOR_AMBER,obi_l3,1000,low,8787,-0.01689549890359871
UV_VISOR_AMBER,obi_l3,1000,mid,9172,-0.0018330722938751578
UV_VISOR_AMBER,obi_l3,1000,high,9014,-0.015188292483389852
