product,from,to,p
UV_VISOR_AMBER,low,low,0.9683683683683684
UV_VISOR_AMBER,low,mid,0.03163163163163163
UV_VISOR_AMBER,low,high,0.0
UV_VISOR_AMBER,mid,low,0.03143143143143143
UV_VISOR_AMBER,mid,mid,0.9377377377377377
UV_VISOR_AMBER,mid,high,0.03083083083083083
UV_VISOR_AMBER,high,low,0.0
UV_VISOR_AMBER,high,mid,0.03073073073073073
UV_VISOR_AMBER,high,high,0.9692692692692693
UV_VISOR_MAGENTA,low,low,0.9640640640640641
UV_VISOR_MAGENTA,low,mid,0.035935935935935935
UV_VISOR_MAGENTA,low,high,0.0
UV_VISOR_MAGENTA,mid,low,0.03573215894304874
UV_VISOR_MAGENTA,mid,mid,0.9315383845460915
UV_VISOR_MAGENTA,mid,high,0.032729456510859775
UV_VISOR_MAGENTA,high,low,0.0
UV_VISOR_MAGENTA,high,mid,0.03253578936830514
UV_VISOR_MAGENTA,high,high,0.9674642106316949
UV_VISOR_ORANGE,low,low,0.9653653653653653
UV_VISOR_ORANGE,low,mid,0.034634634634634634
UV_VISOR_ORANGE,low,high,0.0
UV_VISOR_ORANGE,mid,low,0.03443098788910019
UV_VISOR_ORANGE,mid,mid,0.9341407266539886
UV_VISOR_ORANGE,mid,high,0.03142828545691122
UV_VISOR_ORANGE,high,low,0.0
UV_VISOR_ORANGE,high,mid,0.03123435779357293
UV_VISOR_ORANGE,high,high,0.968765642206427
UV_VISOR_RED,low,low,0.9641641641641642
UV_VISOR_RED,low,mid,0.035835835835835834
UV_VISOR_RED,low,high,0.0
UV_VISOR_RED,mid,low,0.03563563563563563
UV_VISOR_RED,mid,mid,0.9314314314314315
UV_VISOR_RED,mid,high,0.03293293293293293
UV_VISOR_RED,high,low,0.0
UV_VISOR_RED,high,mid,0.03283283283283283
UV_VISOR_RED,high,high,0.9671671671671672
UV_VISOR_YELLOW,low,low,0.9643679311380242
UV_VISOR_YELLOW,low,mid,0.03563206886197578
UV_VISOR_YELLOW,low,high,0.0
UV_VISOR_YELLOW,mid,low,0.03533533533533534
UV_VISOR_YELLOW,mid,mid,0.9337337337337337
UV_VISOR_YELLOW,mid,high,0.030930930930930932
UV_VISOR_YELLOW,high,low,0.0
UV_VISOR_YELLOW,high,mid,0.0307338071879067
UV_VISOR_YELLOW,high,high,0.9692661928120933
